galaxy,n_points_theory,sigma_v_true,Q_gal,G_sigma,K_mean,rms_gr_theory,rms_theory,delta_rms_theory,rotmod_path,sigma_v,sigma_ref,beta_sigma,A_base,A_eff,sigma_gate,accel_gate_min,accel_gate_median,accel_gate_max,n_points_emp,rms_gr_emp,rms_metric_resonance_sigma,delta_rms_emp,delta_emp,delta_theory,delta_emp_vs_gr,delta_theory_vs_gr
CamB,9,1.635,10.645746184713625,0.9141317366754382,-0.3605527869284244,4.616823441597752,4.33473398048992,-0.2820894611078319,data\Rotmod_LTG\CamB_rotmod.dat,1.635,25.0,1.5,5.694915875549634,5.601235111311831,0.9835501056933944,0.9988791764565096,0.999384151021317,0.9999552979473478,9,4.616823441597752,4.615946060760172,-0.0008773808375801,-0.0008773808375801,-0.2820894611078319,-0.0008773808375801551,-0.28208946110783195
D512-2,4,25.0,0.870331642936753,0.4653354640197274,-0.1748976068471209,12.493950382400962,14.283201090483391,1.7892507080824291,data\Rotmod_LTG\D512-2_rotmod.dat,25.0,25.0,1.5,5.694915875549634,2.847457937774817,0.5,0.999440153869292,0.9996656175861016,0.9999376432696904,4,12.493950382400962,12.297382228124372,-0.1965681542765907,-0.1965681542765907,1.7892507080824291,-0.1965681542765907,1.7892507080824291
D564-8,6,3.1275,3.4504444399966245,0.7753033402657739,-0.3443718712369255,10.049576841590154,12.043512306995568,1.9939354654054124,data\Rotmod_LTG\D564-8_rotmod.dat,3.1275,25.0,1.5,5.694915875549634,5.453608858563327,0.9576276415210404,0.999962892316042,0.9999874087870668,0.9999985146868547,6,10.049576841590154,9.98904182721862,-0.060535014371533,-0.060535014371533,1.9939354654054124,-0.06053501437153486,1.9939354654054142
D631-7,16,8.355,2.5498138258852525,0.7182950855878703,-0.1843806859880117,24.5852323730351,26.28796296259783,1.70273058956273,data\Rotmod_LTG\D631-7_rotmod.dat,8.355,25.0,1.5,5.694915875549634,4.772804617207991,0.8380816717064066,0.9950758044821324,0.9998072240988608,0.9999943980632814,16,24.5852323730351,21.828553224275097,-2.7566791487600035,-2.7566791487600035,1.70273058956273,-2.7566791487600035,1.70273058956273
DDO064,14,6.7875,4.059304311555797,0.8023443662568525,-0.2243786420659079,14.591505838594632,17.35977047503869,2.768264636444057,data\Rotmod_LTG\DDO064_rotmod.dat,6.7875,25.0,1.5,5.694915875549634,4.989120591423135,0.8760657225584776,0.9981576309067752,0.9991271093041584,0.9999954356966037,14,14.591505838594632,14.533045445646795,-0.0584603929478362,-0.0584603929478362,2.768264636444057,-0.058460392947836226,2.7682646364440586
DDO154,12,6.757499999999999,2.7048938944541407,0.730086737032631,-0.2183699998248312,22.68080377681624,24.575172587239827,1.8943688104235896,data\Rotmod_LTG\DDO154_rotmod.dat,6.757499999999999,25.0,1.5,5.694915875549634,4.993218801380608,0.8767853486332134,0.9986896984601112,0.9999502276466452,0.9999962502187376,12,22.68080377681624,21.468956008257177,-1.2118477685590603,-1.2118477685590603,1.8943688104235896,-1.211847768559064,1.894368810423586
DDO161,31,9.967499999999998,3.275675808415369,0.766118844176211,-0.1870538890444945,21.31489016029167,23.72713938867654,2.4122492283848693,data\Rotmod_LTG\DDO161_rotmod.dat,9.967499999999998,25.0,1.5,5.694915875549634,4.549563576703994,0.798881612323185,0.9962198567385274,0.9997152551558042,0.9999874755190158,31,21.31489016029167,8.55028097378369,-12.764609186507982,-12.764609186507982,2.4122492283848693,-12.764609186507982,2.4122492283848693
DDO168,10,7.199999999999999,3.956683866853937,0.7982522132010184,-0.2314223102589649,18.767038568918075,21.70464315272642,2.937604583808344,data\Rotmod_LTG\DDO168_rotmod.dat,7.199999999999999,25.0,1.5,5.694915875549634,4.932554896623127,0.8661330569956964,0.9929133923302518,0.9985331222728956,0.9997645473093318,10,18.767038568918075,18.26765465292277,-0.4993839159953062,-0.4993839159953062,2.937604583808344,-0.4993839159953062,2.937604583808344
DDO170,8,8.565,3.644219987399465,0.7846785891466888,-0.4218477621496731,24.535484730575124,31.00062190743705,6.465137176861926,data\Rotmod_LTG\DDO170_rotmod.dat,8.565,25.0,1.5,5.694915875549634,4.743665036895328,0.8329649007216462,0.999651220348262,0.9998949523438212,0.9999890326287268,8,24.535484730575124,14.066649657885728,-10.468835072689396,-10.468835072689396,6.465137176861926,-10.468835072689396,6.465137176861926
ESO079-G014,15,23.775,5.653841209911213,0.8497108709912625,-0.129767511727251,28.886704382352235,33.76365721501362,4.876952832661388,data\Rotmod_LTG\ESO079-G014_rotmod.dat,23.775,25.0,1.5,5.694915875549634,2.9547019986205108,0.5188315443439879,0.6985356425391335,0.875843522613714,0.9647271972631354,15,28.886704382352235,15.888484712826376,-12.99821966952586,-12.99821966952586,4.876952832661388,-12.99821966952586,4.876952832661388
ESO116-G012,15,16.275,3.769604683109307,0.7903390183380775,-0.120531714887283,34.256228959673145,37.20514011721703,2.9489111575438827,data\Rotmod_LTG\ESO116-G012_rotmod.dat,16.275,25.0,1.5,5.694915875549634,3.733742922294519,0.655627405898101,0.7672451041478278,0.946335339657738,0.9987419797305772,15,34.256228959673145,22.939358322635115,-11.31687063703803,-11.31687063703803,2.9489111575438827,-11.31687063703803,2.9489111575438827
ESO444-G084,7,7.919999999999999,2.772073171269245,0.7348937959060017,-0.1916146642965241,31.69330576674768,33.64335114732412,1.9500453805764408,data\Rotmod_LTG\ESO444-G084_rotmod.dat,7.919999999999999,25.0,1.5,5.694915875549634,4.833118439990327,0.8486724906228519,0.996754847994714,0.99905247105701,0.9999913199088284,7,31.69330576674768,31.32329446198569,-0.3700113047619879,-0.3700113047619879,1.9500453805764408,-0.3700113047619915,1.9500453805764373
ESO563-G021,30,46.875,4.40740649200613,0.8150684618442652,-0.0851580249829873,62.93505741241875,67.69365069981228,4.758593287393531,data\Rotmod_LTG\ESO563-G021_rotmod.dat,46.875,25.0,1.5,5.694915875549634,1.5963550133556932,0.2803123080727903,0.022935741778313,0.251721025867913,0.9746021213082852,30,62.93505741241875,45.78441080159474,-17.150646610824012,-17.150646610824012,4.758593287393531,-17.150646610824012,4.758593287393531
F561-1,6,7.1025,6.862049005908539,0.8728066946353967,-0.4512663740840429,4.42316040510831,10.219827459711723,5.796667054603415,data\Rotmod_LTG\F561-1_rotmod.dat,7.1025,25.0,1.5,5.694915875549634,4.945958175534434,0.868486608690613,0.9950915305631652,0.9982501227663778,0.9986443370611556,6,4.42316040510831,20.37630174579542,15.953141340687113,15.953141340687113,5.796667054603415,15.953141340687111,5.796667054603414
F563-1,17,15.9375,2.5596616462289896,0.7190744235314125,-0.2192676620264794,57.23862337544333,60.81721775628088,3.578594380837544,data\Rotmod_LTG\F563-1_rotmod.dat,15.9375,25.0,1.5,5.694915875549634,3.773959451172288,0.6626892360913148,0.9985845694058428,0.9998704334703938,0.9999780719402196,17,57.23862337544333,42.44358976332617,-14.79503361211716,-14.79503361211716,3.578594380837544,-14.795033612117159,3.5785943808375507
F563-V1,6,4.1925,6.976913391319507,0.8746382277275064,-0.4498714110603203,1.904517914363556,6.486252077929487,4.581734163565931,data\Rotmod_LTG\F563-V1_rotmod.dat,4.1925,25.0,1.5,5.694915875549634,5.328949489221524,0.9357380522688074,0.9997744820490548,0.9999057140799452,0.9999547564233762,6,1.904517914363556,8.175691095580264,6.271173181216708,6.271173181216708,4.581734163565931,6.271173181216708,4.581734163565931
F563-V2,10,15.435,3.544499705092454,0.7799537760164392,-0.1266368230124225,51.070448240065694,53.51914210386968,2.448693863803989,data\Rotmod_LTG\F563-V2_rotmod.dat,15.435,25.0,1.5,5.694915875549634,3.834648128282255,0.6733458776354904,0.9913999397986756,0.9983270501653392,0.9999037903558418,10,51.070448240065694,40.222960239156805,-10.84748800090889,-10.84748800090889,2.448693863803989,-10.84748800090889,2.448693863803989
F565-V2,7,10.275,2.8851451420596006,0.7426093586120497,-0.3130066983458231,37.81055917316258,41.86623314478989,4.055673971627307,data\Rotmod_LTG\F565-V2_rotmod.dat,10.275,25.0,1.5,5.694915875549634,4.5072930666142,0.7914591128493514,0.9998501911408316,0.9999126981702144,0.9999364034194762,7,37.81055917316258,31.63727682155091,-6.173282351611672,-6.173282351611672,4.055673971627307,-6.173282351611672,4.055673971627307
F567-2,5,25.0,1.3811625248318895,0.5800370661088746,-0.3227347834889416,11.042301659590876,16.57334042789067,5.531038768299794,data\Rotmod_LTG\F567-2_rotmod.dat,25.0,25.0,1.5,5.694915875549634,2.847457937774817,0.5,0.9985603144885812,0.9997720889378364,0.999817401931076,5,11.042301659590876,7.293853840079531,-3.7484478195113455,-3.7484478195113455,5.531038768299794,-3.7484478195113455,5.531038768299794
F568-1,12,18.075,3.3706838952899774,0.7712028542998409,-0.1366695891086268,59.47223904806734,62.42477981744872,2.952540769381379,data\Rotmod_LTG\F568-1_rotmod.dat,18.075,25.0,1.5,5.694915875549634,3.526782103628965,0.6192860756329582,0.9912823985703816,0.9978345000718796,0.998524755033382,12,59.47223904806734,47.19663906903568,-12.27559997903166,-12.27559997903166,2.952540769381379,-12.275599979031654,2.952540769381386
F568-3,18,14.4525,4.286959603660106,0.8108553734158077,-0.1887309207388164,33.87210902432852,37.72638908294643,3.854280058617917,data\Rotmod_LTG\F568-3_rotmod.dat,14.4525,25.0,1.5,5.694915875549634,3.956049607043107,0.6946633968778857,0.9957829514684444,0.9972494925687626,0.9996476516120404,18,33.87210902432852,19.39753010730754,-14.474578917020978,-14.474578917020978,3.854280058617917,-14.474578917020985,3.85428005861791
F568-V1,15,16.8,2.983168605074788,0.7489435926146982,-0.1237281240115956,55.10144891123267,57.63625823168797,2.5348093204552957,data\Rotmod_LTG\F568-V1_rotmod.dat,16.8,25.0,1.5,5.694915875549634,3.672063792872798,0.6447968456633956,0.9875234293803052,0.9982899711571488,0.9999146658707564,15,55.10144891123267,44.082562402831485,-11.018886508401188,-11.018886508401188,2.5348093204552957,-11.018886508401188,2.5348093204552953
F571-8,13,17.099999999999998,4.056912289873269,0.8022508711486747,-0.1138507199953746,47.869589054996254,47.662333594615546,-0.2072554603807077,data\Rotmod_LTG\F571-8_rotmod.dat,17.099999999999998,25.0,1.5,5.694915875549634,3.6373031073460487,0.6386930354778948,0.0339235853494706,0.8365696827500159,0.9997035402857116,13,47.869589054996254,34.48404617016948,-13.385542884826776,-13.385542884826776,-0.2072554603807077,-13.385542884826776,-0.20725546038070775
F571-V1,7,11.55,3.591684705226429,0.7822150116575378,-0.4164406497141629,33.703220222549966,41.89348830353556,8.190268080985597,data\Rotmod_LTG\F571-V1_rotmod.dat,11.55,25.0,1.5,5.694915875549634,4.333950896701316,0.7610210565723297,0.9980635967706564,0.9996317601741972,0.9999508652949776,7,33.703220222549966,17.94493508564035,-15.758285136909617,-15.758285136909617,8.190268080985597,-15.758285136909617,8.190268080985597
F574-1,14,14.325,3.92300552832518,0.7968720542265564,-0.1493489551142441,36.44732159054748,39.784448623662186,3.3371270331147045,data\Rotmod_LTG\F574-1_rotmod.dat,14.325,25.0,1.5,5.694915875549634,3.972063362511849,0.6974753357754373,0.9848578217638968,0.9983533920536432,0.9993196857250424,14,36.44732159054748,22.710057291536152,-13.73726429901133,-13.73726429901133,3.3371270331147045,-13.73726429901133,3.3371270331147045
F574-2,5,25.0,1.496320821214488,0.5994104637906722,-0.3598069772951889,7.294377305917471,2.0831494032828486,-5.211227902634622,data\Rotmod_LTG\F574-2_rotmod.dat,25.0,25.0,1.5,5.694915875549634,2.847457937774817,0.5,0.99947097569276,0.999720430061219,0.999782327200452,5,7.294377305917471,15.942888333152098,8.648511027234626,8.648511027234626,-5.211227902634622,8.648511027234626,-5.211227902634622
