galaxy,rotmod_path,sigma_v,sigma_ref,beta_sigma,A_base,A_eff,sigma_gate,accel_gate_min,accel_gate_median,accel_gate_max,n_points,rms_gr,rms_metric_resonance_sigma,delta_rms
CamB,data\Rotmod_LTG\CamB_rotmod.dat,1.635,25.0,1.5,5.694915875549634,5.601235111311831,0.9835501056933943,0.9988791764565095,0.999384151021317,0.9999552979473478,9,4.616823441597752,4.615946060760172,-0.0008773808375801551
D512-2,data\Rotmod_LTG\D512-2_rotmod.dat,25.0,25.0,1.5,5.694915875549634,2.847457937774817,0.5,0.999440153869292,0.9996656175861016,0.9999376432696905,4,12.493950382400962,12.297382228124372,-0.1965681542765907
D564-8,data\Rotmod_LTG\D564-8_rotmod.dat,3.1275,25.0,1.5,5.694915875549634,5.453608858563327,0.9576276415210405,0.9999628923160421,0.9999874087870669,0.9999985146868547,6,10.049576841590154,9.989041827218621,-0.06053501437153308
D631-7,data\Rotmod_LTG\D631-7_rotmod.dat,8.355,25.0,1.5,5.694915875549634,4.772804617207991,0.8380816717064066,0.9950758044821324,0.9998072240988607,0.9999943980632814,16,24.5852323730351,21.828553224275097,-2.7566791487600035
DDO064,data\Rotmod_LTG\DDO064_rotmod.dat,6.7875,25.0,1.5,5.694915875549634,4.989120591423135,0.8760657225584776,0.9981576309067753,0.9991271093041585,0.9999954356966035,14,14.591505838594633,14.533045445646797,-0.058460392947836226
DDO154,data\Rotmod_LTG\DDO154_rotmod.dat,6.757499999999999,25.0,1.5,5.694915875549634,4.993218801380608,0.8767853486332134,0.9986896984601111,0.9999502276466452,0.9999962502187377,12,22.680803776816237,21.468956008257177,-1.2118477685590605
DDO161,data\Rotmod_LTG\DDO161_rotmod.dat,9.967499999999998,25.0,1.5,5.694915875549634,4.549563576703994,0.798881612323185,0.9962198567385274,0.9997152551558042,0.9999874755190158,31,21.31489016029167,8.55028097378369,-12.764609186507982
DDO168,data\Rotmod_LTG\DDO168_rotmod.dat,7.199999999999999,25.0,1.5,5.694915875549634,4.932554896623127,0.8661330569956964,0.9929133923302518,0.9985331222728957,0.9997645473093318,10,18.767038568918075,18.26765465292277,-0.4993839159953062
DDO170,data\Rotmod_LTG\DDO170_rotmod.dat,8.565,25.0,1.5,5.694915875549634,4.743665036895328,0.8329649007216462,0.9996512203482619,0.9998949523438213,0.9999890326287267,8,24.535484730575124,14.066649657885728,-10.468835072689396
ESO079-G014,data\Rotmod_LTG\ESO079-G014_rotmod.dat,23.775,25.0,1.5,5.694915875549634,2.9547019986205108,0.5188315443439879,0.6985356425391335,0.875843522613714,0.9647271972631354,15,28.886704382352235,15.888484712826376,-12.99821966952586
ESO116-G012,data\Rotmod_LTG\ESO116-G012_rotmod.dat,16.275,25.0,1.5,5.694915875549634,3.733742922294519,0.655627405898101,0.7672451041478278,0.9463353396577381,0.9987419797305773,15,34.256228959673145,22.939358322635115,-11.31687063703803
ESO444-G084,data\Rotmod_LTG\ESO444-G084_rotmod.dat,7.919999999999999,25.0,1.5,5.694915875549634,4.833118439990327,0.8486724906228519,0.996754847994714,0.99905247105701,0.9999913199088284,7,31.693305766747677,31.32329446198569,-0.37001130476198796
ESO563-G021,data\Rotmod_LTG\ESO563-G021_rotmod.dat,46.875,25.0,1.5,5.694915875549634,1.5963550133556932,0.2803123080727903,0.022935741778313066,0.251721025867913,0.9746021213082853,30,62.93505741241875,45.78441080159474,-17.150646610824012
F561-1,data\Rotmod_LTG\F561-1_rotmod.dat,7.1025,25.0,1.5,5.694915875549634,4.945958175534434,0.868486608690613,0.9950915305631651,0.9982501227663778,0.9986443370611557,6,4.42316040510831,20.37630174579542,15.953141340687111
F563-1,data\Rotmod_LTG\F563-1_rotmod.dat,15.9375,25.0,1.5,5.694915875549634,3.773959451172288,0.6626892360913148,0.9985845694058428,0.9998704334703938,0.9999780719402197,17,57.23862337544333,42.44358976332617,-14.795033612117159
F563-V1,data\Rotmod_LTG\F563-V1_rotmod.dat,4.1925,25.0,1.5,5.694915875549634,5.3289494892215235,0.9357380522688074,0.9997744820490547,0.9999057140799452,0.9999547564233762,6,1.9045179143635556,8.175691095580264,6.271173181216708
F563-V2,data\Rotmod_LTG\F563-V2_rotmod.dat,15.435,25.0,1.5,5.694915875549634,3.834648128282255,0.6733458776354904,0.9913999397986755,0.9983270501653392,0.9999037903558418,10,51.070448240065694,40.222960239156805,-10.84748800090889
F565-V2,data\Rotmod_LTG\F565-V2_rotmod.dat,10.275,25.0,1.5,5.694915875549634,4.5072930666142,0.7914591128493514,0.9998501911408316,0.9999126981702143,0.9999364034194762,7,37.81055917316258,31.63727682155091,-6.173282351611672
F567-2,data\Rotmod_LTG\F567-2_rotmod.dat,25.0,25.0,1.5,5.694915875549634,2.847457937774817,0.5,0.9985603144885812,0.9997720889378365,0.999817401931076,5,11.042301659590876,7.293853840079531,-3.7484478195113455
F568-1,data\Rotmod_LTG\F568-1_rotmod.dat,18.075,25.0,1.5,5.694915875549634,3.526782103628965,0.6192860756329582,0.9912823985703817,0.9978345000718796,0.9985247550333821,12,59.47223904806734,47.196639069035676,-12.27559997903166
F568-3,data\Rotmod_LTG\F568-3_rotmod.dat,14.4525,25.0,1.5,5.694915875549634,3.956049607043107,0.6946633968778857,0.9957829514684443,0.9972494925687626,0.9996476516120405,18,33.872109024328516,19.39753010730754,-14.474578917020978
F568-V1,data\Rotmod_LTG\F568-V1_rotmod.dat,16.8,25.0,1.5,5.694915875549634,3.672063792872798,0.6447968456633956,0.9875234293803052,0.9982899711571488,0.9999146658707563,15,55.10144891123267,44.082562402831485,-11.018886508401188
F571-8,data\Rotmod_LTG\F571-8_rotmod.dat,17.099999999999998,25.0,1.5,5.694915875549634,3.6373031073460487,0.6386930354778948,0.03392358534947065,0.8365696827500159,0.9997035402857115,13,47.869589054996254,34.48404617016948,-13.385542884826776
F571-V1,data\Rotmod_LTG\F571-V1_rotmod.dat,11.55,25.0,1.5,5.694915875549634,4.333950896701316,0.7610210565723297,0.9980635967706563,0.9996317601741973,0.9999508652949776,7,33.703220222549966,17.94493508564035,-15.758285136909617
F574-1,data\Rotmod_LTG\F574-1_rotmod.dat,14.325,25.0,1.5,5.694915875549634,3.9720633625118493,0.6974753357754373,0.9848578217638968,0.9983533920536432,0.9993196857250423,14,36.44732159054748,22.710057291536152,-13.73726429901133
F574-2,data\Rotmod_LTG\F574-2_rotmod.dat,25.0,25.0,1.5,5.694915875549634,2.847457937774817,0.5,0.9994709756927599,0.999720430061219,0.9997823272004519,5,7.294377305917471,15.942888333152098,8.648511027234626
F579-V1,data\Rotmod_LTG\F579-V1_rotmod.dat,16.65,25.0,1.5,5.694915875549634,3.689576554427001,0.6478720028627128,0.9520608904934859,0.9840158872242115,0.9986807198559092,14,38.60867712662157,27.892722038832954,-10.715955087788618
F583-1,data\Rotmod_LTG\F583-1_rotmod.dat,11.2875,25.0,1.5,5.694915875549634,4.369344962388618,0.7672360852857935,0.9994692467867262,0.9998705919076696,0.9999665360761972,25,32.7530184892085,26.72249350140204,-6.030524987806459
