galaxy,rms_base,rms_formula_hybrid,delta
NGC6015,42.6102280592021,88.27385982776752,45.66363176856542
NGC2915,48.67405553769961,88.68225951277502,40.00820397507541
NGC5985,40.79840930344115,77.97381705560883,37.175407752167686
UGC03205,30.67847409380547,63.98652388912541,33.30804979531994
NGC4013,39.27064458383943,70.45428643638816,31.183641852548732
NGC2841,84.15161804240093,111.62763850853206,27.476020466131132
NGC1003,48.097782870857365,71.81364128936383,23.715858418506464
NGC4100,28.52626487423136,51.80921736775189,23.282952493520533
NGC3741,25.04358426396026,48.11048105887638,23.066896794916122
NGC0024,20.735134251347343,43.47200464187546,22.736870390528114
