galaxy,alpha,gamma,rms_velocity,n_points,M_baryon,R_disk,sigma_velocity
F579-V1,17.035170008919852,1.343160122344836,7.907426152828355e-10,14,43418493723.84938,15.16,16.65
F583-1,20.0,2.100429003835611,12.360118877268944,25,21402432880.055798,16.26,11.2875
F583-4,15.675271755288389,1.0901027784899993,8.627596481021765,12,6264180753.138076,7.29,9.12
IC2574,19.992453289692193,2.364601870882372,7.585728065112405,34,9259220083.682009,10.23,9.36
IC4202,9.615840946820475,2.226664488810705,29.02424247610693,32,358433844723.38446,25.9,36.6
KK98-251,19.197477486937622,1.6896177323908181,3.3040373411816115,15,603474476.9874477,3.13,4.32
NGC0024,12.790833525915104,2.4449792174505944,12.072142464446113,29,29713425732.21757,11.27,15.975
NGC0055,18.45499522469068,1.4814038476230216,6.104531899869679,21,23074463912.13389,13.5,12.8625
NGC0100,16.22978440783462,2.7534483979386355,1.1291363486381527,21,16289648640.16736,9.62,12.802499999999998
NGC0247,16.97583395531381,1.7348511723239657,7.676120759159292e-10,26,37262552301.25523,14.54,15.75
NGC0289,20.0,3.0,55.22091865082883,28,477770339377.03406,71.12,25.5
NGC0300,20.0,3.0,19.797528759923512,25,23800019874.47699,11.8,13.9725
NGC0801,18.79058384186814,2.6831809216468456,35.81660281852399,13,679141938633.194,59.82,33.15
NGC0891,18.79058384186814,2.6831809216468456,69.83605984553267,18,190751443514.64435,17.11,32.85
NGC1003,20.0,3.0,47.540217163291636,36,86607866108.7866,30.24,16.65
NGC1090,20.0,3.0,19.006779897360516,24,188121952580.19528,30.09,24.6
NGC1705,20.0,2.496832960286772,34.52483725190456,14,7130055788.005579,6.0,10.725
NGC2366,20.0,3.0,14.42512475013787,26,3635211157.601116,6.06,7.619999999999999
NGC2403,20.0,3.0,29.92758662548027,73,87759999418.87495,20.87,20.175
NGC2683,20.0,3.0,32.22335848931044,11,233940505578.80057,34.62,25.575
NGC2841,20.0,3.0,73.4002558097149,50,1197358788935.379,63.64,42.675
NGC2903,20.0,3.0,59.55548838828978,34,195364797768.4798,24.96,27.525
NGC2915,20.0,-3.0,47.187608106092455,30,15730756950.255692,10.04,12.315
NGC2955,10.062132973901505,1.422213340746053,43.74138715081326,24,595943800557.8801,35.43,40.35
NGC2976,19.249429789042885,-2.524642846795042,3.200077542212936,27,3235034937.238495,2.27,11.745
NGC2998,20.0,2.286675308151703,14.646831626107616,13,443795037192.0038,42.28,31.875
NGC3109,20.0,3.0,16.195440906415698,25,6055087430.264995,6.45,9.5325
NGC3198,20.0,3.0,27.96245136014843,43,225956108786.61087,44.08,22.275
NGC3521,18.79058384186814,2.6831809216468456,51.88542819068376,41,181853556485.35565,17.74,31.5
NGC3726,20.0,3.0,31.698370093327657,12,195943960948.3961,32.52,24.15
NGC3741,20.0,3.0,24.78362787425612,21,3686731752.673176,7.0,7.14
NGC3769,20.0,3.0,33.869188099024626,12,123350555555.55556,37.16,17.925
NGC3877,19.249429789042885,-2.524642846795042,28.910061460426665,13,74463598326.35983,11.35,25.2
NGC3893,19.135430051140872,2.7847313507534652,25.873139256806827,10,147485835076.70853,19.05,27.375
NGC3917,19.66582643001289,2.984820084937734,2.750353987912016,17,64832017666.20177,14.86,20.55
NGC3949,19.249429789042885,-2.524642846795042,31.91970255462947,7,40508700604.37006,7.07,23.55
NGC3953,19.249429789042885,-2.524642846795042,18.26639069797791,8,175608163644.81638,15.68,32.925
NGC3972,19.956127838683113,2.0388174292394123,2.716396510084637,10,25882305904.230595,8.72,16.95
NGC3992,20.0,3.0,40.063368746281526,9,657929818688.9819,46.02,37.2
NGC4010,17.345127047836943,-0.6200903882744888,7.006230898228414,12,34175350418.41005,10.47,17.775
NGC4013,20.0,3.0,39.16752132515303,36,228386992096.69925,31.01,26.7
NGC4051,19.249429789042885,-2.524642846795042,29.682131008832762,7,66330941422.59414,12.19,22.95
NGC4068,19.956127838683113,2.0388174292394123,1.8988634554342736,6,378910698.5123199,2.33,3.9675
NGC4085,19.249429789042885,-2.524642846795042,33.53583468853068,7,23244955834.495583,6.2,19.05
NGC4088,18.79058384186814,2.6831809216468456,50.789665771094256,12,148573744769.87448,21.48,25.875
NGC4100,20.0,3.0,20.57832409369483,24,155607347745.2348,22.76,25.725
NGC4138,20.0,3.0,29.768760697472203,7,113345774058.5774,18.58,24.3
NGC4157,20.0,3.0,39.80579885859895,17,234293770920.5021,29.61,27.675
NGC4183,20.0,3.0,20.250001406423763,23,59121803812.18039,21.02,16.5
NGC4214,20.0,3.0,28.280101565683683,14,8396591422.594143,5.63,12.015
NGC4217,20.0,3.0,63.95778892982932,19,132299623430.96236,16.72,27.675
NGC4389,19.249429789042885,-2.524642846795042,57.39781645079807,6,7208739121.338913,5.32,11.4525
NGC4559,20.0,3.0,20.995573822472583,32,72551715481.17155,20.97,18.3
NGC5005,19.249429789042885,-2.524642846795042,57.02955192190641,18,185823598326.35983,11.47,39.6
NGC5033,20.0,3.0,53.776643335756305,22,404297695839.1447,44.59,29.625
NGC5055,20.0,3.0,57.39525180223429,28,408857147257.0898,54.59,26.925
NGC5371,19.249429789042885,-2.524642846795042,35.62745617971017,19,487648200836.8201,46.24,31.95
NGC5585,18.79058384186814,2.6831809216468456,21.991832480515004,24,20521498140.39981,10.96,13.4625
NGC5907,20.0,3.0,37.47968735414866,19,543314221873.5472,50.33,32.325
NGC5985,18.64489341050885,2.174724074499415,6.915493270240473e-10,33,685782547652.2549,34.72,43.725
NGC6015,20.0,3.0,39.402906693729804,44,162186752092.0502,29.23,23.175
NGC6195,10.062132973901505,1.422213340746053,43.60863162340211,23,535629815783.35657,36.43,37.725
NGC6503,20.0,-3.0,39.97526067639014,31,72242561599.25616,23.5,17.25
NGC6674,20.0,2.2726052730407384,72.16003937732677,15,985732040911.2042,72.41,36.3
NGC6946,20.0,3.0,25.242688096877384,58,116885076708.50768,20.4,23.55
NGC7331,20.0,3.0,68.65081735144801,36,480100998953.975,36.31,35.775
NGC7793,10.062132973901505,1.422213340746053,5.82026488142595,46,21337907949.7908,7.87,16.2
NGC7814,20.0,3.0,39.19557731027402,18,207902343096.2343,19.53,32.1
PGC51017,19.249429789042885,-2.524642846795042,2.859602361666247,6,306214801.2552302,3.63,2.8575
UGC00128,20.0,-3.0,56.77995970493284,22,212779157949.7908,53.75,19.575
UGC00191,18.79058384186814,2.6831809216468456,12.468103762422666,9,7696709623.4309635,9.98,8.64
UGC00731,20.0,0.5589548171786435,28.95465563950679,12,12337943253.138077,10.91,10.4625
UGC01230,20.0,3.0,17.90553045369738,11,91868117154.81172,36.54,15.6
UGC01281,19.28307184908398,1.6456145700990212,1.0413076247385111,25,3326205596.2343097,4.99,8.032499999999999
UGC02259,18.552499797771297,2.089617384007587,16.87917556492013,8,13113616631.799166,8.14,12.4875
UGC02455,19.249429789042885,-2.524642846795042,35.37808204018852,8,1217433304.2770803,4.03,5.4075
UGC02487,20.0,2.871034057735449,93.09166917343786,17,2065669775685.728,80.38,49.875
UGC02885,20.0,3.0,42.220221014869175,19,1528989372384.9373,74.07,44.7
UGC02916,17.565631142909055,2.114679224547551,36.380164446265624,43,387687006043.7006,38.0,31.425
UGC02953,20.0,3.0,53.291298638001116,115,1003127361692.2365,62.39,39.45
UGC03205,20.0,3.0,21.387495966253137,48,438271399349.14,40.04,32.55
UGC03546,18.79058384186814,2.6831809216468456,71.46982527223514,30,257038170037.192,29.23,29.175
UGC03580,20.0,2.8711792528153226,31.691121634146274,47,95162887029.28873,27.06,18.45
UGC04278,20.0,2.3915911873352074,0.2994960971060578,25,10920530822.873083,6.69,12.57
UGC04305,19.249429789042885,-2.524642846795042,4.5797301985284715,22,1431401952.580196,5.52,5.010000000000001
UGC04325,19.28307184908398,1.6456145700990212,8.251745256360529e-10,8,10385237656.903769,5.59,13.41
UGC04483,19.135430051140872,2.7847313507534652,3.4951373814542954,8,121686285.44862856,1.21,3.12
UGC04499,16.22978440783462,2.3414697965966695,9.460363829667822,9,8510109205.020922,8.18,10.035
UGC05005,20.0,3.0,25.27887878375933,11,37959142149.00047,28.61,11.3325
UGC05253,18.30276495440996,1.540852944155655,33.592002584943394,73,591395746745.6997,53.29,32.775
UGC05414,13.734260986835773,-0.14593780105169074,6.001474926099317e-10,6,2284489330.5439334,4.11,7.334999999999999
UGC05716,20.0,-3.0,31.261094464846842,12,14947543398.419336,12.37,10.815
UGC05721,20.0,3.0,28.54154985877302,23,9666780764.760578,6.74,11.7825
UGC05750,8.864876168773794,2.6428001124063476,10.083400514675631,11,16449251307.531382,22.85,8.3475
UGC05764,20.0,2.259360941094421,12.078134916448663,10,2099467468.6192477,3.62,7.4925
UGC05829,20.0,1.840177937986764,0.08130003345912883,11,3999527917.247792,6.91,7.484999999999999
UGC05918,17.597973133695195,1.393556765844165,7.57684609218305,8,1504923430.962343,4.46,5.714999999999999
UGC05986,16.22978440783462,2.7534483979386355,29.90910728749807,15,27930332403.533245,9.41,16.95
UGC06399,16.520546616168133,1.6270995244241013,13.1489564202199,9,10959800674.105068,7.85,11.625
UGC06446,20.0,3.0,27.66619657816803,17,15857130590.42306,10.22,12.254999999999995
UGC06614,18.79058384186814,2.6831809216468456,48.563936264369616,13,562155957112.9708,64.59,29.025
UGC06628,19.249429789042885,-2.524642846795042,8.06857555355479,7,3063773221.7573223,7.69,6.21
UGC06667,16.835436175114506,0.9155336134260024,9.40330600947714e-10,9,10903306950.255695,7.85,11.595
UGC06786,20.0,2.8772683843687767,19.42711631998644,45,400692991631.79913,34.05,33.75
UGC06787,12.218469030805025,2.9367007372833145,37.90150225658699,71,538141979893.073,37.19,37.425
UGC06818,16.22978440783462,2.7534483979386355,4.471808409346678,8,4988708379.8233385,6.98,8.3175
UGC06917,9.615840946820475,2.226664488810705,6.955153665912716e-10,11,24581501046.02511,10.47,15.075
UGC06923,18.79058384186814,2.6831809216468456,4.7264781407825875,6,6873391073.919109,5.16,11.355
UGC06930,19.135430051140872,2.7847313507534652,18.548267486220574,10,42567468619.246864,16.61,15.75
UGC06973,13.734260986835773,-0.14593780105169074,88.38482880825124,9,55245606694.56067,7.85,26.1
UGC06983,20.0,3.0,24.704185182667118,17,42907689446.76895,15.68,16.275
UGC07089,19.74737420350555,1.6270995244241013,0.18372227913593475,12,10166727010.6927,9.16,10.364999999999998
UGC07125,19.656149971900007,2.7141023047207065,10.098292570055163,13,18204804160.85542,18.68,9.7125
UGC07151,19.956127838683113,2.0388174292394123,0.17947327467483393,11,5902978556.485356,5.5,10.1925
UGC07261,16.22978440783462,2.3414697965966695,15.766896211356162,7,7510587447.698744,6.67,10.44
UGC07323,13.734260986835773,-0.14593780105169074,0.11777054233575134,10,5284605997.2106,5.82,9.375
UGC07399,19.442626506897113,2.4736525047541473,8.813520571849675e-10,10,12430363272.89633,6.13,14.01
UGC07524,16.839877284419202,1.203153672074341,4.924435434602644,31,15626210622.96606,10.69,11.895
UGC07559,19.956127838683113,2.0388174292394123,3.605825692518541,7,400618619.24686193,2.53,3.915
UGC07577,19.249429789042885,-2.524642846795042,1.7615904615055704,9,44976313.34263133,1.69,1.6049999999999998
UGC07603,20.0,3.0,14.889176433843076,12,3496891562.0641565,4.11,9.075
UGC07608,19.365797018517007,2.0748107666004945,8.841403081653122e-10,8,3132900000.000001,4.78,7.965
UGC07690,19.601783926309224,2.936193035176604,6.630351084751599,7,3218375941.422594,4.13,8.684999999999999
UGC07866,13.148784059844324,2.1330066099021474,6.867196991472636e-10,7,364556020.4556021,2.32,3.9
UGC08286,20.0,3.0,22.550339858506064,17,12720188284.518827,8.04,12.375
UGC08490,20.0,2.3291917583954427,34.56499230060985,30,14483503806.36913,10.15,11.7525
UGC08550,20.0,2.997577238902543,22.777561084664903,11,3421030590.4230604,5.36,7.86
UGC08699,19.907146469163088,2.9982970174297536,24.280758872450118,41,196795868200.8368,25.7,27.225
UGC08837,9.615840946820475,2.226664488810705,1.8302352499892807,8,981064156.2064158,4.2,4.755
UGC09037,14.944885995248049,2.3414697965966695,27.054657422258344,22,157154762900.97632,27.96,23.325
UGC09133,20.0,3.0,48.66087877386865,68,1291619408995.816,108.31,33.975
UGC10310,16.520546616168133,1.6270995244241013,9.892569555982693,7,8615544769.87448,7.74,10.38
UGC11455,19.4002387558458,2.9869553867623586,37.16232736441633,36,721094635053.4636,41.93,40.8
UGC11557,19.249429789042885,-2.524642846795042,20.837740296482337,12,13009370153.417015,10.56,10.92
UGC11820,18.79058384186814,2.6831809216468456,14.292871446527554,10,9895831517.317528,15.82,7.78125
UGC11914,5.165027185083547,1.2623624349467821,19.13060509292795,65,184297647605.7648,9.83,42.6
UGC12506,20.0,1.7670959906361956,33.55296848636666,31,630847770804.2772,49.99,34.95
UGC12632,20.0,2.3430126848251787,8.832105914347995,15,12055222280.33473,10.66,10.4625
UGC12732,20.0,1.8983783738395554,32.61353232021781,16,25741984193.398422,15.4,12.72
UGCA281,5.165027185083547,1.2623624349467821,6.911106340685908e-10,7,169707112.97071132,1.08,3.9
UGCA442,20.0,3.0,19.237625788466023,8,3963401046.025105,6.33,7.784999999999999
UGCA444,20.0,3.0,8.436089438040897,36,756744246.8619248,2.62,5.2875
