galaxy,status,n_points,alpha,gamma,alpha_eff,gamma_eff,alpha_scaling,gamma_scaling,shell_mode,shell_params,budget_factor,force_match,rms_velocity
CamB,ok,9,2.8271,0.8579,2.8271,0.8579,constant,constant,gravity_adaptive,"{'R_coh': 5.37, 'R_stop': 7.16, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40, 'g_floor': 1e-05, 'coh_radius_factor': 3.0, 'spillover_mode': 'hybrid', 'spill_weights': [0.004329977585476831, 0.008459431379879792, 0.011549136950474869, 0.014687551472274471, 0.016726248826387305, 0.017927056808226417, 0.0194605367521143, 0.01914835538727672, 0.017411475192114143, 0.01548009856880415, 0.017091200529808538, 0.01864147402268953, 0.020123216766935233, 0.021530646117286854, 0.022859541870764367, 0.024106939443286072, 0.025270873449472566, 0.026350168910047284, 0.027344275349557832, 0.028253137978349545, 0.02907709982585561, 0.029816828896938014, 0.030473264958768603, 0.03104758127094971, 0.03154115732978044, 0.03195555943300872, 0.03229252654033237, 0.03255395948663244, 0.032741912093973764, 0.029894402073188685, 0.03025695115231052, 0.030583364700826933, 0.030870427362361893, 0.03111488172904419, 0.0313134536582196, 0.03146288149983578, 0.03155994935461929, 0.031601524412334686, 0.0315845983326071, 0.03150633252718486]}",1.0,False,4.617308718480159
D564-8,ok,6,2.8271,0.8579,2.8271,0.8579,constant,constant,gravity_adaptive,"{'R_coh': 9.209999999999999, 'R_stop': 12.28, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40, 'g_floor': 1e-05, 'coh_radius_factor': 3.0, 'spillover_mode': 'hybrid', 'spill_weights': [0.08436924420328319, 0.11475092578866973, 0.13527442469791315, 0.13813077675359695, 0.14176474386308224, 0.13380700333939452, 0.12380778482301942, 0.10091763675641595, 0.027177459774624893, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",1.0,False,7.135889908017579
D631-7,ok,16,2.8271,0.8579,2.8271,0.8579,constant,constant,gravity_adaptive,"{'R_coh': 21.57, 'R_stop': 28.76, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40, 'g_floor': 1e-05, 'coh_radius_factor': 3.0, 'spillover_mode': 'hybrid', 'spill_weights': [0.10118938807809623, 0.17270745311585356, 0.16006169824470767, 0.14943781042211607, 0.1375212349946704, 0.10813760491833055, 0.08400053051354929, 0.05445003417454787, 0.03249424553812834, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",1.0,False,29.39597751645441
DDO064,ok,14,2.8271,0.8579,2.8271,0.8579,constant,constant,gravity_adaptive,"{'R_coh': 8.94, 'R_stop': 11.92, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40, 'g_floor': 1e-05, 'coh_radius_factor': 3.0, 'spillover_mode': 'hybrid', 'spill_weights': [0.020723653585185825, 0.058495519836652035, 0.08856613335022671, 0.11912988151106343, 0.1424687279631034, 0.15505810629563957, 0.14640977278707137, 0.14453467330647782, 0.12461353136457992, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",1.0,False,9.495226512008148
DDO154,ok,12,2.8271,0.8579,2.8271,0.8579,constant,constant,gravity_adaptive,"{'R_coh': 17.759999999999998, 'R_stop': 23.68, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40, 'g_floor': 1e-05, 'coh_radius_factor': 3.0, 'spillover_mode': 'hybrid', 'spill_weights': [0.24300147090913898, 0.2754176535527553, 0.189438282689736, 0.13914851110538395, 0.09344447733386807, 0.05954960440911754, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",1.0,False,36.78353035819912
DDO161,ok,31,2.8271,0.8579,2.8271,0.8579,constant,constant,gravity_adaptive,"{'R_coh': 40.11, 'R_stop': 53.48, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40, 'g_floor': 1e-05, 'coh_radius_factor': 3.0, 'spillover_mode': 'hybrid', 'spill_weights': [0.09718728765441235, 0.16599019793129594, 0.18890368201152918, 0.15988123509482827, 0.14212177026127412, 0.10760516487855841, 0.07667021055686717, 0.061640451611234534, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",1.0,False,23.03899875622039
DDO168,ok,10,2.8271,0.8579,2.8271,0.8579,constant,constant,gravity_adaptive,"{'R_coh': 12.36, 'R_stop': 16.48, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40, 'g_floor': 1e-05, 'coh_radius_factor': 3.0, 'spillover_mode': 'hybrid', 'spill_weights': [0.04316437486621666, 0.0744324086053492, 0.09736213616006127, 0.11630964226696433, 0.13050972618842133, 0.14053874522161638, 0.14781621703738013, 0.1439310504045322, 0.10593569924945846, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",1.0,False,10.407096082022507
DDO170,ok,8,2.8271,0.8579,2.8271,0.8579,constant,constant,gravity_adaptive,"{'R_coh': 36.99, 'R_stop': 49.32, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40, 'g_floor': 1e-05, 'coh_radius_factor': 3.0, 'spillover_mode': 'hybrid', 'spill_weights': [0.09582795474368438, 0.1193184257231072, 0.14075559997683204, 0.14358411429044027, 0.14002726664313397, 0.12711355688083953, 0.10450825327260439, 0.08844341823457541, 0.04042141023478273, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",1.0,False,13.46191077562521
ESO079-G014,ok,15,2.8271,0.8579,2.8271,0.8579,constant,constant,gravity_adaptive,"{'R_coh': 50.010000000000005, 'R_stop': 66.68, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40, 'g_floor': 1e-05, 'coh_radius_factor': 3.0, 'spillover_mode': 'hybrid', 'spill_weights': [0.0013974361062849044, 0.0036845059918541203, 0.005975073522736417, 0.00868487606674841, 0.01146292868289276, 0.013291818648119185, 0.014082608511332423, 0.013672701719856364, 0.013619827977178882, 0.013279380548677935, 0.014940800189345477, 0.016608044442299505, 0.01825248089500594, 0.019864127893347173, 0.021433985225897675, 0.02295395367629333, 0.02441677288622284, 0.025815972686902642, 0.027145834204402707, 0.028401357847506217, 0.02957823590283263, 0.03067282796135408, 0.031682137814961236, 0.03260379080688063, 0.033436010904923937, 0.03417759699920596, 0.03482789811299704, 0.03538678736338213, 0.03585463462355255, 0.032675994703058084, 0.033240874155203645, 0.03376805266761287, 0.034253107831641, 0.034691518147782985, 0.03507869620965154, 0.035410027210780355, 0.03568091294240373, 0.0358868213599511, 0.036023341684752935, 0.03608624487416664]}",1.0,False,28.530166389676836
ESO116-G012,ok,15,2.8271,0.8579,2.8271,0.8579,constant,constant,gravity_adaptive,"{'R_coh': 29.58, 'R_stop': 39.44, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40, 'g_floor': 1e-05, 'coh_radius_factor': 3.0, 'spillover_mode': 'hybrid', 'spill_weights': [0.0317079967285449, 0.07868268698326655, 0.1108317839040032, 0.1416846233011205, 0.15128410093522496, 0.12772172480228888, 0.12150789045873557, 0.12029926600849221, 0.10616778188954806, 0.010112144988775187, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",1.0,False,23.830772775096577
