galaxy,status,n_points,alpha,gamma,alpha_eff,gamma_eff,alpha_scaling,gamma_scaling,shell_mode,shell_params,budget_factor,force_match,rms_velocity
CamB,ok,9,2.8271,0.8579,2.8271,0.8579,constant,constant,adaptive,"{'R_coh': 7.16, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40}",1.0,False,5.710276361772014
D564-8,ok,6,2.8271,0.8579,2.8271,0.8579,constant,constant,adaptive,"{'R_coh': 12.28, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40}",1.0,False,9.84961741280304
D631-7,ok,16,2.8271,0.8579,2.8271,0.8579,constant,constant,adaptive,"{'R_coh': 28.76, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40}",1.0,False,24.802613172157955
DDO064,ok,14,2.8271,0.8579,2.8271,0.8579,constant,constant,adaptive,"{'R_coh': 11.92, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40}",1.0,False,13.21191269590916
DDO154,ok,12,2.8271,0.8579,2.8271,0.8579,constant,constant,adaptive,"{'R_coh': 23.68, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40}",1.0,False,22.680262339912897
DDO161,ok,31,2.8271,0.8579,2.8271,0.8579,constant,constant,adaptive,"{'R_coh': 53.48, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40}",1.0,False,21.45835706181165
DDO168,ok,10,2.8271,0.8579,2.8271,0.8579,constant,constant,adaptive,"{'R_coh': 16.48, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40}",1.0,False,18.069263419542793
DDO170,ok,8,2.8271,0.8579,2.8271,0.8579,constant,constant,adaptive,"{'R_coh': 49.32, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40}",1.0,False,24.346881633292345
ESO079-G014,ok,15,2.8271,0.8579,2.8271,0.8579,constant,constant,adaptive,"{'R_coh': 66.68, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40}",1.0,False,85.7652832761564
ESO116-G012,ok,15,2.8271,0.8579,2.8271,0.8579,constant,constant,adaptive,"{'R_coh': 39.44, 'r_factor': 4.0, 'n_shell_min': 8, 'n_shell_max': 40}",1.0,False,55.65720302360801
