galaxy,rms_base,rms_formula_mass,delta
UGC12506,67.37621359432588,42.85213754429567,-24.524076050030203
UGC00128,64.85312811111339,42.1888009521611,-22.66432715895229
UGC02885,68.08142385690768,46.89010305176194,-21.191320805145736
UGC02259,32.78032530218711,12.126876920452242,-20.65344838173487
UGC06787,62.19721472470859,41.92019095415928,-20.277023770549306
UGC06399,22.8511567055231,5.381694769737792,-17.469461935785308
NGC0300,34.34479854359516,18.50478741599447,-15.84001112760069
F571-V1,32.98108787600788,17.90585503134326,-15.075232844664615
UGC00731,35.88906164435356,20.835103379244227,-15.053958265109333
NGC5033,60.84356113944229,46.47089933144215,-14.372661808000146
