galaxy,rms_base,rms_formula_hybrid,delta
UGC12506,67.37621359432588,43.06510327983512,-24.311110314490755
UGC00128,64.85312811111339,43.36288046079722,-21.49024765031617
UGC02885,68.08142385690768,47.31179700108429,-20.76962685582339
UGC06787,62.19721472470859,41.72511070642335,-20.472104018285236
UGC02259,32.78032530218711,12.335650644330542,-20.444674657856567
UGC06399,22.8511567055231,5.939264798381055,-16.911891907142042
NGC0300,34.34479854359516,19.07653996525759,-15.26825857833757
UGC00731,35.88906164435356,20.88687568023041,-15.00218596412315
F571-V1,32.98108787600788,18.248748177109483,-14.732339698898393
NGC5033,60.84356113944229,47.12820547776291,-13.715355661679382
