galaxy,rotmod_path,sigma_v,sigma_ref,beta_sigma,A_base,A_eff,sigma_gate,accel_gate_min,accel_gate_median,accel_gate_max,n_points,rms_gr,rms_metric_resonance_sigma,delta_rms
CamB,data\Rotmod_LTG\CamB_rotmod.dat,1.635,25.0,1.0,5.694915875549634,5.345331214144578,0.9386146048432513,0.9893172003517764,0.9928105736510197,0.9987419886424204,9,4.616823441597752,4.615987385675873,-0.0008360559218791863
D512-2,data\Rotmod_LTG\D512-2_rotmod.dat,25.0,25.0,1.0,5.694915875549634,2.847457937774817,0.5,0.9932505753994734,0.9953716133933457,0.9984299100733218,4,12.493950382400962,12.297739203630984,-0.1962111787699783
D564-8,data\Rotmod_LTG\D564-8_rotmod.dat,3.1275,25.0,1.0,5.694915875549634,5.0616975162648945,0.8888098835659052,0.9988886852707655,0.9994690459807256,0.9998698364913406,6,10.049576841590154,9.993367865728127,-0.056208975862027444
D631-7,data\Rotmod_LTG\D631-7_rotmod.dat,8.355,25.0,1.0,5.694915875549634,4.26841243857715,0.749512816669165,0.9717801876237749,0.9966991236624695,0.9996846761726506,16,24.5852323730351,22.09629334530726,-2.4889390277278416
DDO064,data\Rotmod_LTG\DDO064_rotmod.dat,6.7875,25.0,1.0,5.694915875549634,4.478895694494403,0.7864726700747149,0.9851759970001862,0.9909466401814184,0.9997249163102156,14,14.591505838594633,14.539415294094823,-0.05209054449981032
DDO154,data\Rotmod_LTG\DDO154_rotmod.dat,6.757499999999999,25.0,1.0,5.694915875549634,4.483126722466846,0.7872156183578682,0.9881572332724164,0.9986500737178701,0.9997586946790513,12,22.680803776816237,21.584977071658212,-1.095826705158025
DDO161,data\Rotmod_LTG\DDO161_rotmod.dat,9.967499999999998,25.0,1.0,5.694915875549634,4.071577804782751,0.7149495960534783,0.9762500279489138,0.9956896715127092,0.9994609745231293,31,21.31489016029167,9.638999823055356,-11.675890337236316
DDO168,data\Rotmod_LTG\DDO168_rotmod.dat,7.199999999999999,25.0,1.0,5.694915875549634,4.421518536917417,0.7763975155279502,0.9642554275767942,0.9873050332205124,0.9962008696012157,10,18.767038568918075,18.320243470428927,-0.44679509848914734
DDO170,data\Rotmod_LTG\DDO170_rotmod.dat,8.565,25.0,1.0,5.694915875549634,4.241707042715353,0.7448234768359898,0.9950683979251862,0.9977853506448551,0.9995066097727845,8,24.535484730575124,14.873134501121998,-9.662350229453127
ESO079-G014,data\Rotmod_LTG\ESO079-G014_rotmod.dat,23.775,25.0,1.0,5.694915875549634,2.9189727706558863,0.5125576627370579,0.6365041231660131,0.7862436374873517,0.900771120874457,15,28.886704382352235,14.271816436915726,-14.614887945436509
ESO116-G012,data\Rotmod_LTG\ESO116-G012_rotmod.dat,16.275,25.0,1.0,5.694915875549634,3.4493736375224917,0.6056935190793459,0.6889496884072844,0.8713813849281119,0.9884711264149103,15,34.256228959673145,23.879394913281804,-10.376834046391341
ESO444-G084,data\Rotmod_LTG\ESO444-G084_rotmod.dat,7.919999999999999,25.0,1.0,5.694915875549634,4.324814607798932,0.7594167679222357,0.9785054814808579,0.9904391336088243,0.999577815796112,7,31.693305766747677,31.361318372272656,-0.33198739447502135
ESO563-G021,data\Rotmod_LTG\ESO563-G021_rotmod.dat,46.875,25.0,1.0,5.694915875549634,1.9808403045390033,0.3478260869565218,0.07577148616849395,0.32512018316459756,0.9192036397678554,30,62.93505741241875,43.27480049308222,-19.660256919336533
F561-1,data\Rotmod_LTG\F561-1_rotmod.dat,7.1025,25.0,1.0,5.694915875549634,4.434947337084053,0.7787555486332839,0.9718388975999575,0.9856715785668475,0.987888392107766,6,4.42316040510831,18.750244186954404,14.327083781846095
F563-1,data\Rotmod_LTG\F563-1_rotmod.dat,15.9375,25.0,1.0,5.694915875549634,3.4778112217097,0.6106870229007634,0.9875388910531309,0.9974457972300558,0.9992171719557994,17,57.23862337544333,43.37051204790387,-13.86811132753946
F563-V1,data\Rotmod_LTG\F563-V1_rotmod.dat,4.1925,25.0,1.0,5.694915875549634,4.877036803587937,0.8563843452941681,0.9963081301104492,0.9979335747304825,0.9987318616845396,6,1.9045179143635556,7.678005261288762,5.773487346925206
F563-V2,data\Rotmod_LTG\F563-V2_rotmod.dat,15.435,25.0,1.0,5.694915875549634,3.5210312078333335,0.6182762458266353,0.9594917948608384,0.986088128384852,0.9979046207956603,10,51.070448240065694,40.98746558253725,-10.082982657528447
F565-V2,data\Rotmod_LTG\F565-V2_rotmod.dat,10.275,25.0,1.0,5.694915875549634,4.0360849578665015,0.7087172218284904,0.9971869445526842,0.998035794335191,0.9984091978705134,7,37.81055917316258,32.19453148894369,-5.616027684218892
F567-2,data\Rotmod_LTG\F567-2_rotmod.dat,25.0,25.0,1.0,5.694915875549634,2.847457937774817,0.5,0.9873985255734785,0.9962821492881465,0.9967913580537063,5,11.042301659590876,7.2982569521918546,-3.7440447073990217
