scenario,mean_rms,median_rms,improved_vs_base,improved_pct,mean_delta,min_delta,max_delta
baseline,31.938726650150375,30.67847409380547,0,0.0,0.0,0.0,0.0
massneg,31.03865477121469,29.80953528935629,89,53.939393939393945,-0.9000718789356812,-7.904251126640174,22.305565685965945
masspos,32.297128830726315,30.712882193894057,57,34.54545454545455,0.3584021805759382,-18.623590606706628,7.0918437844524576
sigmaneg,31.20602818009627,30.362607758285964,120,72.72727272727273,-0.7326984700541043,-5.178179128028965,2.8153564867140237
sigmapos,32.5014015958223,31.29842222359025,26,15.757575757575756,0.5626749456719276,-3.14473929755853,3.8502076723366425
gamma_masslog,31.968386418552672,30.13288792811214,84,50.90909090909091,0.0296597684022949,-2.41952752431542,2.769668824092278
massneg_gammalog,31.17631956153845,29.807816766254856,89,53.939393939393945,-0.7624070886119292,-7.692262438141999,26.1100818403128
