galaxy,rotmod_path,sigma_v,sigma_ref,beta_sigma,A_base,A_eff,n_points,rms_gr,rms_metric_resonance_sigma,delta_rms
CamB,data\Rotmod_LTG\CamB_rotmod.dat,1.635,30.0,0.4,5.694915875549634,5.694915875549634,9,4.616823441597752,4.6159313866737,-0.0008920549240523101
D512-2,data\Rotmod_LTG\D512-2_rotmod.dat,30.0,30.0,0.4,5.694915875549634,5.694915875549634,4,12.493950382400962,12.107640398514114,-0.38630998388684823
D564-8,data\Rotmod_LTG\D564-8_rotmod.dat,3.1275,30.0,0.4,5.694915875549634,5.694915875549634,6,10.049576841590154,9.986386337494098,-0.06319050409605609
D631-7,data\Rotmod_LTG\D631-7_rotmod.dat,8.355,30.0,0.4,5.694915875549634,5.694915875549634,16,24.5852323730351,21.35477577555396,-3.2304565974811403
DDO064,data\Rotmod_LTG\DDO064_rotmod.dat,6.7875,30.0,0.4,5.694915875549634,5.694915875549634,14,14.591505838594633,14.524795744933416,-0.06671009366121794
DDO154,data\Rotmod_LTG\DDO154_rotmod.dat,6.757499999999999,30.0,0.4,5.694915875549634,5.694915875549634,12,22.680803776816237,21.31267927193851,-1.368124504877727
DDO161,data\Rotmod_LTG\DDO161_rotmod.dat,9.967499999999998,30.0,0.4,5.694915875549634,5.694915875549634,31,21.31489016029167,6.230710649877909,-15.084179510413762
DDO168,data\Rotmod_LTG\DDO168_rotmod.dat,7.199999999999999,30.0,0.4,5.694915875549634,5.694915875549634,10,18.767038568918075,18.192720916694697,-0.5743176522233782
DDO170,data\Rotmod_LTG\DDO170_rotmod.dat,8.565,30.0,0.4,5.694915875549634,5.694915875549634,8,24.535484730575124,12.739605899252227,-11.795878831322897
ESO079-G014,data\Rotmod_LTG\ESO079-G014_rotmod.dat,23.775,30.0,0.4,5.694915875549634,5.694915875549634,15,28.886704382352235,41.70881852276358,12.822114140411344
ESO116-G012,data\Rotmod_LTG\ESO116-G012_rotmod.dat,16.275,30.0,0.4,5.694915875549634,5.694915875549634,15,34.256228959673145,18.394246844392907,-15.861982115280238
ESO444-G084,data\Rotmod_LTG\ESO444-G084_rotmod.dat,7.919999999999999,30.0,0.4,5.694915875549634,5.694915875549634,7,31.693305766747677,31.25988141789407,-0.43342434885360603
ESO563-G021,data\Rotmod_LTG\ESO563-G021_rotmod.dat,46.875,30.0,0.4,5.694915875549634,4.763863430523726,30,62.93505741241875,100.80742335660126,37.87236594418251
F561-1,data\Rotmod_LTG\F561-1_rotmod.dat,7.1025,30.0,0.4,5.694915875549634,5.694915875549634,6,4.42316040510831,22.496343617407856,18.073183212299547
F563-1,data\Rotmod_LTG\F563-1_rotmod.dat,15.9375,30.0,0.4,5.694915875549634,5.694915875549634,17,57.23862337544333,37.23176950377858,-20.006853871664752
F563-V1,data\Rotmod_LTG\F563-V1_rotmod.dat,4.1925,30.0,0.4,5.694915875549634,5.694915875549634,6,1.9045179143635556,8.565781077597272,6.661263163233716
F563-V2,data\Rotmod_LTG\F563-V2_rotmod.dat,15.435,30.0,0.4,5.694915875549634,5.694915875549634,10,51.070448240065694,36.73332622429929,-14.337122015766404
F565-V2,data\Rotmod_LTG\F565-V2_rotmod.dat,10.275,30.0,0.4,5.694915875549634,5.694915875549634,7,37.81055917316258,30.327189216130837,-7.483369957031744
F567-2,data\Rotmod_LTG\F567-2_rotmod.dat,30.0,30.0,0.4,5.694915875549634,5.694915875549634,5,11.042301659590876,9.00021154830938,-2.042090111281496
F568-1,data\Rotmod_LTG\F568-1_rotmod.dat,18.075,30.0,0.4,5.694915875549634,5.694915875549634,12,59.47223904806734,42.31956153563528,-17.152677512432057
F568-3,data\Rotmod_LTG\F568-3_rotmod.dat,14.4525,30.0,0.4,5.694915875549634,5.694915875549634,18,33.872109024328516,17.74537226081757,-16.126736763510944
F568-V1,data\Rotmod_LTG\F568-V1_rotmod.dat,16.8,30.0,0.4,5.694915875549634,5.694915875549634,15,55.10144891123267,39.90163267034153,-15.199816240891145
F571-8,data\Rotmod_LTG\F571-8_rotmod.dat,17.099999999999998,30.0,0.4,5.694915875549634,5.694915875549634,13,47.869589054996254,30.00287497210671,-17.866714082889544
F571-V1,data\Rotmod_LTG\F571-V1_rotmod.dat,11.55,30.0,0.4,5.694915875549634,5.694915875549634,7,33.703220222549966,14.625518916298367,-19.077701306251598
F574-1,data\Rotmod_LTG\F574-1_rotmod.dat,14.325,30.0,0.4,5.694915875549634,5.694915875549634,14,36.44732159054748,19.944562184632247,-16.502759405915235
F574-2,data\Rotmod_LTG\F574-2_rotmod.dat,30.0,30.0,0.4,5.694915875549634,5.694915875549634,5,7.294377305917471,23.808671102913088,16.514293796995617
F579-V1,data\Rotmod_LTG\F579-V1_rotmod.dat,16.65,30.0,0.4,5.694915875549634,5.694915875549634,14,38.60867712662157,28.199329608273132,-10.40934751834844
F583-1,data\Rotmod_LTG\F583-1_rotmod.dat,11.2875,30.0,0.4,5.694915875549634,5.694915875549634,25,32.7530184892085,25.640030040333205,-7.112988448875296
F583-4,data\Rotmod_LTG\F583-4_rotmod.dat,9.12,30.0,0.4,5.694915875549634,5.694915875549634,12,19.018287399996733,12.527880935894903,-6.490406464101831
IC2574,data\Rotmod_LTG\IC2574_rotmod.dat,9.36,30.0,0.4,5.694915875549634,5.694915875549634,34,18.897457874966218,8.917365177908245,-9.980092697057973
IC4202,data\Rotmod_LTG\IC4202_rotmod.dat,36.6,30.0,0.4,5.694915875549634,5.259486937846585,32,35.22311818624543,135.60160860742263,100.3784904211772
KK98-251,data\Rotmod_LTG\KK98-251_rotmod.dat,4.32,30.0,0.4,5.694915875549634,5.694915875549634,15,7.801556034620339,7.714105419463682,-0.08745061515665764
