galaxy,n_points,sigma_v_true,Q_gal,sigma_eff,G_sigma,rms_gr,rms_theory,delta_rms
CamB,9,1.635,10.645746184713625,27.348355818955916,0.9141317366754382,4.616823441597752,4.616823441597752,0.0
D512-2,4,25.0,0.870331642936753,53.72468237009365,0.4653354640197274,12.493950382400962,12.493950382400962,0.0
D564-8,6,3.1275,3.4504444399966245,32.24544343047717,0.7753033402657739,10.049576841590154,10.049576841590154,0.0
D631-7,16,8.355,2.5498138258852525,34.80463739987778,0.7182950855878703,24.5852323730351,24.5852323730351,0.0
DDO064,14,6.7875,4.059304311555797,31.158690770936147,0.8023443662568525,14.591505838594633,14.591505838594633,0.0
DDO154,12,6.757499999999999,2.7048938944541407,34.24250672133855,0.730086737032631,22.680803776816237,22.680803776816237,0.0
DDO161,31,9.967499999999998,3.275675808415369,32.63201289204927,0.766118844176211,21.31489016029167,21.31489016029167,0.0
DDO168,10,7.199999999999999,3.956683866853937,31.31842240655889,0.7982522132010184,18.767038568918075,18.767038568918075,0.0
DDO170,8,8.565,3.644219987399465,31.860178607889186,0.7846785891466888,24.535484730575124,24.535484730575124,0.0
ESO079-G014,15,23.775,5.653841209911213,29.421772574046628,0.8497108709912625,28.886704382352235,28.886704382352235,0.0
ESO116-G012,15,16.275,3.769604683109307,31.631995156420246,0.7903390183380775,34.256228959673145,34.256228959673145,0.0
ESO444-G084,7,7.919999999999999,2.772073171269245,34.01852096081334,0.7348937959060017,31.693305766747677,31.693305766747677,0.0
ESO563-G021,30,46.875,4.40740649200613,30.672270085671332,0.8150684618442652,62.93505741241875,62.93505741241875,0.0
F561-1,6,7.1025,6.862049005908539,28.643226677406975,0.8728066946353967,4.42316040510831,4.42316040510831,0.0
F563-1,17,15.9375,2.5596616462289896,34.766915887821014,0.7190744235314125,57.23862337544333,57.23862337544333,0.0
F563-V1,6,4.1925,6.976913391319507,28.583246429732718,0.8746382277275064,1.9045179143635556,1.9045179143635556,0.0
F563-V2,10,15.435,3.544499705092454,32.053181571459014,0.7799537760164392,51.070448240065694,51.070448240065694,0.0
F565-V2,7,10.275,2.8851451420596006,33.66507533210388,0.7426093586120497,37.81055917316258,37.81055917316258,0.0
F567-2,5,25.0,1.3811625248318895,43.10069383618913,0.5800370661088746,11.042301659590876,11.042301659590876,0.0
F568-1,12,18.075,3.3706838952899774,32.416892469487784,0.7712028542998409,59.47223904806734,59.47223904806734,0.0
F568-3,18,14.4525,4.286959603660106,30.83163880962526,0.8108553734158077,33.872109024328516,33.872109024328516,0.0
F568-V1,15,16.8,2.9831686050747876,33.38035099909254,0.7489435926146982,55.10144891123267,55.10144891123267,0.0
F571-8,13,17.099999999999998,4.056912289873269,31.162322035505714,0.8022508711486747,47.869589054996254,47.869589054996254,0.0
F571-V1,7,11.55,3.591684705226429,31.96052188646217,0.7822150116575378,33.703220222549966,33.703220222549966,0.0
F574-1,14,14.325,3.9230055283251803,31.372664993585435,0.7968720542265564,36.44732159054748,36.44732159054748,0.0
F574-2,5,25.0,1.496320821214488,41.70764694680167,0.5994104637906722,7.294377305917471,7.294377305917471,0.0
F579-V1,14,16.65,4.53339738739637,30.514627963016068,0.8192792004641238,38.60867712662157,38.60867712662157,0.0
F583-1,25,11.2875,3.4201294221425065,32.30966490277991,0.77376228058153,32.7530184892085,32.7530184892085,0.0
F583-4,12,9.12,4.412521574465283,30.66569467777153,0.8152432306750126,19.018287399996733,19.018287399996733,0.0
IC2574,34,9.36,3.825412526926844,31.535242885316688,0.7927638322278595,18.897457874966218,18.897457874966218,0.0
IC4202,32,36.6,5.561352400608512,29.495309449777817,0.8475923957525497,35.22311818624543,35.22311818624543,0.0
KK98-251,15,4.32,4.954518148693562,30.045899368961273,0.8320602985785839,7.801556034620339,7.801556034620339,0.0
NGC0024,29,15.975,3.3359133630120286,32.49419942292124,0.7693680855040586,32.600734022504845,32.600734022504845,0.0
NGC0055,21,12.8625,4.465229828174872,30.59881595394129,0.8170250782785556,22.25378039182271,22.25378039182271,0.0
NGC0100,21,12.802499999999998,3.6191926395942033,31.907617938459083,0.783511951541417,26.631135883562084,26.631135883562084,0.0
NGC0247,26,15.75,3.974356754874476,31.29032609348367,0.7989689824679183,32.17495623382241,32.17495623382241,0.0
NGC0289,28,25.5,3.5257002925467567,32.09078989296095,0.7790397208478717,55.649949442799354,55.649949442799354,0.0
