galaxy,rms_base,rms_mass_adaptive,delta
NGC3953,18.26639069797791,18.26639069797791,0.0
NGC4051,29.68213100883276,29.68213100883276,0.0
NGC4085,33.53583468853068,33.53583468853068,0.0
NGC4389,57.39781645079807,57.39781645079807,0.0
NGC5005,57.02955192190641,57.02955192190641,0.0
PGC51017,2.859602361666247,2.859602361666247,0.0
UGC02455,35.37808204018852,35.37808204018852,0.0
UGC11557,20.837740296482337,20.837740296482337,0.0
UGC00128,64.85312811111339,64.85612367473848,0.0029955636250917905
UGC00731,35.88906164435356,35.89269313139874,0.0036314870451761294
