galaxy,n_points,sigma_v_true,Q_gal,G_sigma,K_mean,rms_gr,rms_theory,delta_rms
CamB,9,1.635,10.645746184713625,0.9141317366754382,-0.36055278692842446,4.616823441597752,4.33473398048992,-0.28208946110783195
D512-2,4,25.0,0.870331642936753,0.4653354640197274,-0.17489760684712097,12.493950382400962,14.283201090483391,1.7892507080824291
D564-8,6,3.1275,3.4504444399966245,0.7753033402657739,-0.34437187123692553,10.049576841590154,12.043512306995567,1.9939354654054124
D631-7,16,8.355,2.5498138258852525,0.7182950855878703,-0.18438068598801177,24.5852323730351,26.28796296259783,1.70273058956273
DDO064,14,6.7875,4.059304311555797,0.8023443662568525,-0.22437864206590796,14.591505838594633,17.35977047503869,2.768264636444057
DDO154,12,6.757499999999999,2.7048938944541407,0.730086737032631,-0.2183699998248312,22.680803776816237,24.575172587239827,1.8943688104235896
DDO161,31,9.967499999999998,3.275675808415369,0.766118844176211,-0.1870538890444945,21.31489016029167,23.72713938867654,2.4122492283848693
DDO168,10,7.199999999999999,3.956683866853937,0.7982522132010184,-0.23142231025896493,18.767038568918075,21.70464315272642,2.937604583808344
DDO170,8,8.565,3.644219987399465,0.7846785891466888,-0.4218477621496731,24.535484730575124,31.00062190743705,6.465137176861926
ESO079-G014,15,23.775,5.653841209911213,0.8497108709912625,-0.12976751172725107,28.886704382352235,33.76365721501362,4.876952832661388
ESO116-G012,15,16.275,3.769604683109307,0.7903390183380775,-0.12053171488728301,34.256228959673145,37.20514011721703,2.9489111575438827
ESO444-G084,7,7.919999999999999,2.772073171269245,0.7348937959060017,-0.1916146642965241,31.693305766747677,33.64335114732412,1.9500453805764408
ESO563-G021,30,46.875,4.40740649200613,0.8150684618442652,-0.08515802498298734,62.93505741241875,67.69365069981228,4.758593287393531
F561-1,6,7.1025,6.862049005908539,0.8728066946353967,-0.45126637408404296,4.42316040510831,10.219827459711725,5.796667054603415
F563-1,17,15.9375,2.5596616462289896,0.7190744235314125,-0.2192676620264794,57.23862337544333,60.817217756280876,3.5785943808375436
F563-V1,6,4.1925,6.976913391319507,0.8746382277275064,-0.44987141106032036,1.9045179143635556,6.486252077929487,4.581734163565931
F563-V2,10,15.435,3.544499705092454,0.7799537760164392,-0.12663682301242252,51.070448240065694,53.51914210386968,2.448693863803989
F565-V2,7,10.275,2.8851451420596006,0.7426093586120497,-0.3130066983458231,37.81055917316258,41.86623314478989,4.055673971627307
F567-2,5,25.0,1.3811625248318895,0.5800370661088746,-0.3227347834889416,11.042301659590876,16.57334042789067,5.531038768299794
F568-1,12,18.075,3.3706838952899774,0.7712028542998409,-0.13666958910862684,59.47223904806734,62.424779817448716,2.952540769381379
F568-3,18,14.4525,4.286959603660106,0.8108553734158077,-0.18873092073881645,33.872109024328516,37.72638908294643,3.854280058617917
F568-V1,15,16.8,2.9831686050747876,0.7489435926146982,-0.12372812401159568,55.10144891123267,57.63625823168797,2.5348093204552953
F571-8,13,17.099999999999998,4.056912289873269,0.8022508711486747,-0.11385071999537469,47.869589054996254,47.662333594615546,-0.20725546038070775
F571-V1,7,11.55,3.591684705226429,0.7822150116575378,-0.41644064971416295,33.703220222549966,41.89348830353556,8.190268080985597
F574-1,14,14.325,3.9230055283251803,0.7968720542265564,-0.14934895511424418,36.44732159054748,39.784448623662186,3.3371270331147045
F574-2,5,25.0,1.496320821214488,0.5994104637906722,-0.3598069772951889,7.294377305917471,2.0831494032828486,-5.211227902634622
F579-V1,14,16.65,4.53339738739637,0.8192792004641238,-0.1399646574922878,38.60867712662157,42.91713761870048,4.308460492078908
F583-1,25,11.2875,3.4201294221425065,0.77376228058153,-0.14837495678869256,32.7530184892085,34.4738145004487,1.7207960112401963
F583-4,12,9.12,4.412521574465283,0.8152432306750126,-0.17987930575685596,19.018287399996733,22.201817596610777,3.1835301966140435
IC2574,34,9.36,3.825412526926844,0.7927638322278595,-0.24790120202725974,18.897457874966218,22.117544697007023,3.2200868220408054
IC4202,32,36.6,5.561352400608512,0.8475923957525497,-0.15700256327286544,35.22311818624543,37.610048501421396,2.3869303151759667
KK98-251,15,4.32,4.954518148693562,0.8320602985785839,-0.30237164883110246,7.801556034620339,10.734443168905454,2.9328871342851146
NGC0024,29,15.975,3.3359133630120286,0.7693680855040586,-0.13751420225793193,32.600734022504845,36.2529921246987,3.652258102193855
NGC0055,21,12.8625,4.465229828174872,0.8170250782785556,-0.29566281009562706,22.25378039182271,29.592323929044355,7.338543537221646
NGC0100,21,12.802499999999998,3.6191926395942033,0.783511951541417,-0.13387478514928658,26.631135883562084,29.124497961153576,2.4933620775914918
NGC0247,26,15.75,3.974356754874476,0.7989689824679183,-0.25031247361827036,32.17495623382241,38.87073246888927,6.695776235066866
NGC0289,28,25.5,3.5257002925467567,0.7790397208478717,-0.19497220161313508,55.649949442799354,59.38524191401023,3.735292471210876
NGC0300,25,13.9725,3.0956821919759077,0.7558404306957316,-0.22297231051328964,36.12032545823501,41.043939432339926,4.923613974104917
NGC0801,13,33.15,5.805452561138789,0.853059000703303,-0.22669212944759168,37.740963726026024,23.925060863239374,-13.81590286278665
NGC0891,18,32.85,6.480227995882293,0.8663142352678984,-0.21117210233232336,69.84503892878418,41.60604561870218,-28.238993310081995
NGC1003,36,16.65,2.717663032648767,0.7310138139960689,-0.2016794050609801,48.153251971836,52.44802841610689,4.294776444270887
NGC1090,24,24.6,4.973854072785542,0.8326038788668115,-0.08768814259024289,25.712295442140153,27.337571159998767,1.6252757178586137
NGC1705,14,10.725,2.3367224919976417,0.70030471446209,-0.147075618135381,38.06804446988434,40.41352183211179,2.3454773622274487
NGC2366,26,7.619999999999999,3.944237019952895,0.7977443241567073,-0.2051687164094294,16.360956127974482,19.169912086255383,2.808955958280901
NGC2403,73,20.175,3.0605890334693844,0.7537303106131882,-0.09792171550238593,37.895599436401874,39.678943100899204,1.7833436644973304
NGC2683,11,25.575,4.395406842445674,0.8146571650291506,-0.4441343107279602,33.117970053884335,65.34073299184739,32.222762937963054
NGC2841,50,42.675,3.172918132883218,0.7603595450100372,-0.4630489738299861,87.87483219228517,146.9044908613042,59.02965866901903
NGC2903,34,27.525,4.662506576988285,0.8233997636199004,-0.0961079066467908,61.46052574802574,53.70423924430224,-7.756286503723501
NGC2915,30,12.315,2.122239564308874,0.67971708147214,-0.12504158642833985,48.7574283509878,50.243140509784894,1.4857121587970923
NGC2955,24,40.35,5.92121323107485,0.85551666064698,-0.16406117631606612,44.136667183471666,25.754144103581506,-18.38252307989016
NGC2976,27,11.745,7.106352154758122,0.8766399508793807,-0.18977424077158125,3.6845505539647445,5.916201635356356,2.2316510813916115
NGC2998,13,31.875,5.149415577265974,0.8373829207938164,-0.08981560427012195,35.122227450196725,39.16330192251589,4.041074472319167
NGC3109,25,9.5325,2.461223756637931,0.711084844462251,-0.15959344039804463,29.986977397240718,31.50818912036014,1.5212117231194213
NGC3198,43,22.275,3.60786828862372,0.7829799079828558,-0.09139919322931973,37.60592238748666,39.144141804085116,1.5382194165984586
NGC3521,41,31.5,5.652423779496579,0.8496788489208854,-0.16236110813693394,52.51577662137675,32.74858204565334,-19.76719457572341
NGC3726,12,24.15,4.866257608939706,0.8295335686458637,-0.5774985633750863,35.31058676501566,60.227714791856044,24.917128026840388
NGC3741,21,7.14,2.025444949982094,0.6694701055440065,-0.18773104985965366,25.07618692122832,26.29006521217844,1.2138782909501202
NGC3769,12,17.925,3.394425084749677,0.772438946912446,-0.3027278333865049,38.65390422651838,44.200340965583194,5.546436739064816
NGC3877,13,25.2,7.922125708625197,0.8879190864758518,-0.24178692744763886,29.10908735068305,19.341504813443237,-9.767582537239814
NGC3893,10,27.375,5.175454377380151,0.8380685956222325,-0.3565383225355778,33.81205976768977,45.46288820320386,11.650828435514093
NGC3917,17,20.55,4.949017264816354,0.83190500960315,-0.21346535653950557,26.009308864899815,35.01196804417275,9.002659179272932
NGC3949,7,23.55,7.754507811424418,0.8857731329344382,-0.4833622453941748,32.027021331325585,26.672261965972968,-5.354759365352617
NGC3953,8,32.925,7.424387351880671,0.8812970061524107,-0.7142170133067849,18.26639069797791,97.69373330061163,79.42734260263371
NGC3972,10,16.95,6.006343035836631,0.8572721896594107,-0.25866170191574,21.173242996045843,31.66443222310273,10.491189227056886
NGC3992,9,37.2,4.823766509178033,0.8282898192391405,-1.0520181322883415,51.50181558835592,218.69722870103783,167.1954131126819
NGC4010,12,17.775,5.8128327407368765,0.8532181783914102,-0.24481024807900395,17.706376631874576,24.64155172732139,6.935175095446812
NGC4013,36,26.7,4.1886638136138306,0.8072721540801631,-0.772312677782697,39.2720830188511,124.15566804228037,84.88358502342928
NGC4051,7,22.95,7.93485871979218,0.8880788122833061,-0.42783445505739565,29.682131008832762,16.04318259823681,-13.638948410595951
NGC4068,6,3.9675,6.677792753350262,0.8697542337850104,-0.3193140239798223,6.0332781675934655,10.16752335934705,4.134245191753585
NGC4085,7,19.05,7.870378862626782,0.8872652436286277,-0.2855477101190921,33.53583468853068,17.106072541917637,-16.42976214661304
NGC4088,12,25.875,6.998904471471862,0.8749828800223198,-0.3566327328881748,50.78967092195533,17.310331956393696,-33.47933896556163
NGC4100,24,25.725,4.660380631886631,0.8233334354996026,-0.46079769205987925,29.35765118897049,65.09949457988488,35.74184339091438
NGC4138,7,24.3,5.102388085213455,0.8361297272418522,-0.507500570269991,31.520891576041766,63.319977257349414,31.79908568130765
NGC4157,17,27.675,5.165386371849594,0.8378041634882968,-0.30055855151066785,40.01023827592091,35.35650820329453,-4.653730072626381
NGC4183,23,16.5,3.900637889016421,0.7959449315279435,-0.1899509923438762,33.263626959210285,39.530558304472834,6.266931345262549
NGC4214,14,12.015,2.9570761234948373,0.7472881570150808,-0.1480742095118917,33.48453104145477,36.375177172707446,2.890646131252673
NGC4217,19,27.675,5.8720101438837125,0.8544821705640192,-0.2064224777378473,64.40844387153237,44.91427926817513,-19.49416460335724
NGC4389,6,11.4525,12.394850653372814,0.9253444457218938,-0.32401120316649873,57.39781645079807,35.33040029111724,-22.067416159680825
NGC4559,32,18.3,4.651600563137248,0.823058974386383,-0.15723298034631145,23.931662308749097,27.455475543447577,3.52381323469848
NGC5005,18,39.6,7.429587220101518,0.8813702291833032,-0.15302637268264893,57.02955192190641,32.68756116457905,-24.34199075732736
NGC5033,22,29.625,4.057977771300998,0.8022925277224413,-0.12663391810914107,61.16313286997931,59.8890207555686,-1.2741121144107055
NGC5055,28,26.925,4.609304723917126,0.8217247860084745,-0.13615631939173817,58.26922066188828,44.35576028148971,-13.913460380398575
NGC5371,19,31.95,6.417750813234355,0.8651882457124532,-0.2402850571084238,35.62745617971017,23.1827050721427,-12.444751107567473
NGC5585,24,13.4625,3.6914855062408702,0.7868478973941739,-0.13496423516520975,24.178154775922287,25.99284580939942,1.814691033477132
NGC5907,19,32.325,4.556266685471806,0.820023037660388,-0.5935699296381987,43.258327077427516,120.74560858990328,77.48728151247576
NGC5985,33,43.725,4.619932287034639,0.8220619130399432,-0.5466253116228169,80.13943130227766,148.83635534510583,68.69692404282817
NGC6015,44,23.175,3.5699405543715192,0.7811787728740982,-0.09221194465123456,43.27900492409794,46.300105091668655,3.021100167570715
NGC6195,23,37.725,6.648610122673058,0.8692572919835901,-0.2562321455104,43.84749983065521,15.78544398037205,-28.06205585028316
NGC6503,31,17.25,3.2944606720239817,0.7671418889653727,-0.15602783666330827,41.67287570412551,45.373980765512854,3.701105061387345
NGC6674,15,36.3,3.7031353646966685,0.7873758838611493,-0.2576822899167353,77.68970787051921,100.56367358773346,22.873965717214247
NGC6789,4,25.0,0.8428843726187029,0.45737235886426264,-0.07506476334642609,22.346909291739045,23.201255233824202,0.8543459420851569
NGC6946,58,23.55,5.554910281177535,0.847442610637783,-0.082069783125976,27.29685221130175,22.87693675242984,-4.419915458871909
NGC7331,36,35.775,5.333310068848902,0.8421046831547673,-0.4235235712403315,70.71859232887839,45.76198903180669,-24.956603297071695
NGC7793,46,16.2,4.911456400911254,0.8308369491068479,-0.13942367325196842,11.486837363798388,14.038910329584628,2.5520729657862393
NGC7814,18,32.1,4.391254804557851,0.8145144245167963,-0.142650118286039,53.457344257273526,54.60152732791814,1.1441830706446154
PGC51017,6,2.8575,7.778068877674376,0.8860797273369158,-0.41596327000131117,4.522399935416963,4.7601409369406475,0.23774100152368494
UGC00128,22,19.575,2.5701235227778274,0.7198976467845225,-0.1555532721057272,65.11324314929104,69.01657569363758,3.90333254434654
UGC00191,9,8.64,5.375658415825462,0.8431534541565415,-0.2547114865086861,23.831490758619328,28.544240734824484,4.712749976205156
UGC00634,4,25.0,1.9856215900172365,0.6650613716943858,-0.6560480983641965,48.762603305365005,68.0955459786299,19.332942673264895
UGC00731,12,10.4625,3.5803531409263414,0.7816762225024079,-0.24694124374416415,36.16596928486053,39.38318255067023,3.217213265809697
UGC00891,5,25.0,1.0761425184426086,0.518337497971894,-0.24501473869807655,25.538963308819817,28.5164442723078,2.9774809634879844
UGC01230,11,15.6,3.861014985630546,0.794281646331875,-0.17434495776221162,43.73505435771638,47.84481835782872,4.109764000112342
UGC01281,25,8.032499999999999,3.309319236073604,0.7679447854248226,-0.19888711740051426,18.461825570134042,20.615479015861315,2.1536534457272722
UGC02023,5,25.0,1.507846145997661,0.6012514557179168,-0.18799905397527392,8.845647965450617,10.812245167846516,1.9665972023958993
UGC02259,8,12.4875,3.6042018411226904,0.7828070891531203,-0.2800649618255802,39.096000450093676,45.12418976345468,6.028189313361004
UGC02455,8,5.4075,14.285409300315678,0.9345781339346046,-0.32327857874352395,35.37808204018852,23.35459908999654,-12.023482950191976
UGC02487,17,49.875,3.6974059516489564,0.7871165468147446,-0.8844762879363259,109.51773009092928,282.1082949272441,172.59056483631485
UGC02885,19,44.7,4.275672153077733,0.8104506931090064,-0.1846449910008894,69.35716763455243,84.70075042717461,15.343582792622186
UGC02916,43,31.425,4.917438105337347,0.831007949352604,-0.10293341042246683,39.97364888805376,33.23846671568351,-6.735182172370251
UGC02953,115,39.45,3.6570722686248844,0.785272818990358,-0.0626955415822866,62.22481167957494,58.55516206926779,-3.669649610307154
UGC03205,48,32.55,4.24647859761349,0.8093959631409001,-0.07916606998286783,33.64653417615317,36.85838090807273,3.2118467319195645
