galaxy,status,n_points,alpha,gamma,alpha_eff,gamma_eff,alpha_scaling,gamma_scaling,force_match,rms_velocity
NGC3949,ok,7,2.8271,0.8579,3.308128308856816,0.8067191186540839,mass_power,mass_log,False,31.91970255462947
NGC3953,ok,8,2.8271,0.8579,1.8398558167926655,0.9978180353208838,mass_power,mass_log,False,18.26639069797791
NGC3972,ok,10,2.8271,0.8579,3.9573137532789175,0.7483555146392958,mass_power,mass_log,False,9.057961778312375
NGC3992,ok,9,2.8271,0.8579,1.084750459523709,1.1699084958649908,mass_power,mass_log,False,50.43096880106863
NGC4010,ok,12,2.8271,0.8579,3.5409229789531342,0.7845685177808002,mass_power,mass_log,False,9.354069130793672
NGC4013,ok,36,2.8271,0.8579,1.6562775865009516,1.0320560343260081,mass_power,mass_log,False,39.27154387566792
NGC4051,ok,7,2.8271,0.8579,2.7159089500304003,0.8709694732455476,mass_power,mass_log,False,29.682131008832762
NGC4068,ok,6,2.8271,0.8579,21.438131161280637,0.19801568520000223,mass_power,mass_log,False,1.8988634554342736
NGC4085,ok,7,2.8271,0.8579,4.131142545468626,0.7343532424925241,mass_power,mass_log,False,33.53583468853068
NGC4088,ok,12,2.8271,0.8579,1.967092773092312,0.9760372458233049,mass_power,mass_log,False,50.789668015718924
NGC4100,ok,24,2.8271,0.8579,1.9310327107575134,0.9820636550136574,mass_power,mass_log,False,28.808197799395945
NGC4138,ok,7,2.8271,0.8579,2.1919948914774374,0.9407762246923392,mass_power,mass_log,False,31.361328962020824
NGC4157,ok,17,2.8271,0.8579,1.6394469714931454,1.0353828475833111,mass_power,mass_log,False,40.00956638364707
NGC4183,ok,23,2.8271,0.8579,2.8438232490111246,0.8559789276720758,mass_power,mass_log,False,29.807816766254856
NGC4214,ok,14,2.8271,0.8579,6.208125136487478,0.6016855311754203,mass_power,mass_log,False,31.147517869855253
NGC4217,ok,19,2.8271,0.8579,2.060526610394094,0.9609222072974206,mass_power,mass_log,False,64.4059292788666
NGC4389,ok,6,2.8271,0.8579,6.598693358315487,0.5818124175934523,mass_power,mass_log,False,57.39781645079807
NGC4559,ok,32,2.8271,0.8579,2.6202491962976144,0.8826489306139259,mass_power,mass_log,False,23.85597071625283
NGC5005,ok,18,2.8271,0.8579,1.7987107263411384,1.0051848845617526,mass_power,mass_log,False,57.02955192190641
NGC5033,ok,22,2.8271,0.8579,1.3180174624082084,1.1064650047518434,mass_power,mass_log,False,61.09499553723473
