feature,perm_importance_mean,perm_importance_std,corr_with_target
log10_Omega_over_H0,1.7194728316421004,1.1449245816064249,0.11971665526844366
log10_x_gbar,1.6582464402692045,1.3673335904874866,0.05973273762389312
h_term,1.1193923927859981,1.5674456557439724,0.005528057355297736
R_over_L0,0.90130400621013,0.45811799998434694,-0.028024115944819225
R_over_Rd,0.5257892348795471,0.4537897269193931,-0.025260795186925124
f_disk_r,0.3167147846636133,0.4077386729067635,0.04173220631547988
f_bulge_r,0.256689002753204,0.2992819162469254,-0.03321560077010602
C_term,0.2170536689907918,0.25797342539972584,-0.2551689569574906
f_bulge_global,0.16510072311324592,0.15603332061395184,-0.11353195420281362
abs_dlnOmega_dlnR,0.017599994692824472,0.13061635772057706,-0.2826088152604896
A_use,0.0,0.0,8.986831804065128e-18
f_gas_r,-0.08745552914515813,0.07814227039846923,-0.06644269845519354
tidal_L0,-0.3530404516756897,1.231748788063751,0.5530258033004611
dlnGbar_dlnR,-0.39063098194676127,0.3967813126382493,0.28979912154968884
dlnVbar_dlnR,-0.39063098194740586,0.39678131263873473,0.2897991215496895
