R_kpc,v_GR,lambda_gw,multiplier,v_eff,velocity_ratio
0.1,30.57420253612565,0.6283185307179586,37631.30484198748,5931.025304406971,193.98789869986086
0.2201005025125628,44.760617936568806,1.3829322434897782,5620.936064908251,3355.833431154266,74.97290220411806
0.3402010050251256,54.916555879852176,2.1375459562615977,1968.504776064965,2436.528686009078,44.36783492649788
0.4603015075376884,63.041459191599735,2.8921596690334175,950.3624062675805,1943.4388548173347,30.827948460245945
0.5804020100502513,69.86486049562116,3.6467733818052372,543.9391871135607,1629.4234798064638,23.32250387744765
0.700502512562814,75.75447539806865,4.401387094577057,346.04767739255345,1409.211778267228,18.6023567698438
0.8206030150753768,80.92803991860525,5.156000807348876,236.63386231992374,1244.908602640446,15.382908122976088
0.9407035175879397,85.5279152572294,5.9106145201206965,170.53594726654214,1116.9040228569793,13.058941276632732
1.0608040201005025,89.65370110584122,6.665228232892516,127.90787815383545,1013.9507719392661,11.309636517317232
1.1809045226130654,93.37860477263183,7.419841945664336,98.99851313734612,929.0984093761214,9.949799653125993
1.3010050251256282,96.75849633504487,8.174455658436155,78.5950083392674,857.8010881458266,8.865382582791755
1.421105527638191,99.83729534184887,8.929069371207975,63.72008282833743,796.9498128953683,7.9824860055209275
1.5412060301507537,102.65036169851587,9.683683083979794,52.580146111168816,744.3400345688568,7.25121687106163
1.6613065326633165,105.22672929517705,10.438296796751613,44.04615571801315,698.3611582426828,6.636727786945397
1.7814070351758795,107.59063320584303,11.192910509523434,37.38070982199027,657.8066134182176,6.113976596454248
1.9015075376884423,109.76258696653815,11.947524222295254,32.08684673421564,621.7529495077965,5.664525287631404
2.021608040201005,111.7601628970991,12.702137935067071,27.820467891102588,589.4802255345144,5.274511151860671
2.141708542713568,113.59857037272323,13.456751647838892,24.33764157766587,560.4180457144797,4.9333195292486245
2.261809045226131,115.29109296056707,14.211365360610714,21.461828780314672,534.1080445605129,4.6326913107085685
2.3819095477386933,116.84942468535728,14.965979073382531,19.062900242960556,510.1772236412691,4.366108134593159
2.5020100502512563,118.28393273074923,15.720592786154352,17.043354180397618,488.31862631235117,4.128359744547176
2.622110552763819,119.60386552068238,16.47520649892617,15.329054891800865,468.2770844203504,3.915233695681634
2.742211055276382,120.81751959141775,17.22982021169799,13.862880874935735,449.8385400376085,3.723288986223838
2.862311557788945,121.93237492088781,17.984433924469812,12.600287444350581,432.82193181322464,3.549688358764834
2.9824120603015074,122.9552057976336,18.73904763724163,11.506154645746644,417.0729505781936,3.392072323189269
3.1025125628140704,123.89217249529044,19.49366135001345,10.552513899675745,402.4591771906874,3.248463313580091
3.222613065326633,124.74889772101491,20.248275062785268,9.716885467995505,388.86625604251697,3.1171919203019094
3.342713567839196,125.53053086535014,21.00288877555709,8.981047017961117,376.1948539648282,2.996839504871944
3.462814070351759,126.24180238938914,21.75750248832891,8.330110720225871,364.35822138778883,2.8861931190109007
3.5829145728643215,126.88707017027147,22.512116201100728,7.7518240262823905,353.2802200655208,2.7842097669325114
3.7030150753768845,127.47035923838139,23.26672991387255,7.236034552993355,342.8937156872475,2.68998783510137
3.823115577889447,127.99539604455718,24.021343626644367,6.774276707402733,333.13925837378946,2.602744072590068
3.94321608040201,128.4656381688117,24.775957339416188,6.359449557477773,323.96399217340297,2.521794907893537
4.063316582914573,128.88430020609704,25.53057105218801,5.985563753099888,315.32074811157196,2.4465411815663125
4.183417085427135,129.25437642694408,26.285184764959823,5.647541172360773,307.1672854221935,2.376455590235335
4.303517587939698,129.5786607021766,27.039798477731644,5.341055168250336,299.46565320748414,2.3110722983607275
4.423618090452261,129.85976409455523,27.794412190503465,5.062402327362425,292.1816505890042,2.2499782948647358
4.543718592964823,130.10013045108357,28.54902590327528,4.808398869379181,285.28436788659457,2.192806163202571
4.663819095477386,130.30205027400584,29.3036396160471,4.576296450039569,278.7457948316288,2.1392280032851967
4.783919597989949,130.46767310335167,30.05825332881892,4.363713345033117,272.54048453113097,2.0889502974061203
4.904020100502512,130.59901860702976,30.812867041590742,4.168577902828046,266.6452640308589,2.041709553983633
5.024120603015075,130.69798654423755,31.567480754362563,3.9890818423569416,261.03898401289837,1.9972685954465266
5.144221105527637,130.766365743017,32.32209446713438,3.8236414950433093,255.70230150741202,1.9554133821377282
5.2643216080402,130.80584221211396,33.0767081799062,3.670865491929653,250.61749057509712,1.9159502843053242
5.384422110552763,130.8180064900788,33.83132189267802,3.529527706277316,245.7682767845107,1.878703730309097
5.504522613065326,130.8043603201377,34.58593560544984,3.3985445024081735,241.13969201110544,1.8435141720117514
5.624623115577889,130.76632272725342,35.34054931822166,3.276955529348467,236.71794665678243,1.8102363186469514
5.744723618090451,130.70523556357531,36.095163030993476,3.1639074453740905,232.4903168565492,1.7787375987969924
5.864824120603014,130.62236857981773,36.8497767437653,3.0586400761096946,228.44504462319296,1.748896816884774
5.984924623115577,130.51892407274312,37.60439045653712,2.960474601392393,224.5712491980019,1.7206029761081993
6.10502512562814,130.39604115263745,38.35900416930894,2.8688034399835796,220.8588481383215,1.6937542442702778
6.225125628140703,130.25479966928242,39.11361788208076,2.783081560455371,217.29848689130722,1.6682570426811845
6.345226130653265,130.09622383029946,39.868231594852574,2.702818994307438,213.88147578574382,1.6440252413839143
6.465326633165828,129.92128554175207,40.622845307624395,2.6275743659932314,210.59973352675044,1.6209794465054859
6.585427135678391,129.73090749743972,41.377459020396216,2.556949285921572,207.44573640681088,1.5990463676584155
6.705527638190954,129.5259660403261,42.13207273316804,2.490583478109934,204.4124725550977,1.5781582550903865
