system_label,variant_id,source_family,source_redshift,observed_images,global_roots,surplus_roots,missing_roots,unassigned_roots,potentially_observable_surplus_roots,faintest_assigned_abs_magnification,observable_surplus_abs_magnification_threshold,all_observed_images_assigned,assignment_RMS_arcsec,assignment_max_arcsec,multiplicity_classification,parity_diverse,critical_sign_change_cells,critical_curve_present
RXJ2129,locked_path_qumond_P0685,1,0.6786,3,1,0,2,0,0,21.142474505208575,5.285618626302144,False,,1.6378866329199737,missing_multiplicity,False,68,True
RXJ2129,locked_path_qumond_P0685,2,0.916,3,1,0,2,0,0,4.478426343476816,1.119606585869204,False,,3.058633373146654,missing_multiplicity,False,104,True
RXJ2129,locked_path_qumond_P0685,3,1.5194,4,3,0,1,0,0,3.4434403789240613,0.8608600947310153,False,,4.771280101463766,missing_multiplicity,True,202,True
RXJ2129,locked_path_qumond_P0685,4,1.5202,3,3,0,0,0,0,3.862750657947,0.96568766448675,True,3.1015323732816458,4.922865036885997,exact_multiplicity,True,202,True
RXJ2129,locked_path_qumond_P0685,5,1.521,3,3,0,0,0,0,7.701272409593363,1.9253181023983408,True,3.8911347464363857,5.813140179733562,exact_multiplicity,True,202,True
RXJ2129,locked_path_qumond_P0685,6,3.0815,3,3,0,0,0,0,3.027901165567288,0.756975291391822,True,1.4153381823106437,1.82486230563502,exact_multiplicity,True,278,True
RXJ2129,locked_path_qumond_P0685,7,3.427,3,3,0,0,0,0,3.712900155507058,0.9282250388767646,True,3.206848292199867,5.368561078593417,exact_multiplicity,True,294,True
