galaxy,split,coadd_id,product,relative_path,url,http_status,reused_existing_file,bytes,sha256,naxis1,naxis2,ctype1,ctype2,bunit,center_pixel_x,center_pixel_y,center_inside_wcs_bounds,array_opened
NGC2403,development,1150p666_ac51,intensity,data/raw/p0740_allwise_w1_supplement/NGC2403/1150p666_ac51-w1-intensity-cutout.fits,https://irsa.ipac.caltech.edu/ibe/data/wise/allwise/p3am_cdd/11/1150/1150p666_ac51/1150p666_ac51-w1-int-3.fits?center=114.21374000%2C65.60268000deg&size=0.65752346deg&gzip=false,200,True,1460160,6dedcfeb5d81fa31d648f96d0e238e7e5f88ff5377dad5de3fbbcaabbabefdf6,1722,211,RA---SIN,DEC--SIN,DN,860.2582418187905,-651.0558768302017,False,0
NGC2403,development,1150p666_ac51,uncertainty,data/raw/p0740_allwise_w1_supplement/NGC2403/1150p666_ac51-w1-uncertainty-cutout.fits,https://irsa.ipac.caltech.edu/ibe/data/wise/allwise/p3am_cdd/11/1150/1150p666_ac51/1150p666_ac51-w1-unc-3.fits.gz?center=114.21374000%2C65.60268000deg&size=0.65752346deg&gzip=false,200,True,1460160,7c0a3d0d4da90cace45f93fa5d0a939487a5b69f234d19d63c261280f167efca,1722,211,RA---SIN,DEC--SIN,DN,860.2582418187905,-651.0558768302017,False,0
NGC2403,development,1153p651_ac51,intensity,data/raw/p0740_allwise_w1_supplement/NGC2403/1153p651_ac51-w1-intensity-cutout.fits,https://irsa.ipac.caltech.edu/ibe/data/wise/allwise/p3am_cdd/11/1153/1153p651_ac51/1153p651_ac51-w1-int-3.fits?center=114.21374000%2C65.60268000deg&size=0.65752346deg&gzip=false,200,True,11073600,9a522ef5ed7ed99ec65e896672d4d14d565889522d37a3befa309877f4f4d0af,1690,1637,RA---SIN,DEC--SIN,DN,860.3789610022116,860.6722624935701,True,0
NGC2403,development,1153p651_ac51,uncertainty,data/raw/p0740_allwise_w1_supplement/NGC2403/1153p651_ac51-w1-uncertainty-cutout.fits,https://irsa.ipac.caltech.edu/ibe/data/wise/allwise/p3am_cdd/11/1153/1153p651_ac51/1153p651_ac51-w1-unc-3.fits.gz?center=114.21374000%2C65.60268000deg&size=0.65752346deg&gzip=false,200,True,11073600,e7e4d7abe3b9e66fab8d73432a4073535fcab6de2e4f0a553d8ac583da33d909,1690,1637,RA---SIN,DEC--SIN,DN,860.3789610022116,860.6722624935701,True,0
NGC2403,development,1118p651_ac51,intensity,data/raw/p0740_allwise_w1_supplement/NGC2403/1118p651_ac51-w1-intensity-cutout.fits,https://irsa.ipac.caltech.edu/ibe/data/wise/allwise/p3am_cdd/11/1118/1118p651_ac51/1118p651_ac51-w1-int-3.fits?center=114.21374000%2C65.60268000deg&size=0.65752346deg&gzip=false,200,True,2234880,78e9e54dc749043b46b7d0a5d39455db76e81e701d2c5d4ca1198d4785b26d39,348,1600,RA---SIN,DEC--SIN,DN,-513.7324282588283,860.8274219491716,False,0
NGC2403,development,1118p651_ac51,uncertainty,data/raw/p0740_allwise_w1_supplement/NGC2403/1118p651_ac51-w1-uncertainty-cutout.fits,https://irsa.ipac.caltech.edu/ibe/data/wise/allwise/p3am_cdd/11/1118/1118p651_ac51/1118p651_ac51-w1-unc-3.fits.gz?center=114.21374000%2C65.60268000deg&size=0.65752346deg&gzip=false,200,True,2234880,a9ccca1294e0e717d13bdb1f5c06aa4d06d81ca33107feef656460b8de1fef60,348,1600,RA---SIN,DEC--SIN,DN,-513.7324282588283,860.8274219491716,False,0
NGC3198,development,1555p454_ac51,intensity,data/raw/p0740_allwise_w1_supplement/NGC3198/1555p454_ac51-w1-intensity-cutout.fits,https://irsa.ipac.caltech.edu/ibe/data/wise/allwise/p3am_cdd/15/1555/1555p454_ac51/1555p454_ac51-w1-int-3.fits?center=154.97918000%2C45.54982000deg&size=0.35533348deg&gzip=false,200,True,3473280,133c6c98eedda3f2259799542b3003d6d277f2d9d834f90c179dd6c73595652e,931,931,RA---SIN,DEC--SIN,DN,465.2070325359356,465.09828988691334,True,0
NGC3198,development,1555p454_ac51,uncertainty,data/raw/p0740_allwise_w1_supplement/NGC3198/1555p454_ac51-w1-uncertainty-cutout.fits,https://irsa.ipac.caltech.edu/ibe/data/wise/allwise/p3am_cdd/15/1555/1555p454_ac51/1555p454_ac51-w1-unc-3.fits.gz?center=154.97918000%2C45.54982000deg&size=0.35533348deg&gzip=false,200,True,3473280,a4423c00b4e9d78a00e592818c586b341305097f871a2822399b31746c502d81,931,931,RA---SIN,DEC--SIN,DN,465.2070325359356,465.09828988691334,True,0
NGC5055,development,1982p424_ac51,intensity,data/raw/p0740_allwise_w1_supplement/NGC5055/1982p424_ac51-w1-intensity-cutout.fits,https://irsa.ipac.caltech.edu/ibe/data/wise/allwise/p3am_cdd/19/1982/1982p424_ac51/1982p424_ac51-w1-int-3.fits?center=198.95537000%2C42.02932000deg&size=0.48697940deg&gzip=false,200,True,6249600,ada2e8620a92a4fefc6700050ab2b055d24380b9d320744873ef14e14dd21041,1223,1276,RA---SIN,DEC--SIN,DN,584.9303375103082,637.331363815037,True,0
NGC5055,development,1982p424_ac51,uncertainty,data/raw/p0740_allwise_w1_supplement/NGC5055/1982p424_ac51-w1-uncertainty-cutout.fits,https://irsa.ipac.caltech.edu/ibe/data/wise/allwise/p3am_cdd/19/1982/1982p424_ac51/1982p424_ac51-w1-unc-3.fits.gz?center=198.95537000%2C42.02932000deg&size=0.48697940deg&gzip=false,200,True,6249600,acba79c2349543be6e3b303047ee5ee7a0c6d13eb6bd96fca7e0aa42bf8ca2de,1223,1276,RA---SIN,DEC--SIN,DN,584.9303375103082,637.331363815037,True,0
