row_type,candidate_id,system_label,minimum_permittivity,a0_m_s2,gate_power,anisotropy_tau,smoothing_r80_fraction,identity,source_plane_RMS_arcsec
system,e0d25_a0d6_n1_tm0d6_w0d20,MACS0329,0.25,6e-11,1.0,-0.6,0.2,False,15.969053076825865
system,e0d25_a0d6_n1_tm0d6_w0d20,MACS0429,0.25,6e-11,1.0,-0.6,0.2,False,9.210068461781868
aggregate,e0d25_a0d6_n1_tm0d6_w0d20,selection,0.25,6e-11,1.0,-0.6,0.2,False,13.035260205327523
system,e0d25_a0d6_n1_tm0d6_w0d35,MACS0329,0.25,6e-11,1.0,-0.6,0.35,False,15.9712971271623
system,e0d25_a0d6_n1_tm0d6_w0d35,MACS0429,0.25,6e-11,1.0,-0.6,0.35,False,9.233922776449273
aggregate,e0d25_a0d6_n1_tm0d6_w0d35,selection,0.25,6e-11,1.0,-0.6,0.35,False,13.045069217247017
system,e0d25_a0d6_n1_tm0d6_w0d50,MACS0329,0.25,6e-11,1.0,-0.6,0.5,False,15.975424136212759
system,e0d25_a0d6_n1_tm0d6_w0d50,MACS0429,0.25,6e-11,1.0,-0.6,0.5,False,9.251623926570367
aggregate,e0d25_a0d6_n1_tm0d6_w0d50,selection,0.25,6e-11,1.0,-0.6,0.5,False,13.053863826671751
system,e0d25_a0d6_n1_tp0d0_w0d20,MACS0329,0.25,6e-11,1.0,0.0,0.2,False,15.962704525573962
system,e0d25_a0d6_n1_tp0d0_w0d20,MACS0429,0.25,6e-11,1.0,0.0,0.2,False,9.207748222726993
aggregate,e0d25_a0d6_n1_tp0d0_w0d20,selection,0.25,6e-11,1.0,0.0,0.2,False,13.030551851397384
system,e0d25_a0d6_n1_tp0d0_w0d35,MACS0329,0.25,6e-11,1.0,0.0,0.35,False,15.960346098270847
system,e0d25_a0d6_n1_tp0d0_w0d35,MACS0429,0.25,6e-11,1.0,0.0,0.35,False,9.216984872150471
aggregate,e0d25_a0d6_n1_tp0d0_w0d35,selection,0.25,6e-11,1.0,0.0,0.35,False,13.032372341788736
system,e0d25_a0d6_n1_tp0d0_w0d50,MACS0329,0.25,6e-11,1.0,0.0,0.5,False,15.959390169736178
system,e0d25_a0d6_n1_tp0d0_w0d50,MACS0429,0.25,6e-11,1.0,0.0,0.5,False,9.222824307198849
aggregate,e0d25_a0d6_n1_tp0d0_w0d50,selection,0.25,6e-11,1.0,0.0,0.5,False,13.033852515494598
system,e0d25_a0d6_n1_tp0d6_w0d20,MACS0329,0.25,6e-11,1.0,0.6,0.2,False,15.956789857763834
