candidate_id,system_label,minimum_permittivity,a0_m_s2,gate_power,anisotropy_tau,smoothing_r80_fraction,center_x_arcsec,center_y_arcsec,r80_arcsec,quadrupole_asymmetry,grid_spacing_arcsec,smoothing_width_arcsec,smoothing_width_kpc,asymmetry_gate,gate_minimum,gate_median,gate_maximum,metric_minimum_eigenvalue,metric_maximum_eigenvalue,maximum_Q_eigenvalue,RMS_Q_eigenvalue,maximum_edge_Q_eigenvalue,maximum_solver_edge_Q_eigenvalue,maximum_abs_circular_cross_mean,circular_mean_subtracted,full_metric_correction_RMS_arcsec,circular_residual_fraction,correction_RMS_arcsec_at_distance_ratio_one,correction_maximum_arcsec_at_distance_ratio_one,normalized_curl_RMS
e0d25_a0d6_n1_tm0d6_w0d20,MACS0329,0.25,6e-11,1.0,-0.6,0.2,-2.1688734964217105,0.5555234950420278,55.64489516725398,0.05248818522896822,2.0,11.128979033450797,64.71616895492318,0.5484129442613193,0.5363962192995362,0.8378927028380995,0.948291832185969,0.2113754089203182,0.7130800440301681,1.0000000000000002,0.9998620531088965,1.0000000000000002,1.0000000000000002,0.0,True,0.9552233012536879,0.0399531199225902,0.0381641511078411,0.4557511929464139,0.0
e0d25_a0d6_n1_tm0d6_w0d20,MACS0429,0.25,6e-11,1.0,-0.6,0.2,-0.05760971285433636,1.2510730674941435,54.595357738132876,0.0457938947495282,2.0,10.919071547626576,59.08532499150631,0.41302141274796,0.5673169828710577,0.871608455229941,0.9567121214758596,0.22284407499295658,0.6612353840134009,1.0000000000000002,0.9999540198174344,1.0000000000000002,1.0000000000000002,0.0,True,0.7912989467200924,0.03325485149377376,0.026314528960356267,0.3529135150644056,0.0
e0d25_a0d6_n1_tm0d6_w0d35,MACS0329,0.25,6e-11,1.0,-0.6,0.35,-2.1688734964217105,0.5555234950420278,55.64489516725398,0.05248818522896822,2.0,19.47571330853889,113.25329567111554,0.5484129442613193,0.5810130886076842,0.8298448508034786,0.989573316908516,0.18616713118673198,0.6831135361727341,1.0000000000000002,0.9991490240986826,1.0000000000000002,1.0000000000000002,0.0,True,0.9669682881916541,0.04663126413700588,0.04509095365877345,0.5068124623235749,0.0
e0d25_a0d6_n1_tm0d6_w0d35,MACS0429,0.25,6e-11,1.0,-0.6,0.35,-0.05760971285433636,1.2510730674941435,54.595357738132876,0.0457938947495282,2.0,19.108375208346505,103.39931873513603,0.41302141274796,0.6181877327520019,0.8653966908267087,0.9695009898131217,0.2145958074165152,0.6251545812294408,1.0000000000000002,0.9996550970799101,1.0000000000000002,1.0000000000000002,0.0,True,0.8019861874003659,0.039793329406299,0.031913700534524594,0.3767300987929974,0.0
e0d25_a0d6_n1_tm0d6_w0d50,MACS0329,0.25,6e-11,1.0,-0.6,0.5,-2.1688734964217105,0.5555234950420278,55.64489516725398,0.05248818522896822,2.0,27.82244758362699,161.79042238730793,0.5484129442613193,0.6368674968882195,0.8209069887820765,0.9876996436552022,0.23127765700615377,0.6441273768451576,1.0000000000000002,0.9972835420248898,1.0000000000000002,1.0000000000000002,0.0,True,0.9891161715590268,0.050505374451487436,0.049955682620610335,0.528121490709174,0.0
e0d25_a0d6_n1_tm0d6_w0d50,MACS0429,0.25,6e-11,1.0,-0.6,0.5,-0.05760971285433636,1.2510730674941435,54.595357738132876,0.0457938947495282,2.0,27.297678869066438,147.71331247876577,0.41302141274796,0.6767953096660755,0.8576132365232965,0.9788202527594818,0.2097803266275538,0.5823182451985218,1.0000000000000002,0.9982512641934121,1.0000000000000002,1.0000000000000002,0.0,True,0.8198173059970975,0.04295003210324082,0.035211179611367736,0.3763832370526823,0.0
e0d25_a0d6_n1_tp0d0_w0d20,MACS0329,0.25,6e-11,1.0,0.0,0.2,-2.1688734964217105,0.5555234950420278,55.64489516725398,0.05248818522896822,2.0,11.128979033450797,64.71616895492318,0.5484129442613193,0.5363962192995362,0.8378927028380995,0.948291832185969,0.2887811258605233,0.5977028355253479,1.0000000000000002,0.9998620531088965,1.0000000000000002,1.0000000000000002,0.0,True,1.2104616839607891,0.028655127223869495,0.03468593355351572,0.5073136782844507,0.0
e0d25_a0d6_n1_tp0d0_w0d20,MACS0429,0.25,6e-11,1.0,0.0,0.2,-0.05760971285433636,1.2510730674941435,54.595357738132876,0.0457938947495282,2.0,10.919071547626576,59.08532499150631,0.41302141274796,0.5673169828710577,0.871608455229941,0.9567121214758596,0.2824659088931053,0.5745122628467068,1.0000000000000002,0.9999540198174344,1.0000000000000002,1.0000000000000002,0.0,True,0.9276239991486476,0.02692011909907942,0.02497174853624594,0.35658516590561534,0.0
e0d25_a0d6_n1_tp0d0_w0d35,MACS0329,0.25,6e-11,1.0,0.0,0.35,-2.1688734964217105,0.5555234950420278,55.64489516725398,0.05248818522896822,2.0,19.47571330853889,113.25329567111554,0.5484129442613193,0.5810130886076842,0.8298448508034786,0.989573316908516,0.25782001231861296,0.5642401835442369,1.0000000000000002,0.9991490240986826,1.0000000000000002,1.0000000000000002,0.0,True,1.2255545868232856,0.03331168819475461,0.040825292261908605,0.5309693525958604,0.0
e0d25_a0d6_n1_tp0d0_w0d35,MACS0429,0.25,6e-11,1.0,0.0,0.35,-0.05760971285433636,1.2510730674941435,54.595357738132876,0.0457938947495282,2.0,19.108375208346505,103.39931873513603,0.41302141274796,0.6181877327520019,0.8653966908267087,0.9695009898131217,0.2728742576401587,0.5363592004359986,1.0000000000000002,0.9996550970799101,1.0000000000000002,1.0000000000000002,0.0,True,0.939537555064664,0.031135456353222953,0.029252930537929652,0.3734620246971914,0.0
