minimum_permittivity,a0_m_s2,gate_power,SPARC_outer_RMSE_km_s,SPARC_outer_equal_system_RMSE_km_s,SPARC_pass,solar_maximum_fractional_change,Earth_fractional_change,Mercury_precession_mas_per_century,Cassini_pass,Earth_pass,Mercury_pass
0.25,6e-11,1.0,25.734713232292336,23.964367887707102,False,5.392543316329323e-07,7.58825014492145e-09,-598.7929662162169,True,False,False
0.25,6e-11,2.0,17.099765338910466,16.433525915478732,False,3.8768988019910466e-13,2.220446049250313e-16,-0.0,True,True,True
0.25,6e-11,4.0,22.52680930142882,21.18639034306388,False,0.0,0.0,-0.0,True,True,True
0.25,1.2e-10,1.0,17.964998364971404,17.508160112268207,False,1.07850846919888e-06,1.5176500105796192e-08,-1197.585947128833,True,False,False
0.25,1.2e-10,2.0,22.17633065990666,21.153324124478516,False,1.5507595207964187e-12,2.220446049250313e-16,-0.0,True,True,True
0.25,1.2e-10,4.0,32.450019029120135,30.00368537658231,False,0.0,0.0,-0.0,True,True,True
0.25,2.4e-10,1.0,19.770567893141422,19.173723066631347,False,2.157016162795955e-06,3.0353000211592384e-08,-2395.1718810519005,True,False,False
0.25,2.4e-10,2.0,31.929270298936594,29.852159642324906,False,6.203482172395525e-12,1.1102230246251565e-15,-5.61465607330053e-05,True,True,True
0.25,2.4e-10,4.0,38.35996145097135,35.802528609196365,False,0.0,0.0,-0.0,True,True,True
0.5,6e-11,1.0,48.91891059178834,45.18243960285295,False,3.5950282306629333e-07,5.058833417281667e-09,-399.1953057198694,True,False,False
0.5,6e-11,2.0,44.35834416119252,41.06985554621073,False,2.5845992013273644e-13,0.0,-0.0,True,True,True
0.5,6e-11,4.0,42.18043049603826,39.19449918612906,False,0.0,0.0,-0.0,True,True,True
0.5,1.2e-10,1.0,45.00224189502528,41.78286478528159,False,7.190053874506219e-07,1.0117666872561233e-08,-798.3906149401973,True,False,False
0.5,1.2e-10,2.0,41.0470446020371,38.32017774818677,False,1.0338396805309458e-12,2.220446049250313e-16,-0.0,True,True,True
0.5,1.2e-10,4.0,40.21411636482717,37.62713171486442,False,0.0,0.0,-0.0,True,True,True
0.5,2.4e-10,1.0,42.48419352920625,39.629796823785604,False,1.438009741283608e-06,2.0235333301033255e-08,-1596.7812527797928,True,False,False
0.5,2.4e-10,2.0,40.03327241243478,37.55721394352218,False,4.135802811333633e-12,7.041317134512005e-16,-0.0,True,True,True
0.5,2.4e-10,4.0,39.890250450657106,37.48529018480549,False,0.0,0.0,-0.0,True,True,True
0.75,6e-11,1.0,62.818629945674495,57.880164706472456,False,1.7975137933667895e-07,2.5294166896418842e-09,-199.59766405657453,True,False,False
0.75,6e-11,2.0,61.35968026267413,56.56044828735527,False,1.2922996006636822e-13,0.0,-0.0,True,True,True
0.75,6e-11,4.0,60.60112107019492,55.9066156999416,False,0.0,0.0,-0.0,True,True,True
0.75,1.2e-10,1.0,61.434937979521415,56.67657260955996,False,3.595025643843286e-07,5.058833417281667e-09,-399.19530393027236,True,False,False
0.75,1.2e-10,2.0,60.0979868123348,55.49416313877842,False,5.169198402654729e-13,2.220446049250313e-16,-0.0,True,True,True
0.75,1.2e-10,4.0,59.67932418688276,55.12961229991921,False,0.0,0.0,-0.0,True,True,True
0.75,2.4e-10,1.0,60.494957200338035,55.869000001843006,False,7.190043536109414e-07,1.0117666428472023e-08,-798.3906078167435,True,False,False
0.75,2.4e-10,2.0,59.53882135076301,55.03913132668202,False,2.0679014056668166e-12,4.440892098500626e-16,-0.0,True,True,True
0.75,2.4e-10,4.0,59.35787356785548,54.88574476080829,False,0.0,0.0,-0.0,True,True,True
1.0,6e-11,1.0,72.39921475798786,66.60707470287704,False,0.0,0.0,-0.0,True,True,True
1.0,6e-11,2.0,72.39921475798786,66.60707470287704,False,0.0,0.0,-0.0,True,True,True
1.0,6e-11,4.0,72.39921475798786,66.60707470287704,False,0.0,0.0,-0.0,True,True,True
1.0,1.2e-10,1.0,72.39921475798786,66.60707470287704,False,0.0,0.0,-0.0,True,True,True
1.0,1.2e-10,2.0,72.39921475798786,66.60707470287704,False,0.0,0.0,-0.0,True,True,True
1.0,1.2e-10,4.0,72.39921475798786,66.60707470287704,False,0.0,0.0,-0.0,True,True,True
1.0,2.4e-10,1.0,72.39921475798786,66.60707470287704,False,0.0,0.0,-0.0,True,True,True
1.0,2.4e-10,2.0,72.39921475798786,66.60707470287704,False,0.0,0.0,-0.0,True,True,True
1.0,2.4e-10,4.0,72.39921475798786,66.60707470287704,False,0.0,0.0,-0.0,True,True,True
