separation_arcsec,literature_ra_hms,literature_dec_dms,literature_redshift,keck_ra_hms,keck_dec_dms,keck_redshift,retained
0.7391635018514661,00:18:23.58,+16:26:27.67,0.5522,00:18:23.63,+16:26:27.50,0.5533,keck
0.40852665665018606,00:18:24.40,+16:24:00.59,0.5511,00:18:24.42,+16:24:00.30,0.548,keck
0.5202869470720625,00:18:25.08,+16:24:12.10,0.5339,00:18:25.09,+16:24:11.60,0.5349,keck
0.08999999999019792,00:18:26.22,+16:24:57.79,0.5379,00:18:26.22,+16:24:57.70,0.55,keck
0.2399999999951774,00:18:28.08,+16:24:31.34,0.5352,00:18:28.08,+16:24:31.10,0.534,keck
