R_mid_Mpc,obs_mean_dv_kms,N,pred_dv_kms
0.0500,559.7988,22,-7.0827
0.2000,339.6337,129,-24.5891
0.4500,600.2821,187,-42.6706
0.8000,424.7426,189,-54.7699
1.2500,517.3404,214,-62.3362
1.7500,550.7588,167,-66.8504
