r_over_R200,delta_v_obs_kms,delta_v_err_kms,delta_v_pred_kms,N_clusters
0.150,-465.317,127.142,48.127,32
0.450,-408.390,167.823,23.840,32
0.800,-508.932,96.943,13.619,32
1.250,-455.995,87.545,7.718,32
1.750,-247.709,111.027,4.354,32
