A_pair,sigma_c,gamma_sigma,ell_pair_kpc,p,rms_gr_mean,rms_pair_mean,improvement_pct,fraction_improved,n_galaxies,K_solar_system,solar_system_safe
0.5,15.0,1.5,2.0,0.5,34.61484741536385,33.35828399620884,3.630128436149859,0.7454545454545455,165,1.6187834173550923e-05,False
0.5,15.0,1.5,2.0,1.0,34.61484741536385,33.27795798209468,3.8621849671242257,0.7454545454545455,165,8.094119387190417e-10,False
0.5,15.0,1.5,2.0,1.5,34.61484741536385,33.26377271631805,3.903165259789993,0.7454545454545455,165,4.047419504156812e-14,True
0.5,15.0,1.5,2.0,2.0,34.61484741536385,33.257241695362204,3.9220329464721786,0.7454545454545455,165,0.0,True
0.5,15.0,1.5,2.0,3.0,34.61484741536385,33.248326745751996,3.9477876450361578,0.7393939393939394,165,0.0,True
0.5,15.0,1.5,5.0,0.5,34.61484741536385,33.36070605272962,3.6231312753890013,0.7515151515151515,165,1.0238179348266728e-05,False
0.5,15.0,1.5,5.0,1.0,34.61484741536385,33.137908594471135,4.26677836585572,0.7636363636363637,165,3.2376476829859446e-10,False
0.5,15.0,1.5,5.0,1.5,34.61484741536385,33.04965432299193,4.52173910689321,0.7696969696969697,165,1.0244356649064755e-14,True
0.5,15.0,1.5,5.0,2.0,34.61484741536385,33.006014810151214,4.647810767175448,0.7696969696969697,165,0.0,True
0.5,15.0,1.5,5.0,3.0,34.61484741536385,32.968113316865264,4.757305669265145,0.7818181818181819,165,0.0,True
0.5,15.0,1.5,10.0,0.5,34.61484741536385,33.440060084210224,3.3938827378224783,0.7575757575757576,165,7.239519570516076e-06,False
0.5,15.0,1.5,10.0,1.0,34.61484741536385,33.22671695315418,4.010216903609816,0.7757575757575758,165,1.6188240212185274e-10,False
0.5,15.0,1.5,10.0,1.5,34.61484741536385,33.14693846828257,4.240691658891276,0.7878787878787878,165,3.630456215984352e-15,True
0.5,15.0,1.5,10.0,2.0,34.61484741536385,33.12224877671636,4.312018541456849,0.8,165,0.0,True
0.5,15.0,1.5,10.0,3.0,34.61484741536385,33.12460543562693,4.305210310057495,0.8242424242424242,165,0.0,True
0.5,15.0,1.5,20.0,0.5,34.61484741536385,33.57403311101377,3.0068435427743982,0.7636363636363637,165,5.119130144104855e-06,False
0.5,15.0,1.5,20.0,1.0,34.61484741536385,33.495788189543184,3.23288793503093,0.793939393939394,165,8.094120106092637e-11,True
0.5,15.0,1.5,20.0,1.5,34.61484741536385,33.499009024422676,3.2235831565327215,0.8303030303030303,165,1.2940239977766008e-15,True
0.5,15.0,1.5,20.0,2.0,34.61484741536385,33.52376706576245,3.1520588160013694,0.8424242424242424,165,0.0,True
0.5,15.0,1.5,20.0,3.0,34.61484741536385,33.574096764825114,3.006659651132232,0.8606060606060606,165,0.0,True
0.5,15.0,2.0,2.0,0.5,34.61484741536385,33.165955236764994,4.18575347512802,0.7515151515151515,165,1.730725962261033e-05,False
0.5,15.0,2.0,2.0,1.0,34.61484741536385,33.050972271052565,4.517931642296231,0.7515151515151515,165,8.653846101252655e-10,False
0.5,15.0,2.0,2.0,1.5,34.61484741536385,33.023761641785036,4.596541346799656,0.7454545454545455,165,4.32730774290436e-14,True
0.5,15.0,2.0,2.0,2.0,34.61484741536385,33.013094630600264,4.627357635130418,0.7454545454545455,165,0.0,True
0.5,15.0,2.0,2.0,3.0,34.61484741536385,33.00291863463722,4.656755413028838,0.7454545454545455,165,0.0,True
0.5,15.0,2.0,5.0,0.5,34.61484741536385,33.24834576402533,3.9477327025049753,0.7575757575757576,165,1.094617267162372e-05,False
0.5,15.0,2.0,5.0,1.0,34.61484741536385,33.05418762198219,4.508642706565736,0.7696969696969697,165,3.461538363639468e-10,False
0.5,15.0,2.0,5.0,1.5,34.61484741536385,32.97810750193723,4.7284331309810925,0.7696969696969697,165,1.0952777146782793e-14,True
0.5,15.0,2.0,5.0,2.0,34.61484741536385,32.94341801611424,4.828648756393895,0.7696969696969697,165,0.0,True
0.5,15.0,2.0,5.0,3.0,34.61484741536385,32.91846125030365,4.900747198750481,0.7818181818181819,165,0.0,True
0.5,15.0,2.0,10.0,0.5,34.61484741536385,33.37982984723963,3.5678839005254614,0.7636363636363637,165,7.74014876891993e-06,False
0.5,15.0,2.0,10.0,1.0,34.61484741536385,33.24995540379637,3.9430825598892216,0.7757575757575758,165,1.730769373973719e-10,False
0.5,15.0,2.0,10.0,1.5,34.61484741536385,33.216260908846465,4.040423722615105,0.7878787878787878,165,3.881510497631797e-15,True
0.5,15.0,2.0,10.0,2.0,34.61484741536385,33.21877864547043,4.033150148377575,0.8121212121212121,165,0.0,True
0.5,15.0,2.0,10.0,3.0,34.61484741536385,33.24988152006999,3.9432960050779093,0.8242424242424242,165,0.0,True
0.5,15.0,2.0,20.0,0.5,34.61484741536385,33.55173384562561,3.071264642542871,0.7636363636363637,165,5.473129604373671e-06,False
0.5,15.0,2.0,20.0,1.0,34.61484741536385,33.57544566368137,3.0027627717380496,0.793939393939394,165,8.653846869868595e-11,True
0.5,15.0,2.0,20.0,1.5,34.61484741536385,33.632003770709574,2.8393701490593237,0.8303030303030303,165,1.383508692225195e-15,True
0.5,15.0,2.0,20.0,2.0,34.61484741536385,33.68452107053565,2.687651150573233,0.8424242424242424,165,0.0,True
0.5,15.0,2.0,20.0,3.0,34.61484741536385,33.758227178730955,2.4747190890481296,0.8606060606060606,165,0.0,True
0.5,15.0,2.5,2.0,0.5,34.61484741536385,33.01968304626523,4.608324138937568,0.7515151515151515,165,1.834295010251286e-05,False
0.5,15.0,2.5,2.0,1.0,34.61484741536385,32.87910897093614,5.014433325675445,0.7515151515151515,165,9.171704284295109e-10,False
0.5,15.0,2.5,2.0,1.5,34.61484741536385,32.84191790271094,5.121875856849772,0.7515151515151515,165,4.586259854946382e-14,True
0.5,15.0,2.5,2.0,2.0,34.61484741536385,32.82811995819041,5.161737204077325,0.7515151515151515,165,0.0,True
0.5,15.0,2.5,2.0,3.0,34.61484741536385,32.817128873952285,5.193489717980506,0.7515151515151515,165,0.0,True
0.5,15.0,2.5,5.0,0.5,34.61484741536385,33.162902242845846,4.19457337221586,0.7575757575757576,165,1.1601206863897546e-05,False
0.5,15.0,2.5,5.0,1.0,34.61484741536385,32.99416293235877,4.68205005660587,0.7696969696969697,165,3.6686816322569447e-10,False
0.5,15.0,2.5,5.0,1.5,34.61484741536385,32.92903754253302,4.870192991469267,0.7696969696969697,165,1.1608206560033028e-14,True
0.5,15.0,2.5,5.0,2.0,34.61484741536385,32.90215433266807,4.9478568030191505,0.7696969696969697,165,0.0,True
0.5,15.0,2.5,5.0,3.0,34.61484741536385,32.88834444812234,4.987752644188163,0.7878787878787878,165,0.0,True
0.5,15.0,2.5,10.0,0.5,34.61484741536385,33.33353327072681,3.7016316416530657,0.7636363636363637,165,8.203330033187034e-06,False
0.5,15.0,2.5,10.0,1.0,34.61484741536385,33.271249999645654,3.88156388383164,0.7757575757575758,165,1.834341019781219e-10,False
0.5,15.0,2.5,10.0,1.5,34.61484741536385,33.275413474288136,3.869535881533893,0.7878787878787878,165,4.1137854826783715e-15,True
0.5,15.0,2.5,10.0,2.0,34.61484741536385,33.30040181545073,3.7973462200780794,0.8121212121212121,165,0.0,True
0.5,15.0,2.5,10.0,3.0,34.61484741536385,33.35532982213334,3.638662849258919,0.8363636363636363,165,0.0,True
0.5,15.0,2.5,20.0,0.5,34.61484741536385,33.5336604329613,3.1234775338708065,0.7636363636363637,165,5.800649289761482e-06,False
0.5,15.0,2.5,20.0,1.0,34.61484741536385,33.637616410706926,2.823155604098305,0.793939393939394,165,9.171705098906095e-11,True
0.5,15.0,2.5,20.0,1.5,34.61484741536385,33.736305775906054,2.5380485689151175,0.8303030303030303,165,1.466299776004172e-15,True
0.5,15.0,2.5,20.0,2.0,34.61484741536385,33.81083784724589,2.3227303546081624,0.8424242424242424,165,0.0,True
0.5,15.0,2.5,20.0,3.0,34.61484741536385,33.9031371281077,2.0560838495571483,0.8606060606060606,165,0.0,True
0.5,15.0,3.0,2.0,0.5,34.61484741536385,32.90927537268466,4.927284590375418,0.7515151515151515,165,1.9285232150908654e-05,False
0.5,15.0,3.0,2.0,1.0,34.61484741536385,32.75007172616448,5.387213373564334,0.7515151515151515,165,9.64285708425296e-10,False
0.5,15.0,3.0,2.0,1.5,34.61484741536385,32.705361854160216,5.516377230529415,0.7515151515151515,165,4.8218571992362874e-14,True
0.5,15.0,3.0,2.0,2.0,34.61484741536385,32.68922681016571,5.562990303240371,0.7515151515151515,165,0.0,True
0.5,15.0,3.0,2.0,3.0,34.61484741536385,32.677712952759265,5.596253074178749,0.7515151515151515,165,0.0,True
0.5,15.0,3.0,5.0,0.5,34.61484741536385,33.098017295539975,4.382021684575229,0.7575757575757576,165,1.2197163834095003e-05,False
0.5,15.0,3.0,5.0,1.0,34.61484741536385,32.95069634964402,4.807622133215564,0.7696969696969697,165,3.857142748055407e-10,False
0.5,15.0,3.0,5.0,1.5,34.61484741536385,32.894916715383,4.968765799665078,0.7696969696969697,165,1.2204523106415114e-14,True
0.5,15.0,3.0,5.0,2.0,34.61484741536385,32.87454946687869,5.027605430705216,0.7696969696969697,165,0.0,True
0.5,15.0,3.0,5.0,3.0,34.61484741536385,32.869968517625125,5.040839489485242,0.7878787878787878,165,0.0,True
0.5,15.0,3.0,10.0,0.5,34.61484741536385,33.29769555159082,3.8051644370051667,0.7636363636363637,165,8.624737199653636e-06,False
0.5,15.0,3.0,10.0,1.0,34.61484741536385,33.288714263173595,3.8311107839858507,0.7757575757575758,165,1.9285715881421442e-10,False
0.5,15.0,3.0,10.0,1.5,34.61484741536385,33.32317588886178,3.731553431400521,0.793939393939394,165,4.325111697361145e-15,True
0.5,15.0,3.0,10.0,2.0,34.61484741536385,33.366263812354205,3.607075276187572,0.8121212121212121,165,0.0,True
0.5,15.0,3.0,10.0,3.0,34.61484741536385,33.44046384060645,3.392716312353721,0.8363636363636363,165,0.0,True
0.5,15.0,3.0,20.0,0.5,34.61484741536385,33.51866445146276,3.166799930525025,0.7696969696969697,165,6.098630130587805e-06,False
0.5,15.0,3.0,20.0,1.0,34.61484741536385,33.68447822999773,2.68777491404793,0.8,165,9.642857940710721e-11,True
0.5,15.0,3.0,20.0,1.5,34.61484741536385,33.81573832265869,2.30857320593149,0.8303030303030303,165,1.541623971336646e-15,True
0.5,15.0,3.0,20.0,2.0,34.61484741536385,33.90732837385414,2.043975618380661,0.8424242424242424,165,0.0,True
0.5,15.0,3.0,20.0,3.0,34.61484741536385,34.01402708731991,1.7357301068941375,0.8606060606060606,165,0.0,True
0.5,20.0,1.5,2.0,0.5,34.61484741536385,33.36753346380781,3.6034073372873383,0.7454545454545455,165,1.8469441386039235e-05,False
0.5,20.0,1.5,2.0,1.0,34.61484741536385,33.314431927618585,3.756814155904876,0.7454545454545455,165,9.234951506828082e-10,False
0.5,20.0,1.5,2.0,1.5,34.61484741536385,33.3127525036139,3.7616659005465105,0.7393939393939394,165,4.617886277762535e-14,True
0.5,20.0,1.5,2.0,2.0,34.61484741536385,33.3107474698759,3.7674583101271213,0.7393939393939394,165,0.0,True
0.5,20.0,1.5,2.0,3.0,34.61484741536385,33.30392871683108,3.787157235744202,0.7333333333333333,165,0.0,True
0.5,20.0,1.5,5.0,0.5,34.61484741536385,33.28474217377529,3.8425858869976874,0.7515151515151515,165,1.1681207711006014e-05,False
0.5,20.0,1.5,5.0,1.0,34.61484741536385,33.01110263973556,4.633112364714517,0.7515151515151515,165,3.693980520708386e-10,False
