galaxy,sigma_v,rms_gr,rms_exp,rms_burr,improvement_exp,improvement_burr,delta_improvement
CamB,1.635,4.616823441597752,4.802558381135671,5.744457364608661,-4.023002869558318,-24.42445411385857,-20.40145124430025
D564-8,3.1275,10.049576841590154,9.202340427749984,8.292489616520232,8.430568044754716,17.484191153185876,9.053623108431157
D631-7,8.355,24.5852323730351,20.2121907751332,19.803001754043343,17.787269737983923,19.45163887991912,1.6643691419351958
DDO064,6.7875,14.591505838594633,13.206908055855143,11.349791918105229,9.489067119290867,22.216445350794768,12.727378231503902
DDO154,6.757499999999999,22.680803776816237,19.7343583639241,18.721644553800548,12.99092149416646,17.45599169224613,4.465070198079671
DDO161,9.967499999999998,21.31489016029167,9.37431162956889,12.43527190321449,56.01989238944024,41.65922596973717,-14.360666419703069
DDO168,7.199999999999999,18.767038568918075,15.917283011932305,14.010101081729914,15.184897428119148,25.34729957376754,10.16240214564839
DDO170,8.565,24.535484730575124,13.46204036398068,15.24255538183501,45.13236436203425,37.87546669970471,-7.256897662329546
ESO079-G014,23.775,28.886704382352235,15.560046419635402,19.662659033570943,46.13422765823883,31.931802349930035,-14.2024253083088
ESO116-G012,16.275,34.256228959673145,25.093786560796598,25.798851522804693,26.746792268532204,24.68858275913727,-2.058209509394936
ESO444-G084,7.919999999999999,31.693305766747677,29.892525667015867,28.469093665915775,5.681894192372863,10.173164404373104,4.49127021200024
ESO563-G021,46.875,62.93505741241875,53.246917582914286,58.56269862465831,15.39386826330715,6.9474136793234385,-8.446454583983712
F561-1,7.1025,4.42316040510831,20.196486526177793,17.63689867132891,-356.60759901117,-298.73974841518407,57.867850595985914
F563-1,15.9375,57.23862337544333,45.9347604876961,49.69233608265827,19.748663089959713,13.18390773182464,-6.564755358135072
F563-V1,4.1925,1.9045179143635556,9.208311379798847,8.9030841504313,-383.49828113200203,-367.4717986785909,16.026482453411166
F563-V2,15.435,51.070448240065694,42.63403301343619,43.620078260060374,16.519172079658752,14.58841705281993,-1.9307550268388212
F565-V2,10.275,37.81055917316258,30.793494726856796,31.00527453326034,18.558478371529617,17.99837079567059,-0.5601075758590294
F568-1,18.075,59.47223904806734,51.19114177184994,52.52022236120131,13.92430722092765,11.689515643167873,-2.2347915777597778
F568-3,14.4525,33.872109024328516,20.081454074286718,23.274255029061475,40.7138951405025,31.287848027576825,-9.426047112925682
F568-V1,16.8,55.10144891123267,46.6103744762954,47.9553489413053,15.409893211004713,12.96898740619252,-2.4409058048121963
F571-8,17.099999999999998,47.869589054996254,39.978372085805006,43.96547779692306,16.484822880190624,8.15572336246265,-8.329099517727972
F571-V1,11.55,33.703220222549966,19.384156094788302,22.788045894544517,42.48574478405818,32.38614665284234,-10.099598131215837
F574-1,14.325,36.44732159054748,24.46662325448241,26.31664679673692,32.871272327380666,27.79538893864269,-5.075883388737972
F579-V1,16.65,38.60867712662157,28.404480667213072,29.13191953998098,26.42980080861789,24.545667689054667,-1.8841331195632263
F583-1,11.2875,32.7530184892085,25.87925791810877,26.38752295009471,20.98664760734802,19.43483633794272,-1.5518112694053
F583-4,9.12,19.018287399996733,11.025463380377515,10.29245298884345,42.0270440314231,45.881283775082615,3.8542397436595155
IC2574,9.36,18.897457874966218,9.746273057000794,10.829216964805152,48.42548071022904,42.69484797132,-5.730632738909038
IC4202,36.6,35.22311818624543,31.328252325882524,33.1028718249799,11.05769750357833,6.019473773033195,-5.038223730545135
KK98-251,4.32,7.801556034620339,6.510408589894622,5.006850061243131,16.54987080777342,35.822417489220946,19.272546681447526
NGC0024,15.975,32.600734022504845,28.21819812382817,26.991041774206053,13.443058968093588,17.207257494344532,3.7641985262509428
NGC0055,12.8625,22.25378039182271,6.076528165496773,9.374033612850097,72.69440041868287,57.87666882749214,-14.81773159119073
NGC0100,12.802499999999998,26.631135883562084,16.540376944875636,17.781324281257675,37.890831929985055,33.23107073238624,-4.659761197598809
NGC0247,15.75,32.17495623382241,17.574881899851565,21.07898656183677,45.37713813149869,34.48635513704762,-10.890782994451072
NGC0289,25.5,55.649949442799354,34.29474364734498,45.878462545389695,38.374169265696544,17.55884236238782,-20.81532690330872
NGC0300,13.9725,36.12032545823501,24.981917548633476,26.659424595299928,30.83695334495417,26.19273426501783,-4.644219079936337
NGC0801,33.15,37.740963726026024,43.38798348018688,40.15908514379009,-14.96257434005771,-6.40715333958612,8.555421000471592
NGC0891,32.85,69.84503892878418,76.84968246614926,76.56348798943195,-10.02883475304123,-9.619078410849017,0.40975634219221235
NGC1003,16.65,48.153251971836,26.62188846828175,36.79127020168687,44.71424591665703,23.595460960340862,-21.118784956316173
NGC1090,24.6,25.712295442140153,19.364144785567568,19.40617478724985,24.689163481563508,24.525700823097793,-0.16346265846571606
NGC1705,10.725,38.06804446988434,34.59658546802041,32.98194549870702,9.11908938377491,13.360546994214367,4.24145761043946
NGC2366,7.619999999999999,16.360956127974482,11.902985607097422,10.388497940266365,27.247616129565195,36.504334716088,9.256718586522812
NGC2403,20.175,37.895599436401874,25.339623717456266,30.6972341019531,33.13307060894397,18.995253912078628,-14.137816696865347
NGC2683,25.575,33.117970053884335,21.97690318436778,27.27681154217705,33.64054877575397,17.637429172752658,-16.003119603001316
NGC2841,42.675,87.87483219228517,77.35765972041013,82.78937750957209,11.968355682161269,5.787157205131535,-6.181198477029734
