galaxy,points,outer_points,R50_kpc,R80_kpc,concentration_R50_over_R80,total_force_equivalent_mass_solar
CamB,9,3,0.6561512759096291,0.8834191145732155,0.7427406370153302,25270585.88515102
D631-7,16,5,2.1439186932070253,3.437369032454009,0.6237092011259662,478438412.5292077
DDO064,14,5,1.743387792170922,2.3487244501598172,0.7422700402562312,383148031.5129467
DDO154,12,4,2.6131703855663355,3.4368927435069634,0.7603293383254923,316664370.12515485
DDO161,31,10,3.385533616555559,4.60215540696504,0.7356408719774632,841811406.0838845
DDO168,10,3,2.0057102622123457,3.0461010407160156,0.6584516519323614,536314725.9078815
DDO170,8,3,4.140517656390216,5.574447345329753,0.7427673812111837,1007645796.2379873
ESO079-G014,15,5,10.618420391088307,13.997870598242486,0.7585739785608185,44588012002.2166
ESO116-G012,15,5,6.71524030165408,11.079186526401863,0.6061131190138883,8741570091.94661
ESO563-G021,30,9,12.562791248145146,19.71627085279749,0.6371788733244474,349034227388.7358
F568-3,18,6,10.088631356884811,13.817226935760239,0.7301487775940422,8595891128.154417
F568-V1,15,5,10.098977605552514,13.869997373981077,0.7281167640663961,9116516167.47515
F571-8,13,4,2.2976326582013744,7.441445937492403,0.308761587129883,3688392642.495161
F574-1,14,5,8.928798560760773,11.59251165423477,0.7702212278992244,7514571234.622855
F583-1,25,8,13.812352670273459,17.92757499341419,0.7704529293754183,10760309588.116772
F583-4,12,4,3.6627293858455374,5.334457196896905,0.6866170728628539,1121025757.6229265
IC2574,34,11,7.1266375582584995,8.933388064884491,0.7977530480593363,1799263756.194509
IC4202,32,10,9.393779136570316,14.176724895325526,0.6626198368050237,166089390347.2219
KK98-251,15,5,0.8664214621193346,1.1365168825579473,0.762348078956195,61090814.71357089
NGC0024,29,9,2.459793066426461,5.163064265650039,0.47642115996725226,6276535272.1616125
NGC0055,21,7,5.219506095736039,7.370642203774981,0.7081480760336993,3624478997.006444
NGC0100,21,7,3.8469933275058557,7.404946077084186,0.5195167240192342,2333861239.584604
NGC0247,26,8,7.562585235152621,9.731307366693196,0.777139694614586,7757085774.338197
NGC0289,28,9,6.6817322359346525,22.011884235313538,0.3035511255876582,47412543777.77629
NGC0300,25,8,5.045880084319388,6.729840752997619,0.7497770407229684,3011849146.989771
NGC0801,13,4,8.384672055570748,16.60360635938944,0.5049910166551959,126971901028.238
NGC0891,18,6,3.2792596720116123,8.49744758976669,0.38591113830001855,77475130738.66841
NGC1003,36,11,11.635564406984615,25.01763914617727,0.4650944215398736,9428799962.582546
NGC1090,24,8,5.7091049465966925,9.28844298788343,0.614646066519878,35548100088.771454
NGC2403,73,22,7.0919510206430365,12.1389973206539,0.5842287326792992,14220350426.247763
NGC2683,11,4,3.9091826844608395,6.68326787456025,0.5849208437897693,53823984719.49303
NGC2841,50,15,8.57003835137555,22.603287736533694,0.37915007990292476,294878110322.3099
NGC2903,34,11,4.339028671055234,7.336462248337073,0.5914333808558403,60035491207.76603
NGC2915,30,9,4.643558399841961,8.977854539501221,0.5172236172251395,1707973966.4625154
NGC2955,24,8,6.929479358418319,17.31072241930251,0.4002998367469359,154611502671.20023
NGC2976,27,9,1.3803535294902498,1.6385012841288593,0.842448854243127,1422607179.0879574
NGC2998,13,4,8.657979103408449,18.868002174336866,0.45887100411640386,103907476375.41264
NGC3109,25,8,4.062860175766206,5.381026346726408,0.7550344328341526,662474606.4815897
NGC3198,43,13,10.711393137874357,29.999925316145575,0.3570473267848311,41540480034.01731
NGC3521,41,13,2.3982814203600644,3.6956368846040086,0.6489494220471941,44245734629.30099
NGC3726,12,4,5.491543071432769,9.074916271937918,0.6051342962153929,29257682787.925354
NGC3741,21,7,3.8258730592039747,5.1624938226550325,0.7410900992102992,303018160.5165492
NGC3769,12,4,4.741347450070103,17.53693683078982,0.27036349026163226,13991327217.715996
NGC3877,13,4,6.164923892077308,8.242826026715143,0.7479138674159423,43636518046.7339
NGC3893,10,3,4.254112184494971,8.169024064073009,0.520761372610513,43164632840.022156
NGC3917,17,6,6.5229147287304095,9.359459877323781,0.6969328160201007,18770095364.43206
NGC3953,8,3,7.252091807320374,10.18683803230256,0.7119080311598086,99152585471.14616
NGC3972,10,3,4.867452475185619,6.063959928183155,0.8026854617827223,11458876576.27131
NGC3992,9,3,11.072724746540615,16.362648667810205,0.6767073577961548,191878910152.88776
NGC4010,12,4,5.080983103812557,7.15805114424184,0.7098277172690863,9611367899.184145
NGC4013,36,11,3.929882814061696,5.928954412280422,0.6628289814342098,41069826977.81108
NGC4088,12,4,4.38526424739382,6.546930625966078,0.6698198740645311,36016985193.97326
NGC4100,24,8,5.1872312777397696,6.419759259631213,0.8080102489758709,45020027925.73217
NGC4157,17,6,4.365260688716073,6.426252692371696,0.6792855646491881,45823472496.89951
NGC4183,23,7,5.40390273409906,6.974287094688685,0.7748322747158543,9269067305.599031
NGC4217,19,6,4.423626915861883,6.662724218953259,0.6639366677189068,39730344912.68963
NGC4559,32,10,7.027817995933837,14.03998274149216,0.5005574526216922,15385354698.258595
NGC5005,18,6,4.013599537341523,7.12121472242733,0.5636116440501674,104496888148.75304
NGC5033,22,7,5.323157250868498,20.66312261677009,0.25761630270481234,106070624737.13971
NGC5055,28,9,5.591201779523351,10.52336513359186,0.5313131026572057,90571053370.6587
NGC5371,19,6,3.396553718427102,4.991934561530928,0.6804083019440555,79117129482.61937
NGC5585,24,8,5.564999651180472,8.26392682897404,0.673408630830213,3355703984.708502
NGC5907,19,6,7.929101541749124,13.56891005273378,0.5843580295641814,110324814183.62675
NGC5985,33,10,16.624123877844674,30.671859295524996,0.5419992220774866,334259051339.5852
NGC6015,44,14,2.5411909548499527,4.494563992239439,0.5653920957044359,19663715110.857285
NGC6195,23,7,7.046806475266399,14.321039569892804,0.49205970285012945,157396932597.66153
NGC6503,31,10,2.3569465630461632,10.662452255704931,0.22105107779358,10110593136.48059
NGC6674,15,5,6.129970684085968,10.324038245644125,0.5937570685261941,181220686644.7167
NGC6946,58,18,3.291401587626977,4.837245524017191,0.6804288869119804,25581185333.33088
NGC7331,36,11,4.746286380056197,13.565620025942293,0.3498761111530183,120801186264.92361
NGC7793,46,14,2.7117763426307766,4.338357030035291,0.6250698879452798,4396225479.023316
NGC7814,18,6,2.88479703368961,6.05892838535669,0.4761233093069116,68880993914.01363
UGC00128,22,7,9.414465025246004,15.256782231948563,0.6170675363990962,21354292959.084335
UGC00191,9,3,5.802732685519163,7.942618288293019,0.7305818402568924,4376245809.190093
UGC00731,12,4,7.460039423665864,9.337294326245265,0.7989508698143087,4029795617.5941763
UGC01281,25,8,3.07712912790065,4.391215996247735,0.7007464744458111,625630697.1534154
UGC02259,8,3,4.202364291102627,6.559797686150769,0.6406240698512361,3612936787.8228254
UGC02487,17,6,9.709602740122527,18.72267748220777,0.5186011856129872,360915967135.36066
UGC02885,19,6,21.571121468269286,50.72462142370903,0.42525938810036734,362506607317.43115
UGC02916,43,13,9.75072107594669,16.692285940093385,0.5841453418028459,72343668768.8031
UGC02953,115,35,4.254451950187743,7.394985922534422,0.5753157605376009,109815494803.54543
UGC03205,48,15,5.241112419140374,9.049602586341358,0.5791538765526377,85377702209.71358
UGC03546,30,9,3.123262433875325,8.633620392759477,0.36175582105678705,51718049492.78107
UGC03580,47,15,5.257282028903352,10.028385171086079,0.5242401382887835,7107652650.492209
UGC04278,25,8,5.707881011330864,6.23339518044176,0.9156937505326507,3383090301.9939713
UGC04325,8,3,4.1228776564205,5.759266333055183,0.7158685530407466,5360612956.272675
UGC04483,8,3,0.6346402337464963,0.895411370933725,0.7087694598793184,38069004.07632704
UGC04499,9,3,4.070571654699686,5.892777073594344,0.6907730606236577,2092728125.591462
UGC05005,11,4,13.111216149911915,19.83793817455352,0.6609162723740064,8621216324.980139
UGC05253,73,22,4.230377211734798,14.998765532929042,0.28204835940979384,64419703057.87372
UGC05716,12,4,6.1470715227395925,8.209478650160467,0.7487773322389283,2283424975.748241
UGC05721,23,7,6.487107741139694,9.289006126506244,0.6983640287014868,3647149757.597978
UGC05750,11,4,11.320988557333273,15.71073754802972,0.720589248131959,5910745542.168889
