parameter,best_level,best_median_outer_RMSE_km_s,worst_level,worst_median_outer_RMSE_km_s,outer_RMSE_impact_span_km_s
route_mode,endpoint,70.909157320436,radial_arc_0.5,72.73206274044172,1.8229054200057249
return_length_over_R80,0.65,71.29110707230956,0.25,71.76665462383713,0.4755475515275691
width_over_R80,0.18,71.39597974513018,0.28,71.6201896405549,0.22420989542472114
gate_mode,cluster_logistic,71.51013999181683,none,71.55756429478782,0.04742430297099531
route_fraction_multiplier,1.0,71.50453189125409,0.5,71.53033839441582,0.025806503161732053
