candidate_id,gate_mode,return_length_over_R80,width_over_R80,route_mode,route_fraction_multiplier,outer_RMSE_km_s,outer_equal_galaxy_RMSE_km_s,outer_mean_residual_km_s,galaxies_improved_vs_Newtonian,galaxy_improved_fraction
K0110,none,0.65,0.18,endpoint,1.0,69.32136911742643,63.56279130656263,-62.388127422132435,119,0.9083969465648855
K0122,none,0.65,0.23,endpoint,1.0,69.46605743568732,63.688888981633646,-62.59489777851906,118,0.9007633587786259
K0074,none,0.5,0.18,endpoint,1.0,69.47787051653495,63.78130068625138,-62.66010133688007,116,0.8854961832061069
K0086,none,0.5,0.23,endpoint,1.0,69.66226463224234,63.94110512864044,-62.91596823274494,115,0.8778625954198473
K0134,none,0.65,0.28,endpoint,1.0,69.67256321618908,63.87337779485335,-62.88092991428847,117,0.8931297709923665
K0109,none,0.65,0.18,endpoint,0.75,69.78895751923844,64.06714207389308,-63.115973731191055,118,0.9007633587786259
K0098,none,0.5,0.28,endpoint,1.0,69.90488185306639,64.16049097616657,-63.245269249744446,113,0.8625954198473282
K0121,none,0.65,0.23,endpoint,0.75,69.90555538956997,64.16906158094275,-63.275685591401555,118,0.9007633587786259
K0073,none,0.5,0.18,endpoint,0.75,69.93629401240369,64.25181910374553,-63.33500794520221,116,0.8854961832061069
K0038,none,0.36,0.18,endpoint,1.0,69.93827035898218,64.2563580338809,-63.28849384613065,113,0.8625954198473282
K0133,none,0.65,0.28,endpoint,0.75,70.06883344832583,64.31594759436646,-63.49553981136905,117,0.8931297709923665
K0085,none,0.5,0.23,endpoint,0.75,70.08005704188137,64.37781168063543,-63.53064353731648,115,0.8778625954198473
K0050,none,0.36,0.23,endpoint,1.0,70.18387131325763,64.48302862373606,-63.625613431441714,111,0.8473282442748091
K0097,none,0.5,0.28,endpoint,0.75,70.26776795048792,64.54933393069301,-63.78188994060792,113,0.8625954198473282
K0037,none,0.36,0.18,endpoint,0.75,70.3081182098781,64.63135863571887,-63.82195615973258,113,0.8625954198473282
K0108,none,0.65,0.18,endpoint,0.5,70.31631159933252,64.62156181251929,-63.878315343368214,118,0.9007633587786259
