tier,galaxy,cells_per_axis,input_surface_cells,numeric_representation_values,cell_to_parameter_ratio,coefficient_count_per_component,parameter_json_bytes,source_npz_bytes,generated_npz_bytes,parameter_content_sha256,generated_map_sha256,gravity_parameter_count,observed_velocity_arrays_opened,validation_source_arrays_opened,holdout_source_arrays_opened
haar_256,NGC3521,123,30258,1032,29.319767441860463,256,24287,639190,13935,3c1adc04edab0a2ce05053856b9c73764c5c1667f709835ccd81ba365137378a,f2bf6d328d67ac5f32581ff1a0690186e7ebf1b9b7323f0b38ac87455d90464b,0,0,3,0
haar_256,NGC6946,257,132098,1032,128.00193798449612,256,24847,1817036,23586,8950bb1bbf266e0297fed6673acdb60c819f02fcc77a6c7967931e81363c2a3a,4b42de24b33eba5421f673f38348164c4eb160aa01b39e3c557b7b1736c2e525,0,0,3,0
haar_384,NGC3521,123,30258,1544,19.59715025906736,384,35470,639190,18757,c9a4e2663fe2471dd6991e4ac3fa58e3e4ad09b62e9ae050628c8fe6c5eaecec,8b16ddbd8ad74707f3a18fbbb76b196babd33d13e510310b76e4960194c7c168,0,0,3,0
haar_384,NGC6946,257,132098,1544,85.55569948186529,384,36398,1817036,28890,2d23c1a63be4bacbf7c33516be5c3a7cb82a03c2d40af128833a1fcda295e639,3a5071f04e286660252e1778c79921caeb930da1c048e6dabc514cf11108f6a2,0,0,3,0
haar_512,NGC3521,123,30258,2056,14.71692607003891,512,46761,639190,23395,4a651f21b09fea93f750c41aa90bf22d5dcf86568a8559a8eaf6be75e54d8fd4,cc826c0afbfd7effe8759c56fad07b1f8c76c029d449bd9e54a2bb7979e91da9,0,0,3,0
haar_512,NGC6946,257,132098,2056,64.25,512,47975,1817036,34400,78f54baa3651bad3723442bf80b165d5babe004f04804de7c4dc69a05cab12b4,dcdda9f1a283fd6f6b08a0c64f87e24df0c2a7c2dd70eb52ba335a96615e23d4,0,0,3,0
haar_768,NGC3521,123,30258,3080,9.824025974025973,768,69358,639190,32193,e6dab1f30c58b10290fdc786ea9da3d324e1a63a756106edccd852c8710e07ed,564086142f9845ff22800ea1e2a713bb0a456deefe90bec65fbb9bdc65c0d2dd,0,0,3,0
haar_768,NGC6946,257,132098,3080,42.88896103896104,768,71083,1817036,45338,b2962872b6402d16fc0303eac5dd0512b621bbea961c6e29b65bef792d274e52,07b40abfde6428d1df146f8644734ea77cba14669f916b194b0265f0cb5f6f63,0,0,3,0
haar_1024,NGC3521,123,30258,4104,7.37280701754386,1024,92044,639190,40726,9ca94d7fe55f596158bc2fde0b3288c4f6e6b969a323fc86ebbc91c44c5607c4,829841a01e8b26ca581bdb39f596a98610525a9fcca247fbcb8ee28bc46949fb,0,0,3,0
haar_1024,NGC6946,257,132098,4104,32.18762183235867,1024,93864,1817036,56046,ccec8bf3819b2826a9dda50980b7bf814dbc25fb896238cdc7bd1fe1ccb8d081,7fefd467884acaf08686e9fc376010c6391aca60e05b6982a9e2251bf92b9206,0,0,3,0
