tier,galaxy,model,radial_speed_transport_rmse_km_s,los_speed_transport_rmse_km_s,los_speed_transport_normalized_rmse,radial_bins_scored,map_pixels_scored
haar_256,NGC3521,newtonian_thin_sheet,0.7980253188770592,3.222457671772888,0.03533129454824964,24,7962
haar_256,NGC3521,fixed_simple_mond,0.8613633452103803,3.776300912570689,0.029787481813261834,24,7962
haar_256,NGC6946,newtonian_thin_sheet,5.183918135382162,8.774345937157122,0.2083619214088601,24,23406
haar_256,NGC6946,fixed_simple_mond,5.081463295950412,11.707068422715452,0.18922479680592297,24,23406
haar_384,NGC3521,newtonian_thin_sheet,0.7034097104736005,2.4513149039947657,0.026876420957270317,24,7962
haar_384,NGC3521,fixed_simple_mond,0.6213318454204155,2.9455919306743263,0.023234844917197756,24,7962
haar_384,NGC6946,newtonian_thin_sheet,3.144475464783361,7.677723926451923,0.18232074741751245,24,23406
haar_384,NGC6946,fixed_simple_mond,2.8720373831817585,10.367961313946308,0.16758041399301088,24,23406
haar_512,NGC3521,newtonian_thin_sheet,0.5170246014039421,1.8665129218153742,0.020464603273591363,24,7962
haar_512,NGC3521,fixed_simple_mond,0.45214157214930556,2.076690963968339,0.016380949440509964,24,7962
haar_512,NGC6946,newtonian_thin_sheet,2.549389512651879,6.968241627321753,0.16547287110728867,24,23406
haar_512,NGC6946,fixed_simple_mond,2.3002557114144166,9.540033911256973,0.15419837940611414,24,23406
haar_768,NGC3521,newtonian_thin_sheet,0.22568251349048954,1.3001449045574798,0.014254897118029141,24,7962
haar_768,NGC3521,fixed_simple_mond,0.33055424111542053,1.4829720492160523,0.011697691462709117,24,7962
haar_768,NGC6946,newtonian_thin_sheet,1.9549933970006144,5.682139214893487,0.13493215938912873,24,23406
haar_768,NGC6946,fixed_simple_mond,1.7288725267156162,7.980187086304984,0.12898611551200412,24,23406
haar_1024,NGC3521,newtonian_thin_sheet,0.2691943715125236,1.0771767071682148,0.011810255214472869,24,7962
haar_1024,NGC3521,fixed_simple_mond,0.2919583119192933,1.5597025535718634,0.01230294209181357,24,7962
haar_1024,NGC6946,newtonian_thin_sheet,1.8224100818021087,4.9691284468716335,0.11800049352203446,24,23406
haar_1024,NGC6946,fixed_simple_mond,1.6340571770148662,7.1048012151209265,0.11483699571356035,24,23406
