domain,system,role,url,destination,status,bytes,sha256,etag,last_modified
cluster_comparator,AS295,glafic_v2_kappa,https://archive.stsci.edu/hlsps/relics/abells295/models/glafic/v2/hlsp_relics_model_model_abells295_glafic_v2_kappa.fits,C:\Users\henry\Documents\Codex\2026-07-18\sigmagravity-frontiers-main\research\galaxy-cluster-unification\data\raw\p0633_relics_lensing_comparators\AS295\glafic\v2\hlsp_relics_model_model_abells295_glafic_v2_kappa.fits,downloaded,23042880,380d0a4d3a6efb52f059a46c1f83c77ff8071accb6d69451b99204c7117cf41b,"""15f9b40-59244b1161880""","Wed, 11 Sep 2019 10:43:30 GMT"
cluster_comparator,AS295,glafic_v2_x-arcsec-deflect,https://archive.stsci.edu/hlsps/relics/abells295/models/glafic/v2/hlsp_relics_model_model_abells295_glafic_v2_x-arcsec-deflect.fits,C:\Users\henry\Documents\Codex\2026-07-18\sigmagravity-frontiers-main\research\galaxy-cluster-unification\data\raw\p0633_relics_lensing_comparators\AS295\glafic\v2\hlsp_relics_model_model_abells295_glafic_v2_x-arcsec-deflect.fits,downloaded,23042880,0a6bf4567cc1a077440bf7a1b24e488f31b618160e99dec9ceda017f80901b0a,"""15f9b40-59244b1161880""","Wed, 11 Sep 2019 10:43:30 GMT"
cluster_comparator,AS295,glafic_v2_y-arcsec-deflect,https://archive.stsci.edu/hlsps/relics/abells295/models/glafic/v2/hlsp_relics_model_model_abells295_glafic_v2_y-arcsec-deflect.fits,C:\Users\henry\Documents\Codex\2026-07-18\sigmagravity-frontiers-main\research\galaxy-cluster-unification\data\raw\p0633_relics_lensing_comparators\AS295\glafic\v2\hlsp_relics_model_model_abells295_glafic_v2_y-arcsec-deflect.fits,downloaded,23042880,2ae7ac7b22344f5235006b0f54c04af3be6fe4212d517fe0bdbcb36ef514d236,"""15f9b40-59244b1161880""","Wed, 11 Sep 2019 10:43:30 GMT"
cluster_comparator,AS295,zitrin-ltm-gauss_v2_kappa,https://archive.stsci.edu/hlsps/relics/abells295/models/zitrin-ltm-gauss/v2/hlsp_relics_model_model_abells295_zitrin-ltm-gauss_v2_kappa.fits,C:\Users\henry\Documents\Codex\2026-07-18\sigmagravity-frontiers-main\research\galaxy-cluster-unification\data\raw\p0633_relics_lensing_comparators\AS295\zitrin-ltm-gauss\v2\hlsp_relics_model_model_abells295_zitrin-ltm-gauss_v2_kappa.fits,downloaded,46247040,66f4b8b55080a5dbaef25e6015887c9e66e759c95a0991cf7e24fe3ebaac2016,"""2c1ac80-5ae3d8586df00""","Tue, 01 Sep 2020 09:55:40 GMT"
cluster_comparator,AS295,zitrin-ltm-gauss_v2_x-arcsec-deflect,https://archive.stsci.edu/hlsps/relics/abells295/models/zitrin-ltm-gauss/v2/hlsp_relics_model_model_abells295_zitrin-ltm-gauss_v2_x-arcsec-deflect.fits,C:\Users\henry\Documents\Codex\2026-07-18\sigmagravity-frontiers-main\research\galaxy-cluster-unification\data\raw\p0633_relics_lensing_comparators\AS295\zitrin-ltm-gauss\v2\hlsp_relics_model_model_abells295_zitrin-ltm-gauss_v2_x-arcsec-deflect.fits,downloaded,46247040,bcaec4c8bc099e1d3d93b74a315e1f6214ffc18ebbd8d5e4c95a8014b45f8760,"""2c1ac80-5ae3d876f2700""","Tue, 01 Sep 2020 09:56:12 GMT"
cluster_comparator,AS295,zitrin-ltm-gauss_v2_y-arcsec-deflect,https://archive.stsci.edu/hlsps/relics/abells295/models/zitrin-ltm-gauss/v2/hlsp_relics_model_model_abells295_zitrin-ltm-gauss_v2_y-arcsec-deflect.fits,C:\Users\henry\Documents\Codex\2026-07-18\sigmagravity-frontiers-main\research\galaxy-cluster-unification\data\raw\p0633_relics_lensing_comparators\AS295\zitrin-ltm-gauss\v2\hlsp_relics_model_model_abells295_zitrin-ltm-gauss_v2_y-arcsec-deflect.fits,downloaded,46247040,e001ed3cd35c5f9130c27bac2f4bc039577432b55e1910316c29f9972a4b8998,"""2c1ac80-5ae3d7b7422c0""","Tue, 01 Sep 2020 09:52:51 GMT"
cluster_comparator,MACS0025,glafic_v2_kappa,https://archive.stsci.edu/hlsps/relics/macs0025m12/models/glafic/v2/hlsp_relics_model_model_macs0025m12_glafic_v2_kappa.fits,C:\Users\henry\Documents\Codex\2026-07-18\sigmagravity-frontiers-main\research\galaxy-cluster-unification\data\raw\p0633_relics_lensing_comparators\MACS0025\glafic\v2\hlsp_relics_model_model_macs0025m12_glafic_v2_kappa.fits,downloaded,23042880,7538bc2dcb0c7cff90bedc865f40ec323d163f3ba846563c53526b0c2a80bc1c,"""15f9b40-5924e3cd13040""","Wed, 11 Sep 2019 22:06:49 GMT"
cluster_comparator,MACS0025,glafic_v2_x-arcsec-deflect,https://archive.stsci.edu/hlsps/relics/macs0025m12/models/glafic/v2/hlsp_relics_model_model_macs0025m12_glafic_v2_x-arcsec-deflect.fits,C:\Users\henry\Documents\Codex\2026-07-18\sigmagravity-frontiers-main\research\galaxy-cluster-unification\data\raw\p0633_relics_lensing_comparators\MACS0025\glafic\v2\hlsp_relics_model_model_macs0025m12_glafic_v2_x-arcsec-deflect.fits,downloaded,23042880,a83d6366c702d3424db74b4e2af1db8bfeaf86b1a4d02bdbbf63779a5f8b8559,"""15f9b40-5924e3ce07280""","Wed, 11 Sep 2019 22:06:50 GMT"
cluster_comparator,MACS0025,glafic_v2_y-arcsec-deflect,https://archive.stsci.edu/hlsps/relics/macs0025m12/models/glafic/v2/hlsp_relics_model_model_macs0025m12_glafic_v2_y-arcsec-deflect.fits,C:\Users\henry\Documents\Codex\2026-07-18\sigmagravity-frontiers-main\research\galaxy-cluster-unification\data\raw\p0633_relics_lensing_comparators\MACS0025\glafic\v2\hlsp_relics_model_model_macs0025m12_glafic_v2_y-arcsec-deflect.fits,downloaded,23042880,1bb07c0dc3124a83888eedef7cfbac50e45a00799b6e6f32568f196526884382,"""15f9b40-5924e3ce07280""","Wed, 11 Sep 2019 22:06:50 GMT"
cluster_comparator,MACS0025,zitrin-ltm-gauss_v1_kappa,https://archive.stsci.edu/hlsps/relics/macs0025m12/models/zitrin-ltm-gauss/hlsp_relics_model_model_macs0025m12_zitrin-ltm-gauss_v1_kappa.fits,C:\Users\henry\Documents\Codex\2026-07-18\sigmagravity-frontiers-main\research\galaxy-cluster-unification\data\raw\p0633_relics_lensing_comparators\MACS0025\zitrin-ltm-gauss\v1\hlsp_relics_model_model_macs0025m12_zitrin-ltm-gauss_v1_kappa.fits,downloaded,40968000,ffbf95f80d1088f75c88e9d5c4e96f81285d7939ef83aab095f49f40db866d41,"""2711f40-56aa340819180""","Wed, 25 Apr 2018 02:44:38 GMT"
cluster_comparator,MACS0025,zitrin-ltm-gauss_v1_x-arcsec-deflect,https://archive.stsci.edu/hlsps/relics/macs0025m12/models/zitrin-ltm-gauss/hlsp_relics_model_model_macs0025m12_zitrin-ltm-gauss_v1_x-arcsec-deflect.fits,C:\Users\henry\Documents\Codex\2026-07-18\sigmagravity-frontiers-main\research\galaxy-cluster-unification\data\raw\p0633_relics_lensing_comparators\MACS0025\zitrin-ltm-gauss\v1\hlsp_relics_model_model_macs0025m12_zitrin-ltm-gauss_v1_x-arcsec-deflect.fits,downloaded,40968000,74976285d961c754cefd11754470ad8ec4d7ea38ab116bd83e31d84bdb4f6140,"""2711f40-56aa34090d3c0""","Wed, 25 Apr 2018 02:44:39 GMT"
cluster_comparator,MACS0025,zitrin-ltm-gauss_v1_y-arcsec-deflect,https://archive.stsci.edu/hlsps/relics/macs0025m12/models/zitrin-ltm-gauss/hlsp_relics_model_model_macs0025m12_zitrin-ltm-gauss_v1_y-arcsec-deflect.fits,C:\Users\henry\Documents\Codex\2026-07-18\sigmagravity-frontiers-main\research\galaxy-cluster-unification\data\raw\p0633_relics_lensing_comparators\MACS0025\zitrin-ltm-gauss\v1\hlsp_relics_model_model_macs0025m12_zitrin-ltm-gauss_v1_y-arcsec-deflect.fits,downloaded,40968000,b767e0f8ccb01a6b2d0837fd89f27b2ba30a1f1ee485007e85a93a472824ebea,"""2711f40-56aa340a01600""","Wed, 25 Apr 2018 02:44:40 GMT"
cluster_comparator,MACS0159,glafic_v2_kappa,https://archive.stsci.edu/hlsps/relics/macs0159m08/models/glafic/v2/hlsp_relics_model_model_macs0159m08_glafic_v2_kappa.fits,C:\Users\henry\Documents\Codex\2026-07-18\sigmagravity-frontiers-main\research\galaxy-cluster-unification\data\raw\p0633_relics_lensing_comparators\MACS0159\glafic\v2\hlsp_relics_model_model_macs0159m08_glafic_v2_kappa.fits,downloaded,23042880,b8e471061b6ffbef7ae09290c6eaad051223c82e2901a2bacf0ef8fc04259eba,"""15f9b40-5923b9f3f3a00""","Tue, 10 Sep 2019 23:54:16 GMT"
cluster_comparator,MACS0159,glafic_v2_x-arcsec-deflect,https://archive.stsci.edu/hlsps/relics/macs0159m08/models/glafic/v2/hlsp_relics_model_model_macs0159m08_glafic_v2_x-arcsec-deflect.fits,C:\Users\henry\Documents\Codex\2026-07-18\sigmagravity-frontiers-main\research\galaxy-cluster-unification\data\raw\p0633_relics_lensing_comparators\MACS0159\glafic\v2\hlsp_relics_model_model_macs0159m08_glafic_v2_x-arcsec-deflect.fits,downloaded,23042880,5fb173c331897b9032bfbd5d7eb02f892c32965bfd9150801ef3ef8ae0944296,"""15f9b40-5923b9f3f3a00""","Tue, 10 Sep 2019 23:54:16 GMT"
cluster_comparator,MACS0159,glafic_v2_y-arcsec-deflect,https://archive.stsci.edu/hlsps/relics/macs0159m08/models/glafic/v2/hlsp_relics_model_model_macs0159m08_glafic_v2_y-arcsec-deflect.fits,C:\Users\henry\Documents\Codex\2026-07-18\sigmagravity-frontiers-main\research\galaxy-cluster-unification\data\raw\p0633_relics_lensing_comparators\MACS0159\glafic\v2\hlsp_relics_model_model_macs0159m08_glafic_v2_y-arcsec-deflect.fits,downloaded,23042880,57d3f8b2172f25a5fd2ef5bd376cf2c7cf405d3d06943836f4a6d7f088aa7e34,"""15f9b40-5923b9f4e7c40""","Tue, 10 Sep 2019 23:54:17 GMT"
cluster_comparator,MACS0159,zitrin-ltm-gauss_v1_kappa,https://archive.stsci.edu/hlsps/relics/macs0159m08/models/zitrin-ltm-gauss/hlsp_relics_model_model_macs0159m08_zitrin-ltm-gauss_v1_kappa.fits,C:\Users\henry\Documents\Codex\2026-07-18\sigmagravity-frontiers-main\research\galaxy-cluster-unification\data\raw\p0633_relics_lensing_comparators\MACS0159\zitrin-ltm-gauss\v1\hlsp_relics_model_model_macs0159m08_zitrin-ltm-gauss_v1_kappa.fits,downloaded,25007040,53d94e1c199e4e11c42c89e58692128f886b703c8d5f261d9df135e755f929d3,"""17d93c0-561a734c03e00""","Sun, 31 Dec 2017 18:40:56 GMT"
cluster_comparator,MACS0159,zitrin-ltm-gauss_v1_x-arcsec-deflect,https://archive.stsci.edu/hlsps/relics/macs0159m08/models/zitrin-ltm-gauss/hlsp_relics_model_model_macs0159m08_zitrin-ltm-gauss_v1_x-arcsec-deflect.fits,C:\Users\henry\Documents\Codex\2026-07-18\sigmagravity-frontiers-main\research\galaxy-cluster-unification\data\raw\p0633_relics_lensing_comparators\MACS0159\zitrin-ltm-gauss\v1\hlsp_relics_model_model_macs0159m08_zitrin-ltm-gauss_v1_x-arcsec-deflect.fits,downloaded,25007040,ed0a99bcaff882c02c50c420378b25d6e92b8b067e5a7e4c2f0457e829b07005,"""17d93c0-561a734dec280""","Sun, 31 Dec 2017 18:40:58 GMT"
