Galaxy,Hubble_Type,Winner,RMS_Sigma,RMS_MOND,Improvement_Pct,V_flat,R_d,R_d_source,Gas_Pct,Bulge_Pct,Deep_MOND_Pct,g_bar_min,g_bar_max,g_bar_mean,Accel_Regime,Mass_Type,Rise_Ratio,R_max,N_points,Inclination,Distance,Luminosity,M_HI,R_HI,Quality
NGC4010,Sd,Sigma,23.480,32.933,28.70,126.75,2.810,catalog,11.9,0.0,100.0,2.8713e-11,8.7994e-11,5.6329e-11,Deep MOND,Normal,2.297,10.47,12,89.0,18.00,17.1930,2.8320,17.59,2
UGC07524,Sm,Sigma,10.604,14.814,28.42,79.55,3.460,catalog,44.0,0.0,100.0,8.0717e-12,2.2066e-11,9.9152e-12,Deep MOND,Dwarf,2.424,10.69,31,46.0,4.74,2.4360,1.7790,12.11,1
UGC08837,Im,Sigma,15.207,21.201,28.27,45.87,1.720,catalog,40.5,0.0,100.0,6.9637e-12,1.1656e-11,9.5902e-12,Deep MOND,Dwarf,2.997,4.20,8,80.0,7.21,0.5010,0.3200,4.75,2
UGC02023,Im,Sigma,16.377,22.782,28.12,48.10,1.550,catalog,21.9,0.0,100.0,1.3147e-11,2.1961e-11,1.7392e-11,Deep MOND,Dwarf,1.724,3.78,5,19.0,10.40,1.3080,0.4770,6.50,2
NGC6195,Sb,Sigma,63.398,87.944,27.91,254.00,13.940,catalog,7.6,100.5,17.4,4.5504e-11,1.4351e-09,3.4829e-10,Newtonian,Massive,1.095,36.43,23,62.0,127.80,391.0760,20.9070,40.89,1
UGC06923,Im,Sigma,16.121,22.103,27.07,79.60,1.440,catalog,23.2,0.0,100.0,2.2868e-11,9.2341e-11,4.5145e-11,Deep MOND,Dwarf,1.401,5.16,6,65.0,18.00,2.8900,0.8090,6.75,2
NGC2915,BCD,Sigma,12.564,17.113,26.58,84.43,0.550,catalog,14.2,0.0,93.3,2.1772e-12,1.9270e-10,2.1140e-11,Deep MOND,Normal,1.733,10.04,30,56.0,4.06,0.6410,0.5080,7.16,2
NGC7793,Sd,Sigma,15.120,20.539,26.38,107.66,1.210,catalog,11.4,0.0,30.4,2.2388e-11,2.1855e-10,1.3083e-10,Transition,Normal,3.124,7.87,46,47.0,3.61,7.0500,0.8610,7.35,1
NGC3949,Sbc,Sigma,39.618,53.160,25.47,165.00,3.590,catalog,5.2,0.0,0.0,1.2039e-10,4.7952e-10,2.9068e-10,Newtonian,Massive,1.170,7.07,7,55.0,18.00,38.0670,3.3710,13.72,2
UGC07577,Im,Sigma,12.491,16.610,24.80,15.93,0.900,catalog,32.8,0.0,100.0,1.4478e-12,5.8705e-12,4.5831e-12,Deep MOND,Dwarf,2.458,1.69,9,63.0,2.59,0.0450,0.0440,2.07,2
NGC4051,Sbc,Sigma,51.218,67.135,23.71,158.33,4.650,catalog,3.8,0.0,14.3,8.0076e-11,5.3190e-10,1.9100e-10,Newtonian,Massive,1.232,12.19,7,49.0,18.00,95.2680,2.6970,15.13,2
ESO563-G021,Sbc,Sigma,24.146,31.601,23.59,317.80,5.450,catalog,4.8,0.0,36.7,2.9645e-11,3.4921e-10,1.4785e-10,Transition,Massive,2.631,42.41,30,83.0,60.80,311.1770,24.2980,55.71,1
UGC05918,Im,Sigma,5.949,7.773,23.47,42.77,1.660,catalog,43.5,0.0,100.0,3.5043e-12,4.9515e-12,4.1567e-12,Deep MOND,Dwarf,1.588,4.46,8,46.0,7.66,0.2330,0.2970,5.90,2
D512-2,Im,Sigma,10.236,13.286,22.96,35.53,1.240,catalog,12.7,0.0,100.0,3.9651e-12,8.2425e-12,6.3985e-12,Deep MOND,Dwarf,1.104,3.83,4,56.0,15.20,0.3250,0.0810,0.00,2
UGC11914,Sab,Sigma,23.748,30.807,22.91,292.10,2.440,catalog,1.5,69.3,0.0,2.1906e-10,5.3853e-09,1.2918e-09,Newtonian,Massive,1.130,9.83,65,31.0,16.90,150.0280,0.8880,9.26,1
DDO064,Im,Sigma,5.330,6.890,22.64,46.50,0.690,catalog,56.3,0.0,100.0,8.3108e-13,1.2265e-11,8.8897e-12,Deep MOND,Dwarf,3.599,2.98,14,60.0,6.80,0.1570,0.2110,3.49,1
NGC0247,Sd,Sigma,13.761,17.771,22.56,105.38,3.740,catalog,30.8,0.0,100.0,7.9876e-12,1.8442e-11,1.4277e-11,Deep MOND,Normal,1.826,14.54,26,74.0,3.70,7.3320,1.7460,12.79,2
IC2574,Sm,Sigma,16.047,20.669,22.37,61.55,2.780,catalog,49.6,0.0,100.0,3.5061e-12,5.2268e-12,4.5915e-12,Deep MOND,Dwarf,2.980,10.23,34,75.0,3.91,1.0160,1.0360,10.81,2
F571-8,Sc,Sigma,30.345,38.879,21.95,135.75,3.560,catalog,1.1,0.0,61.5,6.6679e-12,3.0535e-10,1.0542e-10,Transition,Normal,3.830,15.55,13,85.0,53.30,10.1640,1.7820,24.55,1
NGC5585,Sd,Sigma,15.296,19.517,21.63,90.29,1.530,catalog,24.1,0.0,100.0,6.7161e-12,9.4310e-11,4.1539e-11,Deep MOND,Normal,3.033,10.96,24,51.0,7.06,2.9430,1.6830,10.92,1
IC4202,Sbc,Sigma,41.320,52.709,21.61,247.30,4.780,catalog,7.5,50.1,28.1,4.7195e-11,7.7168e-10,1.9653e-10,Newtonian,Massive,1.593,25.90,32,90.0,100.40,179.7490,12.3260,32.13,1
F563-V1,Im,Sigma,27.915,35.521,21.41,28.90,3.790,catalog,41.0,0.0,100.0,3.5630e-12,6.0867e-12,4.6591e-12,Deep MOND,Dwarf,1.308,7.87,6,60.0,54.00,1.5400,0.6100,6.83,3
UGC00891,Sm,Sigma,9.347,11.887,21.37,59.35,1.430,catalog,57.9,0.0,100.0,3.1356e-12,9.6023e-12,6.2966e-12,Deep MOND,Dwarf,1.424,7.39,5,60.0,10.20,0.3740,0.4280,6.23,2
NGC0100,Scd,Sigma,13.289,16.884,21.29,87.46,1.660,catalog,13.4,0.0,100.0,6.9978e-12,3.5111e-11,1.9857e-11,Deep MOND,Normal,2.822,9.62,21,89.0,13.50,3.2320,1.9900,16.36,1
NGC3109,Sm,Sigma,3.429,4.344,21.06,64.22,1.560,catalog,61.6,0.0,100.0,1.0878e-12,5.4461e-12,3.7946e-12,Deep MOND,Dwarf,3.532,6.45,25,70.0,1.33,0.1940,0.4770,6.00,1
NGC1705,BCD,Sigma,7.092,8.901,20.32,72.78,0.390,catalog,13.0,0.0,85.7,3.1470e-12,1.6740e-10,3.3472e-11,Deep MOND,Dwarf,1.143,6.00,14,80.0,5.73,0.5330,0.1390,2.36,3
UGC05829,Im,Sigma,9.710,12.134,19.98,64.97,1.990,catalog,72.3,0.0,100.0,2.6198e-12,8.0739e-12,5.9823e-12,Deep MOND,Dwarf,2.464,6.91,11,34.0,8.64,0.5640,1.0230,7.87,2
UGC11455,Scd,Sigma,61.915,77.193,19.79,281.08,5.930,catalog,2.8,0.0,22.2,3.4489e-11,3.4570e-10,2.1886e-10,Newtonian,Massive,2.113,41.93,36,90.0,78.60,374.3220,13.3350,43.44,1
NGC3877,Sc,Sigma,48.962,60.388,18.92,170.25,2.530,catalog,2.2,0.0,0.0,1.0541e-10,3.8652e-10,1.7956e-10,Newtonian,Massive,2.108,11.35,13,76.0,18.00,72.5350,1.4830,11.47,2
UGC07151,Scd,Sigma,13.067,16.115,18.92,74.23,1.250,catalog,24.6,0.0,100.0,1.8203e-11,4.8675e-11,3.1053e-11,Deep MOND,Dwarf,1.732,5.50,11,90.0,6.87,2.2840,0.6160,6.39,1
NGC4085,Sc,Sigma,45.251,55.431,18.37,133.00,1.650,catalog,2.7,0.0,0.0,1.0448e-10,3.3474e-10,2.1739e-10,Newtonian,Normal,1.683,6.20,7,82.0,18.00,21.7240,1.3490,10.16,2
UGC05253,Sab,Sigma,39.515,48.183,17.99,247.62,8.070,catalog,6.4,127.9,19.2,1.0248e-11,6.3484e-09,1.0246e-09,Newtonian,Massive,0.971,53.29,73,37.0,22.90,171.5820,16.3960,36.64,2
UGC02916,Sab,Sigma,48.666,59.120,17.68,216.64,6.150,catalog,32.0,165.2,18.6,1.7356e-11,1.6235e-09,4.3092e-10,Newtonian,Massive,0.971,38.00,43,50.0,65.40,124.1530,23.2730,34.24,2
F583-4,Sc,Sigma,13.490,16.385,17.67,66.00,1.930,catalog,13.2,0.0,100.0,4.6352e-12,1.7820e-11,1.1011e-11,Deep MOND,Dwarf,2.607,7.29,12,55.0,53.30,1.7150,0.6410,7.80,1
UGC11557,Sdm,Sigma,45.652,55.082,17.12,82.30,2.750,catalog,12.5,0.0,100.0,2.2613e-11,7.3482e-11,5.2607e-11,Deep MOND,Normal,4.262,10.56,12,30.0,24.20,12.1010,2.6050,16.66,2
NGC2403,Scd,Sigma,15.204,18.344,17.12,132.62,1.390,catalog,16.2,0.0,50.7,5.7493e-12,2.3572e-10,9.1370e-11,Transition,Normal,1.848,20.87,73,63.0,3.16,10.0410,3.1990,15.11,1
UGC03205,Sab,Sigma,27.002,32.537,17.01,233.75,3.190,catalog,6.2,53.8,37.5,1.1688e-11,1.2582e-09,2.6135e-10,Transition,Massive,1.159,40.04,48,67.0,50.00,113.6420,9.6770,28.60,1
NGC4214,Im,Sigma,6.019,7.222,16.66,80.50,0.510,catalog,8.1,0.0,78.6,6.3751e-12,1.6550e-10,5.0322e-11,Deep MOND,Normal,1.283,5.63,14,15.0,2.87,1.1410,0.4860,5.84,2
UGC08699,Sab,Sigma,27.803,33.216,16.29,194.54,3.090,catalog,7.1,153.9,29.3,1.2754e-11,4.2173e-09,6.1457e-10,Newtonian,Massive,0.954,25.70,41,73.0,39.30,50.3020,3.7380,19.05,2
NGC4389,Sbc,Sigma,67.431,80.498,16.23,96.47,2.790,catalog,2.0,0.0,0.0,1.2274e-10,2.7963e-10,2.0485e-10,Newtonian,Normal,1.901,5.32,6,50.0,18.00,21.3280,0.5390,6.81,3
NGC3917,Scd,Sigma,21.661,25.857,16.23,137.20,2.630,catalog,8.3,0.0,100.0,1.9237e-11,5.8527e-11,4.2313e-11,Deep MOND,Normal,2.174,14.86,17,79.0,18.00,21.9660,1.8880,14.08,1
NGC5005,Sbc,Sigma,60.761,72.422,16.10,264.50,9.450,catalog,6.6,106.1,0.0,2.1298e-10,4.2417e-09,1.0978e-09,Newtonian,Massive,1.164,11.47,18,68.0,16.90,178.7200,1.2800,10.41,1
UGC04499,Sdm,Sigma,14.656,17.460,16.06,73.47,1.730,catalog,41.6,0.0,100.0,8.4733e-12,3.1970e-11,1.6201e-11,Deep MOND,Dwarf,1.681,8.18,9,50.0,12.50,1.5520,1.1000,8.67,1
F567-2,Sm,Sigma,24.517,29.177,15.97,49.30,3.080,catalog,34.9,0.0,100.0,5.6730e-12,8.9984e-12,6.8599e-12,Deep MOND,Dwarf,1.190,9.59,5,20.0,79.00,2.1340,2.4490,14.94,3
UGC02885,Sc,Sigma,40.532,48.158,15.84,299.17,11.400,catalog,11.0,76.0,73.7,1.4732e-11,1.5095e-09,1.8256e-10,Deep MOND,Massive,1.091,74.07,19,64.0,80.60,403.5250,40.0750,74.24,1
ESO444-G084,Im,Sigma,7.402,8.776,15.66,61.27,0.460,catalog,64.9,0.0,100.0,2.0549e-12,1.4820e-11,8.8034e-12,Deep MOND,Dwarf,1.761,4.44,7,32.0,4.83,0.0710,0.1350,2.95,2
UGC07089,Sdm,Sigma,23.645,27.992,15.53,75.80,2.260,catalog,21.3,0.0,100.0,9.7893e-12,2.4076e-11,1.6349e-11,Deep MOND,Dwarf,2.222,9.16,12,80.0,18.00,3.5850,1.2140,9.29,2
UGC05750,Sdm,Sigma,19.884,23.455,15.22,76.63,3.460,catalog,42.9,0.0,100.0,1.8191e-12,7.7444e-12,5.9237e-12,Deep MOND,Dwarf,4.616,22.85,11,64.0,58.70,3.3360,1.0990,16.79,1
UGC06930,Sd,Sigma,20.394,24.047,15.19,108.33,3.940,catalog,28.7,0.0,100.0,8.3328e-12,5.1565e-11,2.1727e-11,Deep MOND,Normal,1.368,16.61,10,32.0,18.00,8.9320,3.2370,16.76,1
UGC06818,Sm,Sigma,20.047,23.634,15.18,71.23,1.390,catalog,20.3,0.0,100.0,7.6359e-12,2.8410e-11,1.7065e-11,Deep MOND,Dwarf,2.346,6.98,8,75.0,18.00,1.5880,1.0790,6.96,2
UGC03580,Sa,Sigma,38.896,45.665,14.82,117.67,2.430,catalog,15.4,60.1,40.4,4.0454e-12,8.6448e-10,2.2850e-10,Transition,Normal,1.768,27.06,47,63.0,20.70,13.2660,4.3700,19.97,2
UGC05721,Sd,Sigma,8.724,10.219,14.63,81.61,0.380,catalog,24.0,0.0,82.6,4.5615e-12,1.2621e-10,4.1026e-11,Deep MOND,Normal,1.794,6.74,23,61.0,6.18,0.5310,0.5620,6.74,1
UGC06628,Sm,Sigma,38.447,45.010,14.58,42.30,2.820,catalog,30.2,0.0,100.0,1.3358e-11,2.5163e-11,1.7599e-11,Deep MOND,Dwarf,1.171,7.69,7,20.0,15.10,3.7390,1.5000,10.47,2
UGC07866,Im,Sigma,10.663,12.479,14.55,30.63,0.610,catalog,40.2,0.0,100.0,6.6060e-12,1.0516e-11,8.6051e-12,Deep MOND,Dwarf,1.571,2.32,7,44.0,4.57,0.1240,0.1180,3.30,2
NGC4068,Im,Sigma,14.319,16.736,14.45,36.10,0.590,catalog,40.7,0.0,100.0,7.3499e-12,1.5904e-11,1.3488e-11,Deep MOND,Dwarf,2.502,2.33,6,44.0,4.37,0.2360,0.1540,3.18,2
F574-1,Sd,Sigma,9.271,10.791,14.09,98.95,4.460,catalog,26.0,0.0,100.0,8.7961e-12,2.4863e-11,1.3632e-11,Deep MOND,Normal,2.483,12.60,14,65.0,96.80,6.5370,3.5240,16.19,1
F574-2,Sm,Sigma,42.442,48.722,12.89,35.33,3.760,catalog,37.6,0.0,100.0,5.1165e-12,6.9870e-12,6.1645e-12,Deep MOND,Dwarf,1.545,10.83,5,30.0,89.10,2.8770,1.7010,12.61,3
NGC3893,Sc,Sigma,37.770,43.352,12.87,190.67,2.380,catalog,5.0,0.0,50.0,2.7580e-11,7.6707e-10,1.9972e-10,Transition,Massive,1.012,19.05,10,49.0,18.00,58.5250,5.7990,20.84,1
F571-V1,Sd,Sigma,12.359,14.150,12.66,83.57,2.470,catalog,42.9,0.0,100.0,3.6623e-12,1.2471e-11,7.6564e-12,Deep MOND,Normal,1.533,13.59,7,30.0,80.10,1.8490,1.2170,10.10,2
NGC0300,Sd,Sigma,8.581,9.787,12.31,93.78,1.750,catalog,23.7,0.0,100.0,4.6985e-12,3.5378e-11,1.6374e-11,Deep MOND,Normal,1.692,11.80,25,42.0,2.08,2.9220,0.9360,9.20,2
NGC3521,Sbc,Sigma,56.877,64.849,12.29,218.08,2.400,catalog,2.6,0.0,7.3,4.2934e-11,2.4315e-09,7.9112e-10,Newtonian,Massive,1.115,17.74,41,75.0,7.70,84.8360,4.1540,18.85,1
D564-8,Im,Sigma,8.740,9.960,12.25,23.63,0.610,catalog,37.6,0.0,100.0,1.1408e-12,3.3351e-12,2.3000e-12,Deep MOND,Dwarf,1.527,3.07,6,63.0,8.79,0.0330,0.0290,0.00,2
NGC5371,Sbc,Sigma,88.765,100.590,11.76,237.83,7.440,catalog,3.6,0.0,42.1,2.4945e-11,1.2969e-09,2.3258e-10,Transition,Massive,0.969,46.24,19,53.0,39.70,340.3930,11.1800,30.03,1
NGC7814,Sab,Sigma,28.196,31.884,11.57,239.00,2.540,catalog,3.5,169.7,44.4,2.9242e-11,6.2109e-09,6.1227e-10,Transition,Massive,0.872,19.53,18,90.0,14.40,74.5290,1.0700,12.15,1
UGC07559,Im,Sigma,13.057,14.710,11.23,30.97,0.580,catalog,47.5,0.0,100.0,6.5311e-12,1.1564e-11,8.5850e-12,Deep MOND,Dwarf,1.873,2.53,7,61.0,4.97,0.1090,0.1690,3.76,2
UGC02455,Im,Sigma,52.019,58.436,10.98,52.63,0.990,catalog,12.7,0.0,50.0,4.1356e-11,1.3637e-10,8.8902e-11,Transition,Dwarf,2.193,4.03,8,51.0,6.92,3.6490,0.8030,7.11,3
