Galaxy,Hubble_Type,Winner,RMS_Sigma,RMS_MOND,Improvement_Pct,V_flat,R_d,R_d_source,Gas_Pct,Bulge_Pct,Deep_MOND_Pct,g_bar_min,g_bar_max,g_bar_mean,Accel_Regime,Mass_Type,Rise_Ratio,R_max,N_points,Inclination,Distance,Luminosity,M_HI,R_HI,Quality
UGC06983,Scd,Sigma,10.874,11.332,4.04,110.20,3.210,catalog,29.6,0.0,100.0,6.6264e-12,6.1637e-11,1.9930e-11,Deep MOND,Normal,1.300,15.68,17,49.0,18.00,5.2980,2.9670,16.07,1
UGC07261,Sdm,Sigma,12.940,13.483,4.03,74.73,1.200,catalog,24.9,0.0,100.0,1.0294e-11,4.4813e-11,2.3060e-11,Deep MOND,Dwarf,1.248,6.67,7,30.0,13.10,1.7530,1.3880,10.10,2
NGC4157,Sb,Sigma,67.015,69.631,3.76,195.60,2.320,catalog,4.2,12.4,58.8,1.9381e-11,4.6229e-10,1.4739e-10,Transition,Massive,1.139,29.61,17,82.0,18.00,105.6200,8.2260,24.09,1
UGC05005,Im,Sigma,24.325,25.269,3.73,99.50,3.200,catalog,43.5,0.0,100.0,2.4796e-12,1.4340e-11,8.3310e-12,Deep MOND,Normal,3.024,28.61,11,41.0,53.70,4.1000,3.0930,21.61,1
NGC1090,Sbc,Sigma,50.904,52.665,3.34,169.75,3.530,catalog,8.5,0.0,66.7,1.5095e-11,2.9221e-10,8.6766e-11,Transition,Massive,1.581,30.09,24,64.0,37.00,72.0450,8.7830,30.49,1
NGC5033,Sc,Sigma,46.047,47.573,3.21,222.14,5.160,catalog,5.7,151.9,63.6,9.3558e-12,3.6670e-09,3.3003e-10,Transition,Massive,0.881,44.59,22,66.0,15.70,110.5090,11.3140,29.53,1
D631-7,Im,Sigma,12.976,13.386,3.06,57.70,0.700,catalog,48.5,0.0,100.0,1.7758e-12,1.7039e-11,7.4350e-12,Deep MOND,Dwarf,2.662,7.19,16,59.0,7.72,0.1960,0.2900,0.00,1
NGC3198,Sc,Sigma,34.491,35.006,1.47,152.14,3.140,catalog,10.6,0.0,58.1,4.4747e-12,4.0550e-10,7.9327e-11,Transition,Massive,2.139,44.08,43,73.0,13.80,38.2790,10.8690,35.66,1
NGC4100,Sbc,Sigma,36.107,36.523,1.14,192.00,2.150,catalog,3.4,0.0,62.5,1.8573e-11,2.0752e-10,9.2130e-11,Transition,Massive,0.971,22.76,24,73.0,18.00,59.3940,3.1020,18.06,1
F565-V2,Im,MOND,5.093,5.089,-0.08,78.37,2.170,catalog,63.6,0.0,100.0,3.9912e-12,5.3107e-12,4.5412e-12,Deep MOND,Dwarf,1.916,8.80,7,60.0,51.80,0.5590,0.6990,7.31,2
UGC04483,Im,MOND,7.070,7.019,-0.74,23.80,0.180,catalog,60.7,0.0,100.0,5.4873e-12,1.3429e-11,8.8650e-12,Deep MOND,Dwarf,1.972,1.21,8,58.0,3.34,0.0130,0.0320,1.46,2
DDO170,Im,MOND,18.307,18.153,-0.85,60.40,1.950,catalog,65.7,0.0,100.0,2.2216e-12,7.0392e-12,4.5884e-12,Deep MOND,Dwarf,1.443,12.33,8,66.0,15.40,0.5430,0.7350,9.14,2
NGC4559,Scd,MOND,42.443,41.994,-1.07,122.80,2.100,catalog,16.7,0.0,78.1,1.0680e-11,1.6842e-10,5.1640e-11,Deep MOND,Normal,1.424,20.97,32,67.0,9.00,19.3770,5.8110,21.16,1
UGC07690,Im,MOND,14.933,14.773,-1.08,59.77,0.570,catalog,17.4,0.0,85.7,1.1551e-11,1.1599e-10,4.3470e-11,Deep MOND,Dwarf,1.011,4.13,7,41.0,8.11,0.8580,0.3900,5.50,2
NGC5055,Sbc,MOND,84.808,83.773,-1.24,204.00,3.200,catalog,2.8,0.0,50.0,8.1282e-12,1.8272e-09,3.2873e-10,Transition,Massive,1.002,54.59,28,55.0,9.90,152.9220,11.7220,35.06,1
NGC3992,Sbc,MOND,42.823,42.018,-1.92,269.00,4.960,catalog,4.3,0.0,66.7,1.7510e-11,1.6774e-10,7.2811e-11,Transition,Massive,0.917,46.02,9,56.0,23.70,226.9320,16.5990,32.75,1
NGC4138,S0,MOND,41.698,40.856,-2.06,185.00,1.510,catalog,1.4,36.8,57.1,1.9248e-11,6.5900e-10,1.6488e-10,Transition,Massive,0.792,18.58,7,53.0,18.00,44.1110,1.4830,18.58,2
UGC09133,Sab,MOND,62.041,60.619,-2.35,285.95,6.970,catalog,4.8,127.7,42.6,4.1919e-12,4.5202e-09,5.7967e-10,Transition,Massive,0.824,108.31,68,53.0,57.10,282.9260,33.4280,60.35,1
PGC51017,BCD,MOND,26.536,25.884,-2.52,19.90,0.530,catalog,33.2,0.0,100.0,3.6769e-12,1.6715e-11,9.4992e-12,Deep MOND,Dwarf,0.882,3.63,6,66.0,13.60,0.1550,0.2010,4.29,3
NGC5907,Sc,MOND,54.998,53.609,-2.59,232.00,5.340,catalog,7.2,0.0,73.7,1.2807e-11,2.0607e-10,6.8997e-11,Deep MOND,Massive,0.949,50.33,19,88.0,17.30,175.4250,21.0250,0.00,1
NGC0289,Sbc,MOND,53.925,51.881,-3.94,183.44,6.740,catalog,8.4,0.0,75.0,3.2967e-12,6.9289e-10,1.1516e-10,Deep MOND,Massive,0.935,71.12,28,46.0,20.80,72.0650,27.4690,49.51,2
UGC00634,Sm,MOND,10.231,9.794,-4.46,104.40,2.450,catalog,44.8,0.0,100.0,3.8059e-12,1.6358e-11,9.0984e-12,Deep MOND,Normal,1.125,18.01,4,37.0,30.90,2.9890,3.6630,16.78,2
NGC4183,Scd,MOND,26.012,24.623,-5.64,112.43,2.790,catalog,21.3,0.0,100.0,5.7604e-12,5.7350e-11,2.3021e-11,Deep MOND,Normal,1.472,21.02,23,82.0,18.00,10.8380,3.5060,16.07,1
NGC6503,Scd,MOND,25.771,24.359,-5.80,118.10,2.160,catalog,3.9,0.0,83.9,4.1763e-12,3.2466e-10,5.4071e-11,Deep MOND,Normal,1.047,23.50,31,74.0,6.26,12.8450,1.7440,14.05,1
UGC00191,Sm,MOND,10.898,10.033,-8.62,80.50,1.580,catalog,39.7,0.0,100.0,7.0043e-12,3.0260e-11,2.1804e-11,Deep MOND,Normal,2.126,9.98,9,45.0,17.10,2.0040,1.3430,10.03,1
NGC6015,Scd,MOND,25.604,23.484,-9.03,160.57,2.300,catalog,9.4,0.0,56.8,7.0363e-12,2.0865e-10,8.1135e-11,Transition,Massive,1.430,29.23,44,60.0,17.00,32.1290,5.8340,21.43,2
DDO161,Im,MOND,24.358,22.281,-9.32,66.00,1.220,catalog,62.2,0.0,100.0,2.3221e-12,1.5596e-11,7.9761e-12,Deep MOND,Dwarf,2.893,13.37,31,70.0,7.50,0.5480,1.3780,10.69,1
NGC2366,Im,MOND,16.384,14.985,-9.33,51.78,0.650,catalog,56.7,0.0,100.0,4.1561e-12,1.6246e-11,9.5204e-12,Deep MOND,Dwarf,2.851,6.06,26,68.0,3.27,0.2360,0.6470,6.94,3
NGC2683,Sb,MOND,56.338,50.921,-10.64,206.00,2.180,catalog,1.3,17.9,63.6,9.7538e-12,5.5688e-10,1.2102e-10,Transition,Massive,0.764,34.62,11,80.0,9.81,80.4150,1.4060,13.79,2
F583-1,Sm,MOND,9.757,8.554,-14.07,79.11,2.360,catalog,69.5,0.0,100.0,3.1599e-12,7.7834e-12,5.1715e-12,Deep MOND,Dwarf,4.304,16.26,25,63.0,35.40,0.9860,2.1260,15.65,1
NGC6789,BCD,MOND,13.870,11.642,-19.14,45.67,0.310,catalog,23.6,0.0,100.0,2.1356e-11,3.8616e-11,3.0388e-11,Deep MOND,Dwarf,1.465,0.71,4,43.0,3.52,0.1000,0.0170,0.97,2
UGC01230,Sm,MOND,27.204,22.599,-20.38,109.33,4.340,catalog,43.6,0.0,100.0,2.2546e-12,2.3850e-11,1.2097e-11,Deep MOND,Normal,1.866,36.54,11,22.0,53.70,7.6200,6.4300,26.29,1
UGC11820,Sm,MOND,14.365,11.725,-22.51,80.88,2.080,catalog,64.2,0.0,100.0,3.1559e-12,1.9512e-11,1.0401e-11,Deep MOND,Normal,3.809,15.82,10,45.0,18.10,0.9700,1.9770,12.99,1
F579-V1,Sc,MOND,20.581,16.605,-23.94,113.75,3.370,catalog,16.7,0.0,100.0,1.0971e-11,3.6202e-11,2.4623e-11,Deep MOND,Normal,1.582,15.16,14,26.0,89.50,11.8480,2.2450,20.96,1
UGC07399,Sdm,MOND,23.134,18.632,-24.16,103.00,1.640,catalog,30.0,0.0,100.0,8.5473e-12,5.4495e-11,2.2015e-11,Deep MOND,Normal,1.512,6.13,10,55.0,8.43,1.1560,0.7450,7.85,1
NGC1003,Scd,MOND,27.540,21.584,-27.59,111.08,1.610,catalog,18.1,0.0,100.0,2.1949e-12,8.4275e-11,1.6372e-11,Deep MOND,Normal,1.371,30.24,36,67.0,11.40,6.8200,5.8800,33.33,1
UGC00731,Im,MOND,13.685,10.432,-31.18,73.78,2.300,catalog,85.4,0.0,100.0,2.2004e-12,5.3329e-12,3.8223e-12,Deep MOND,Dwarf,1.737,10.91,12,57.0,12.50,0.3230,1.8070,11.57,1
NGC3741,Im,MOND,5.276,3.999,-31.94,48.83,0.200,catalog,49.9,0.0,100.0,9.0313e-13,1.9804e-11,4.1573e-12,Deep MOND,Dwarf,2.224,7.00,21,70.0,3.21,0.0280,0.1820,4.20,1
NGC6674,Sb,MOND,41.869,31.665,-32.23,274.20,6.040,catalog,4.5,34.8,73.3,6.7941e-12,5.7705e-10,8.9346e-11,Deep MOND,Massive,0.930,72.41,15,54.0,51.20,214.6540,32.1650,50.02,1
UGC12732,Sm,MOND,12.706,9.505,-33.68,91.56,1.980,catalog,60.3,0.0,100.0,4.7719e-12,1.4631e-11,7.7280e-12,Deep MOND,Normal,1.748,15.40,16,39.0,13.20,1.6670,3.6600,17.41,1
UGC00128,Sdm,MOND,23.562,17.602,-33.86,131.57,5.950,catalog,37.9,0.0,100.0,1.3480e-12,2.2483e-11,6.5883e-12,Deep MOND,Normal,1.497,53.75,22,57.0,64.50,12.0200,7.4310,31.27,1
DDO154,Im,MOND,9.138,6.741,-35.55,47.33,0.370,catalog,60.2,0.0,100.0,1.5534e-12,1.0946e-11,4.4969e-12,Deep MOND,Dwarf,2.097,5.92,12,64.0,4.04,0.0530,0.2750,4.96,2
