name,Rd,Vf,Mbar,Sigma0,HSB_LSB,residual_rms,chi2,chi2_red,ape,n_points,A_used,l0_used,A0,alpha,l0_base,beta,p,n_coh
D512-2,1.24,0.0,0.2435,46.97,LSB,11.994690234182425,41.340307751712025,41.340307751712025,35.59308840286268,4,0.08122523963562356,2.632664368556061,0.1,0.3,4.0,0.3,2.0,1.5
D564-8,0.61,24.0,0.0455,10.565,LSB,9.855624759404517,164.54482514000415,82.27241257000207,41.61689776000051,6,0.06517234870080822,2.1279819532870072,0.1,0.3,4.0,0.3,2.0,1.5
D631-7,0.7,57.7,0.388,57.52,LSB,23.88089605726035,1310.8147986230497,109.2345665519208,41.14666976689423,16,0.08479158312293117,2.2176775601302245,0.1,0.3,4.0,0.3,2.0,1.5
DDO064,0.69,46.1,0.2895,75.825,LSB,14.14667965360748,110.76932505217813,11.076932505217814,40.47522563180553,14,0.07927025908200315,2.208125317619236,0.1,0.3,4.0,0.3,2.0,1.5
DDO154,0.37,47.0,0.3015,35.63,LSB,22.129255948057942,5555.494506674961,694.4368133343701,48.09394667834006,12,0.0797313940266775,2.0047489345090894,0.1,0.3,4.0,0.3,2.0,1.5
DDO161,1.22,66.3,1.652,84.685,LSB,20.15086753663152,7970.636856591222,295.20877246634154,26.518618350748486,31,0.08840036506672984,2.6198530934881012,0.1,0.3,4.0,0.3,2.0,1.5
DDO168,1.02,53.4,0.5085,46.11,LSB,18.08879990471969,1161.8450526436773,193.64084210727955,31.800453045290844,10,0.0828442512469804,2.4828417610997313,0.1,0.3,4.0,0.3,2.0,1.5
DDO170,1.95,60.0,1.0065,36.965,LSB,23.437694634332253,3586.8292665859485,896.7073166464871,41.53026356410759,8,0.08579172004440949,3.0156391542224155,0.1,0.3,4.0,0.3,2.0,1.5
ESO079-G014,5.08,175.0,29.0065,1147.625,HSB,23.965526910633287,1109.4779684517375,100.86163349561251,15.842112928352634,15,0.11828002689503483,4.019093444442755,0.1,0.3,4.0,0.3,2.0,1.5
ESO116-G012,1.51,109.1,3.229,660.39,HSB,31.91303531561214,2424.789303717908,220.43539124708252,27.018447915038845,15,0.10264727514864205,2.7929430113007654,0.1,0.3,4.0,0.3,2.0,1.5
ESO444-G084,0.46,62.7,0.1705,33.405,LSB,31.1638262550015,1743.4519392906136,581.1506464302046,57.09120885575193,7,0.08693211828322571,2.0047489345090894,0.1,0.3,4.0,0.3,2.0,1.5
ESO563-G021,5.45,314.6,179.8865,3279.445,HSB,52.07594943391417,1223.9246862844627,47.07402639555626,27.582508320121207,30,0.14103523141797825,4.104761617617326,0.1,0.3,4.0,0.3,2.0,1.5
F561-1,2.79,50.0,3.6605,46.535,LSB,5.362158716008467,5.822823660956055,2.9114118304780274,10.952023627997159,6,0.08122523963562356,3.3577646375809267,0.1,0.3,4.0,0.3,2.0,1.5
F563-1,3.52,109.9,4.1515,20.885,LSB,55.674054065785676,429.34168433086626,33.02628341006663,56.46827687976683,17,0.10287250321467911,3.6002427879047243,0.1,0.3,4.0,0.3,2.0,1.5
F563-V1,3.79,28.6,1.38,20.315,LSB,2.2493889922932806,1.214340201276043,0.6071701006380215,6.473066016504269,6,0.06869257711261514,3.6809570750825644,0.1,0.3,4.0,0.3,2.0,1.5
F563-V2,2.43,116.6,3.662,73.08,LSB,49.304062107358355,153.72451187540094,25.62075197923349,51.89339304493733,10,0.10471516108070644,3.221446120859321,0.1,0.3,4.0,0.3,2.0,1.5
F565-V2,2.17,78.5,0.9785,20.13,LSB,36.78326455023109,245.66912549254786,81.88970849751595,54.34957382272428,7,0.0929952779960494,3.1139161231841075,0.1,0.3,4.0,0.3,2.0,1.5
