name,Rd,Vf,Mbar,Sigma0,HSB_LSB,residual_rms,chi2_red,ape,A_used,l0_used,A_dwarf,M_crit,gamma,l0_base,beta
D512-2,1.24,0.0,0.2435,46.97,LSB,7.6578472802918744,20.978542754115242,23.912165927987964,1.7847922334817625,5.0,2.0,5.0,0.7,5.0,0.0
D564-8,0.61,24.0,0.0455,10.565,LSB,8.066205619488866,55.82524227203977,34.88881496517056,1.9281431382905163,5.0,2.0,5.0,0.7,5.0,0.0
D631-7,0.7,57.7,0.388,57.52,LSB,16.491420397181482,47.097559737880125,29.037442748773312,1.713690592902522,5.0,2.0,5.0,0.7,5.0,0.0
DDO064,0.69,46.1,0.2895,75.825,LSB,11.442809068490735,7.65196426829888,35.217078566104924,1.760400222998428,5.0,2.0,5.0,0.7,5.0,0.0
DDO154,0.37,47.0,0.3015,35.63,LSB,16.777449011127246,401.67087565033205,37.41236324888769,1.7543392871712518,5.0,2.0,5.0,0.7,5.0,0.0
DDO161,1.22,66.3,1.652,84.685,LSB,8.82290870730593,61.24828629067533,11.659369340580295,1.3692962175504704,5.0,2.0,5.0,0.7,5.0,0.0
DDO168,1.02,53.4,0.5085,46.11,LSB,12.577112640988053,103.15455368647969,22.361090654040563,1.6640394490139054,5.0,2.0,5.0,0.7,5.0,0.0
DDO170,1.95,60.0,1.0065,36.965,LSB,11.028228572083842,198.63929422212536,20.20891552515761,1.5087454244282,5.0,2.0,5.0,0.7,5.0,0.0
ESO079-G014,5.08,175.0,29.0065,1147.625,HSB,12.865795665627584,22.09779158077495,10.320302570715763,0.45213276469598773,5.0,2.0,5.0,0.7,5.0,0.0
ESO116-G012,1.51,109.1,3.229,660.39,HSB,16.089236509985927,55.67890718134581,13.888218165389619,1.1518591231352941,5.0,2.0,5.0,0.7,5.0,0.0
ESO444-G084,0.46,62.7,0.1705,33.405,LSB,27.419947826410187,448.1288870894266,51.80606481504076,1.8282258129659057,5.0,2.0,5.0,0.7,5.0,0.0
ESO563-G021,5.45,314.6,179.8865,3279.445,HSB,51.43248925835314,45.98692544115275,27.306158792747343,0.15059547369581622,5.0,2.0,5.0,0.7,5.0,0.0
F561-1,2.79,50.0,3.6605,46.535,LSB,18.85807679600793,41.75811832411905,36.39584366600827,1.1087120301344564,5.0,2.0,5.0,0.7,5.0,0.0
F563-1,3.52,109.9,4.1515,20.885,LSB,44.43683984132684,21.201338366047537,45.88641182967242,1.0649971070465736,5.0,2.0,5.0,0.7,5.0,0.0
F563-V1,3.79,28.6,1.38,20.315,LSB,11.162399817009694,14.951900360973369,32.87121826649877,1.422370756347377,5.0,2.0,5.0,0.7,5.0,0.0
F563-V2,2.43,116.6,3.662,73.08,LSB,37.71663697031444,16.1818867351362,42.87990137171454,1.108570328944769,5.0,2.0,5.0,0.7,5.0,0.0
F565-V2,2.17,78.5,0.9785,20.13,LSB,26.44847256620649,40.79283809131885,41.03971497727904,1.5160275235695844,5.0,2.0,5.0,0.7,5.0,0.0
F567-2,3.08,48.1,3.516,23.325,LSB,3.923345949635181,1.6079729994441387,7.998590641838802,1.1226197185688276,5.0,2.0,5.0,0.7,5.0,0.0
F568-1,5.18,133.0,7.624,28.565,LSB,46.26952320265031,25.60736531337421,40.94699070782757,0.8534115816351896,5.0,2.0,5.0,0.7,5.0,0.0
F568-3,4.99,107.0,7.368,66.04,LSB,20.211444574099364,7.358947675869335,21.370341833945318,0.8651288859846784,5.0,2.0,5.0,0.7,5.0,0.0
