name,Rd,Vf,Mbar,Sigma0,HSB_LSB,residual_rms,chi2_red,ape,A_mean,A_at_Rd,A0,Sigma_crit,delta,l0
D512-2,1.24,0.0,0.2435,46.97,LSB,8.719667797924263,25.76735655031409,26.922386782019693,1.3104409202666358,1.2681320340482443,1.5,50,1.0,5.0
D564-8,0.61,24.0,0.0455,10.565,LSB,8.521544647902365,62.139824751115896,36.669526550722374,1.4256141829713165,1.393828115304381,1.5,50,1.0,5.0
D631-7,0.7,57.7,0.388,57.52,LSB,17.767052094000007,57.052675933381316,31.071423641456363,1.2941101411609037,1.1126212968635756,1.5,50,1.0,5.0
DDO064,0.69,46.1,0.2895,75.825,LSB,12.35412925712226,8.775413757821749,37.02983175183696,1.2472306428906261,1.235090914140205,1.5,50,1.0,5.0
DDO154,0.37,47.0,0.3015,35.63,LSB,17.79041465563379,451.4892706023617,39.57273806373123,1.364475021265962,1.1999923353045798,1.5,50,1.0,5.0
DDO161,1.22,66.3,1.652,84.685,LSB,8.704146174462231,59.88033089041406,11.252701632658301,1.2770441522383555,1.1426788424183782,1.5,50,1.0,5.0
DDO168,1.02,53.4,0.5085,46.11,LSB,13.939692426221537,125.17131236224931,24.906956569309262,1.1922054602567491,1.041888957613701,1.5,50,1.0,5.0
DDO170,1.95,60.0,1.0065,36.965,LSB,11.991013606333885,234.4366787058346,22.067177827059293,1.3590274036943344,1.292244488962675,1.5,50,1.0,5.0
ESO079-G014,5.08,175.0,29.0065,1147.625,HSB,7.675122351724623,3.290881741484381,7.116473261265434,0.6735151818759921,0.7055238187049526,1.5,50,1.0,5.0
ESO116-G012,1.51,109.1,3.229,660.39,HSB,17.60032187394149,64.96479672871742,16.065563058047218,0.8851819540469672,0.6211501492104865,1.5,50,1.0,5.0
ESO444-G084,0.46,62.7,0.1705,33.405,LSB,28.43852379243329,484.6010364040298,53.378113710928666,1.2572799438571125,1.1937527304660303,1.5,50,1.0,5.0
ESO563-G021,5.45,314.6,179.8865,3279.445,HSB,26.99056309596613,18.192373481032384,20.391128719417885,0.4388183633767017,0.2470512402401225,1.5,50,1.0,5.0
F561-1,2.79,50.0,3.6605,46.535,LSB,19.753560394239145,45.91971688796093,37.843844360412476,1.1535302045899887,1.1117748053990746,1.5,50,1.0,5.0
F563-1,3.52,109.9,4.1515,20.885,LSB,41.54172896204321,18.553982030681123,43.21810833189744,1.3183734614672102,1.249270869166123,1.5,50,1.0,5.0
F563-V1,3.79,28.6,1.38,20.315,LSB,10.778538204890893,13.94122630011511,31.52219479772202,1.3561384605562286,1.3169254908823744,1.5,50,1.0,5.0
F563-V2,2.43,116.6,3.662,73.08,LSB,37.09737943019318,15.941549423097833,42.37884446943231,1.1594160133267364,1.0209388775530004,1.5,50,1.0,5.0
F565-V2,2.17,78.5,0.9785,20.13,LSB,27.42082877083556,44.017062589249,42.35111701341408,1.3591494570027207,1.33773952896982,1.5,50,1.0,5.0
F567-2,3.08,48.1,3.516,23.325,LSB,4.981752544723037,1.8186120635904546,9.040847442077226,1.275647761999466,1.2191272392128971,1.5,50,1.0,5.0
F568-1,5.18,133.0,7.624,28.565,LSB,42.35581393690199,21.35302885018042,38.00051316815292,1.1353714561467771,1.1662176207948118,1.5,50,1.0,5.0
F568-3,4.99,107.0,7.368,66.04,LSB,15.9964215785791,4.954273741020332,17.44741481573275,1.1649063964258062,1.1260388891057693,1.5,50,1.0,5.0
F568-V1,2.85,112.3,4.4035,45.27,LSB,39.01589121253376,24.67044968122373,38.92958064247487,1.1708417940124165,1.0937884429353546,1.5,50,1.0,5.0
F571-8,3.56,139.7,6.864,43.63,LSB,36.489846682511015,98.88184868405672,54.17072381639896,0.6581924245988587,0.4299514977332262,1.5,50,1.0,5.0
F571-V1,2.47,83.6,2.1415,32.195,LSB,16.913315098289157,17.286673212531785,21.334540836451296,1.2806195547297154,1.2109127454294584,1.5,50,1.0,5.0
F574-1,4.46,97.8,6.7925,64.24,LSB,18.538445253257013,22.6791843365413,21.270493099633896,1.151663632787395,1.1107499858589374,1.5,50,1.0,5.0
F574-2,3.76,36.0,3.1395,20.69,LSB,21.734087944377453,34.65762343960653,77.91663652591728,1.2988700720235333,1.318814440736705,1.5,50,1.0,5.0
F579-V1,3.37,112.1,8.169,100.88,HSB,23.156896366475625,7.6592007425863216,22.107043064034844,0.9698312471107826,0.9166281828838388,1.5,50,1.0,5.0
F583-1,2.36,85.8,2.619,30.465,LSB,23.068155943065342,23.221757015550786,38.21669664509512,1.3379356552986812,1.3336306626985137,1.5,50,1.0,5.0
F583-4,1.93,67.2,1.4985,41.67,LSB,7.868840875677343,4.208502515584456,17.97145248611437,1.2042784891362428,1.06661505369059,1.5,50,1.0,5.0
