step_arcsec,points,normalized_curl_RMS,convergence_RMS,jacobian_determinant_RMS,all_finite
0.5,92,0.00025983630576738797,0.4188307139485171,0.38996207245663295,True
0.2,92,4.1681111532622455e-05,0.4187894028477966,0.3899763338626322,True
0.1,92,1.0424126610154314e-05,0.41878344764607445,0.38997837801927093,True
0.05,92,2.606272358662589e-06,0.41878195674370466,0.3899788893253385,True
0.02,92,4.1701436550792405e-07,0.41878153914028154,0.3899790325101869,True
0.01,92,1.0425397829125642e-07,0.41878147947726213,0.3899790529658432,True
