cells,spacing_arcsec,strong_lens_samples,normalized_curl_RMS,mean_convergence,convergence_RMS,jacobian_determinant_RMS,critical_sign_change_cells,all_finite
33,3.75,92,0.012543513280172393,0.3924522896348045,0.4204124327150679,0.3891759988754752,14,True
65,1.875,352,0.003785207206744676,0.39467899822997515,0.4216910461564184,0.38346523331725496,38,True
129,0.9375,1412,0.0009973991236561072,0.40065673950655434,0.43035758944731795,0.3804223912804803,78,True
257,0.46875,5728,0.00025259903812377,0.40124495208063926,0.43217725907417026,0.38151899414701024,158,True
