galaxy,split,tier,component,realization,status,profile,baseScaleHeightKpc,flaringPerR80,r80Kpc,projection_relative_error
NGC2403,development,haar_256,gas,0,assumed_prior_not_measured,sech_squared,1.2502884581166407,0.7554653099617289,13.36832779816311,2.8431123015138e-16
NGC2403,development,haar_256,gas,1,assumed_prior_not_measured,exponential,0.8996065821578038,0.4552716334935213,13.36832779816311,2.8431123015138e-16
NGC2403,development,haar_256,gas,2,assumed_prior_not_measured,exponential,1.6247806808272414,0.4254695774490783,13.36832779816311,2.8431123015138e-16
NGC2403,development,haar_256,stars,0,assumed_prior_not_measured,sech_squared,0.9011303883364383,0.7483219787587156,11.512566497034133,1.5272875789722025e-16
NGC2403,development,haar_256,stars,1,assumed_prior_not_measured,exponential,0.7318953465332423,0.7823381983406091,11.512566497034133,3.054575157944405e-16
NGC2403,development,haar_256,stars,2,assumed_prior_not_measured,sech_squared,0.46684826986986416,0.6548208431093918,11.512566497034133,1.5272875789722025e-16
NGC3198,development,haar_256,gas,0,assumed_prior_not_measured,sech_squared,2.2555345946203356,0.07564684895888085,30.17384615384615,4.0560959413826957e-16
NGC3198,development,haar_256,gas,1,assumed_prior_not_measured,sech_squared,4.081284243476902,0.5789585391598957,30.17384615384615,4.0560959413826957e-16
NGC3198,development,haar_256,gas,2,assumed_prior_not_measured,exponential,5.115565547795378,0.6062092300253521,30.17384615384615,4.0560959413826957e-16
NGC3198,development,haar_256,stars,0,assumed_prior_not_measured,sech_squared,1.5984554185417077,0.31565343792458767,21.07711479755588,3.2892259660360764e-16
NGC3198,development,haar_256,stars,1,assumed_prior_not_measured,sech_squared,2.0900494120557007,0.31711092588430656,21.07711479755588,1.6446129830180382e-16
NGC3198,development,haar_256,stars,2,assumed_prior_not_measured,sech_squared,2.1295475168270404,0.9131676596800141,21.07711479755588,3.2892259660360764e-16
NGC5055,development,haar_256,gas,0,assumed_prior_not_measured,exponential,4.5698541746819386,0.22754701212913886,32.2567413892975,2.920859552269427e-16
NGC5055,development,haar_256,gas,1,assumed_prior_not_measured,sech_squared,5.198130264587942,0.8842777366043743,32.2567413892975,4.38128932840414e-16
NGC5055,development,haar_256,gas,2,assumed_prior_not_measured,sech_squared,4.091511396127245,0.7513405755171677,32.2567413892975,2.920859552269427e-16
NGC5055,development,haar_256,stars,0,assumed_prior_not_measured,sech_squared,1.8013768165034563,0.13331018255086036,16.772656679229073,6.137617343460511e-17
NGC5055,development,haar_256,stars,1,assumed_prior_not_measured,sech_squared,1.553598726404042,0.9193070378163416,16.772656679229073,6.137617343460511e-17
NGC5055,development,haar_256,stars,2,assumed_prior_not_measured,sech_squared,0.8312571594544113,0.5795516200092217,16.772656679229073,6.137617343460511e-17
NGC7793,development,haar_256,gas,0,assumed_prior_not_measured,exponential,0.5723222569351957,0.5722093679463411,6.353796485475021,2.9330768944849654e-16
NGC7793,development,haar_256,gas,1,assumed_prior_not_measured,exponential,0.9339194549905881,0.18332995508080085,6.353796485475021,2.9330768944849654e-16
NGC7793,development,haar_256,gas,2,assumed_prior_not_measured,exponential,0.5879657129608243,0.8236037855030437,6.353796485475021,2.9330768944849654e-16
NGC7793,development,haar_256,stars,0,assumed_prior_not_measured,exponential,0.5263948220933521,0.7944100128964267,8.541450687825604,3.3990216674414837e-17
NGC7793,development,haar_256,stars,1,assumed_prior_not_measured,exponential,0.5066839916776613,0.7825640189870122,8.541450687825604,1.3596086669765935e-16
NGC7793,development,haar_256,stars,2,assumed_prior_not_measured,sech_squared,0.35077805935100226,0.6760226800075438,8.541450687825604,6.798043334882967e-17
NGC3521,validation,haar_256,gas,0,assumed_prior_not_measured,exponential,1.2998190942525594,0.2770361265241901,14.763094470487244,4.087638709933768e-16
NGC3521,validation,haar_256,gas,1,assumed_prior_not_measured,exponential,2.428095510664322,0.5504686405780282,14.763094470487244,4.087638709933768e-16
NGC3521,validation,haar_256,gas,2,assumed_prior_not_measured,sech_squared,1.2943741265624962,0.21788819273377658,14.763094470487244,4.087638709933768e-16
NGC3521,validation,haar_256,stars,0,assumed_prior_not_measured,sech_squared,0.5426968036350726,0.8082535549198477,9.733574931441288,3.7607785165155094e-16
NGC3521,validation,haar_256,stars,1,assumed_prior_not_measured,exponential,0.9989037708484343,0.5092089015700153,9.733574931441288,9.401946291288773e-17
NGC3521,validation,haar_256,stars,2,assumed_prior_not_measured,exponential,1.2769570942928716,0.05372636908327033,9.733574931441288,9.401946291288773e-17
NGC6946,validation,haar_256,gas,0,assumed_prior_not_measured,sech_squared,1.6998712108444982,0.49607930156471913,16.328618329867965,2.687935300234946e-16
NGC6946,validation,haar_256,gas,1,assumed_prior_not_measured,sech_squared,3.002193147515851,0.12816535443280452,16.328618329867965,2.687935300234946e-16
NGC6946,validation,haar_256,gas,2,assumed_prior_not_measured,sech_squared,1.5619194268663037,0.7270832608329191,16.328618329867965,3.5839137336465943e-16
NGC6946,validation,haar_256,stars,0,assumed_prior_not_measured,sech_squared,1.0181175649312226,0.6162456780723249,22.780674992743304,2.4817117715944957e-16
NGC6946,validation,haar_256,stars,1,assumed_prior_not_measured,sech_squared,1.0548883898125239,0.22931012058040745,22.780674992743304,1.2408558857972478e-16
