galaxy,split,tier,component,mass_relative_error,normalized_l2,pixel_correlation,radial_profile_log10_rmse,concentration_absolute_error,lopsidedness_absolute_error,clumpiness_absolute_error
NGC2403,development,haar_256,gas,0.0,0.301764355167833,0.9180142323498113,1.2970430249447926,0.027204806371843304,0.06847355115335002,0.05797824223556636
NGC2403,development,haar_256,stars,1.899560435028882e-16,0.10864613851497826,0.9950630138151517,0.17989527342057565,0.10375617245382163,0.11413806648938091,0.10657062234129047
NGC2403,development,haar_256,total,0.0,0.11202899588283163,0.9945831499105683,0.18324221111559352,0.00824637409605744,0.08428840175326469,0.06545198250108818
NGC3198,development,haar_256,gas,1.2903323488905984e-16,0.19153452465648266,0.9668715883953761,1.1064354084963701,0.005022195664409201,0.016004956778939178,0.0105379397029381
NGC3198,development,haar_256,stars,0.0,0.11629444346644316,0.9932316803637652,0.0862567677899055,0.009115679853707093,0.008990428595412298,0.04482205006693578
NGC3198,development,haar_256,total,1.1245715132789568e-16,0.11632330126227948,0.9928129317987455,0.08741994662267184,0.01549073312498317,0.019338734948657677,0.02229733806091526
NGC5055,development,haar_256,gas,3.589307874106444e-16,0.2998902240741471,0.9357044163753582,0.22181885113604238,0.0006320200434286605,0.07942347571331032,0.06064274232739342
NGC5055,development,haar_256,stars,0.0,0.07637016567244205,0.997058138122906,0.15854694092489405,0.10015063006591607,0.028298774721931624,0.018539079716902745
NGC5055,development,haar_256,total,3.302663825450538e-16,0.07760984747024752,0.9969465491748302,0.14631728714970182,0.036160438484465374,0.002460877228789432,0.018781455921624265
NGC7793,development,haar_256,gas,2.0360949913025424e-16,0.19236012657001866,0.9787712891820367,1.9780099978520067,0.014227705049703054,0.006980333737566374,0.013867158480240532
NGC7793,development,haar_256,stars,2.7054590536347523e-16,0.16591809592040396,0.9860224643486059,0.29773677563217893,0.18969279455682564,0.049563470407266136,0.0771994323070153
NGC7793,development,haar_256,total,4.061679896788943e-16,0.15699179966509003,0.987228899073794,0.30049648462969697,0.08475901200352887,0.03769876202281627,0.05840258598242412
NGC3521,validation,haar_256,gas,1.6880864588459208e-16,0.14192567074427037,0.982851762107949,1.455969806457063,0.006860759044427178,0.00918390806498226,0.0027627734796812214
NGC3521,validation,haar_256,stars,0.0,0.04839164560680709,0.998801465871676,0.15220172595442863,0.051634630869613396,0.045106540931204794,0.010040464590663253
NGC3521,validation,haar_256,total,0.0,0.048607885618119365,0.9987828855995132,0.1579716177355841,0.025691858253160227,0.03510481142208301,0.009856048104234114
NGC6946,validation,haar_256,gas,0.0,0.3971051139839395,0.8961804036347975,1.6700010839624007,0.008359358130690442,0.10963587419327947,0.10124786503160883
NGC6946,validation,haar_256,stars,0.0,0.14518527128004727,0.991800034388939,1.2625508429311953,0.250943483492291,0.13829481995287818,0.16805166065125632
NGC6946,validation,haar_256,total,1.8700550597827822e-16,0.14577351413166986,0.9916804473940978,1.2587822922886513,0.20294762082356455,0.143317351178403,0.14183782016487295
NGC6946,validation,haar_384,gas,2.473478359804569e-16,0.3722491732919398,0.9094035433550502,1.6428922309368144,0.011073345368182164,0.10165562247140902,0.09213681741710812
NGC6946,validation,haar_384,stars,0.0,0.11222550003459854,0.9950326991007267,1.352133361500485,0.1388623595836984,0.18251313062866287,0.15444575955525122
NGC6946,validation,haar_384,total,0.0,0.11307032645910632,0.9949194027726395,1.3478701801415816,0.13502992433952254,0.16308752594478032,0.1301340159499455
NGC6946,validation,haar_512,gas,0.0,0.35381603739368167,0.9185487808817562,1.642524648421696,0.013582664323641414,0.09266454238712868,0.08599059168243231
NGC6946,validation,haar_512,stars,2.3058935007480397e-16,0.09424958388765352,0.9963884694050915,1.3536566979578695,0.11350856217499627,0.18487131572588084,0.1471808605539215
NGC6946,validation,haar_512,total,0.0,0.09520931804204256,0.9962848693098604,1.3494991874201963,0.12319295598936142,0.16327266716723543,0.1235450507664824
NGC6946,validation,haar_768,gas,0.0,0.32559560299870455,0.9314860209434941,1.6046189931743158,0.011073345368182164,0.07799474093085818,0.07756577355281162
NGC6946,validation,haar_768,stars,1.1529467503740198e-16,0.07659055177727433,0.9976877070090585,1.354632861288843,0.035956268184978324,0.1382926293486264,0.13119653967743428
NGC6946,validation,haar_768,total,1.8700550597827822e-16,0.07752933363786985,0.9976064045174878,1.3505125863792378,0.056208184670287764,0.12703389563636036,0.11019560350369856
