galaxy,split,selected_tier,model,radial_speed_transport_rmse_km_s,los_speed_transport_rmse_km_s,los_speed_transport_normalized_rmse,radial_bins_scored,map_pixels_scored
NGC2403,development,haar_256,newtonian_thin_sheet,2.091397614955919,4.291957008592539,0.11802609805930948,24,34727
NGC2403,development,haar_256,fixed_simple_mond,2.087770537823247,6.170888401298313,0.09644671236313278,24,34727
NGC3198,development,haar_256,newtonian_thin_sheet,0.6465237316439841,3.2389597131047276,0.06646954473584235,24,13141
NGC3198,development,haar_256,fixed_simple_mond,0.7492129400002273,4.472541674183036,0.046763088381462925,24,13141
NGC5055,development,haar_256,newtonian_thin_sheet,1.7611292476013598,5.810514611021532,0.061609433450431746,24,23153
NGC5055,development,haar_256,fixed_simple_mond,1.6461931963720826,6.697943578389924,0.05041357950904989,24,23153
NGC7793,development,haar_256,newtonian_thin_sheet,0.7777261256937386,1.5408424620860255,0.05784522600257827,24,5168
NGC7793,development,haar_256,fixed_simple_mond,0.7912658475245298,1.6967424082644786,0.04042849160687414,24,5168
NGC3521,validation,haar_256,newtonian_thin_sheet,0.7980253188770592,3.222457671772888,0.03533129454824964,24,7962
NGC3521,validation,haar_256,fixed_simple_mond,0.8613633452103803,3.776300912570689,0.029787481813261834,24,7962
NGC6946,validation,haar_768,newtonian_thin_sheet,1.9549933970006144,5.682139214893487,0.13493215938912873,24,23406
NGC6946,validation,haar_768,fixed_simple_mond,1.7288725267156162,7.980187086304984,0.12898611551200412,24,23406
