galaxy,radius_kpc,gbar_m_s2,gobs_m_s2,predicted_acceleration_m_s2,log_residual_dex
CamB,1.238125,3.3342945111448085e-12,2.964443093915351e-11,2.171632546870033e-11,0.1351567760246737
CamB,1.5076488095238096,2.232930496934445e-12,3.4848249952651896e-11,1.7511069310637445e-11,0.2988683060925797
D512-2,1.6042105263157893,4.298569649519006e-12,2.5300802592498978e-11,2.492889695427613e-11,0.006431235683496973
D564-8,1.00839590443686,1.855731859487035e-12,1.2745807419339206e-11,1.5869820343048843e-11,-0.09520465798641686
D564-8,1.5125938566552901,1.5514826280342813e-12,1.461007950141878e-11,1.4435142033951495e-11,0.00523151771469415
D564-8,2.01679180887372,1.2341109940625968e-12,1.3405150424080689e-11,1.2796842968438037e-11,0.020168851020281674
D564-8,2.5308759954493745,9.671961473393975e-13,1.2829098735749957e-11,1.1264111998553271e-11,0.05649918759021464
D564-8,3.0350739476678044,7.702984013626352e-13,1.1607943119571083e-11,1.0004645928730126e-11,0.06455354807041333
D631-7,1.3167746113989638,8.76415994142242e-12,2.3703595917339096e-11,3.700912779305463e-11,-0.1934946150667362
D631-7,1.7556994818652851,7.953840649130841e-12,2.510994499020105e-11,3.504172732616428e-11,-0.1447397445987143
D631-7,2.1946243523316062,6.846992884536259e-12,2.5332481782345125e-11,3.222390995631117e-11,-0.10450049631640893
D631-7,2.623795336787565,5.965438815855545e-12,2.6491861673208133e-11,2.9848889422250924e-11,-0.05181569839520596
D631-7,3.062720207253886,5.0573374329378764e-12,2.7230117763580523e-11,2.7250071442654885e-11,-0.0003181256610671696
D631-7,3.501645077720207,4.3153872177659395e-12,2.7418048750233065e-11,2.4982088753050212e-11,0.04040779735585484
D631-7,3.940569948186529,3.7107867824039704e-12,2.790355815838429e-11,2.3011744108731132e-11,0.08371005041560102
D631-7,4.37949481865285,3.1613983856365177e-12,2.8288797445169174e-11,2.1100807855084928e-11,0.1273154032213191
D631-7,4.818419689119171,2.7236491878728415e-12,2.8776334661760084e-11,1.9474664817113145e-11,0.16956548391103124
D631-7,5.257344559585492,2.3386156001562166e-12,2.8134901868703735e-11,1.7948635446513203e-11,0.19521396799727808
D631-7,5.696269430051814,2.0202873809126436e-12,2.764484470596176e-11,1.6602290175748635e-11,0.22144615443215465
D631-7,6.135194300518135,1.7517080824393958e-12,2.5755049816782896e-11,1.53919337445644e-11,0.22356920899983465
D631-7,6.574119170984456,1.526155476229744e-12,2.3382612757385726e-11,1.4310290450211065e-11,0.2132445887601744
D631-7,7.013044041450778,1.3333358387593426e-12,2.161631503387438e-11,1.3327500448469385e-11,0.21003295527465043
DDO064,1.7168823529411763,8.844141291472338e-12,4.0794366224716934e-11,3.719946190132708e-11,0.04006353262365128
DDO064,1.899529411764706,8.73823784348613e-12,3.7031276580576456e-11,3.6947298357892846e-11,0.0009859961321945076
DDO064,2.0730441176470586,8.222429433193802e-12,3.378564251210037e-11,3.5702017800839186e-11,-0.023960579737651335
DDO154,0.9483415841584159,3.1384844185244977e-12,1.6772596214400904e-11,2.1018172340898204e-11,-0.0979946569190194
DDO154,1.4177227722772276,3.2850197587478182e-12,2.0084542996971917e-11,2.1542312887094404e-11,-0.03043037516737032
DDO154,1.8871039603960396,3.334959362516376e-12,2.125445620682593e-11,2.1718665904665333e-11,-0.009383146608400788
DDO154,2.366064356435644,3.120635020335855e-12,2.10260530922713e-11,2.095362349560445e-11,0.0014986206625925394
DDO154,2.8354455445544553,3.0478879309593778e-12,2.1209716027501136e-11,2.068890689214517e-11,0.010797308752156603
DDO154,3.3144059405940594,3.026015009574552e-12,2.046075253471189e-11,2.060878950224922e-11,-0.0031308806173152752
DDO154,3.7837871287128713,2.7258559786013198e-12,1.9314918081308585e-11,1.948313223378768e-11,-0.0037659075837153627
DDO154,4.253168316831683,2.3039296958160176e-12,1.800950173165097e-11,1.780599348413397e-11,0.004935487257353083
DDO154,4.732128712871288,1.939511930111911e-12,1.6737674264030723e-11,1.6246163784562022e-11,0.012944284463940359
DDO154,5.201509900990098,1.6304753019998065e-12,1.47260014159356e-11,1.4818817965167702e-11,-0.002728725280174092
DDO154,5.670891089108911,1.3798233353902807e-12,1.2445979196693376e-11,1.3569981937773974e-11,-0.037550198864619445
DDO161,0.9938133333333333,7.3120762019098e-12,2.86840855160934e-11,3.342806797050748e-11,-0.06647026796559337
DDO161,1.3035733333333333,7.925776124396657e-12,2.8340432284327952e-11,3.497224200225927e-11,-0.09131700460042502
DDO161,1.60688,8.027782208661306e-12,2.6317947956866193e-11,3.52243486834439e-11,-0.12659094774332058
DDO161,1.9101866666666665,7.637268899068096e-12,2.526096997875013e-11,3.4252316599007265e-11,-0.13223992689665215
DDO161,2.2134933333333335,7.1107035152555725e-12,2.5416982565762388e-11,3.291048578398069e-11,-0.11221030182871769
DDO161,2.5168,6.649825016533856e-12,2.4726189136582087e-11,3.1703764117497625e-11,-0.10795364115406832
DDO161,2.8201066666666668,6.171234991870835e-12,2.505574960460245e-11,3.041515645874129e-11,-0.08418265459646897
DDO161,3.13632,5.751483689121472e-12,2.6022408665434586e-11,2.925182754834328e-11,-0.0508055115081112
DDO161,3.44608,5.412273787630813e-12,2.6268740178576374e-11,2.8286607324801963e-11,-0.0321416166404307
DDO161,3.749386666666666,5.096945182473493e-12,2.557064310532017e-11,2.7367171594010877e-11,-0.029488264523110434
DDO161,4.052693333333333,4.8504480853646594e-12,2.5476031615665427e-11,2.663222442179496e-11,-0.01927566266194188
DDO161,4.356,4.644635344120658e-12,2.5996042477724353e-11,2.600680953069652e-11,-0.0001798390502980028
DDO161,4.659306666666667,4.5086978825296486e-12,2.6108234728708757e-11,2.5587479529391884e-11,0.008750000385170603
DDO161,4.9626133333333335,4.4360372698467445e-12,2.5173897144488742e-11,2.536120849214377e-11,-0.0032194909340472026
DDO161,5.26592,4.380061062296055e-12,2.4754424568281966e-11,2.5185850372063808e-11,-0.00750378356428578
DDO161,5.57568,4.25939600593377e-12,2.4218854178744983e-11,2.4804660902991673e-11,-0.010379701972196821
DDO161,5.878986666666666,4.162976753166961e-12,2.3042455946170418e-11,2.4496842665803202e-11,-0.026581347032987035
DDO161,6.182293333333333,3.979552911218367e-12,2.2967829952986525e-11,2.3902969019669377e-11,-0.01733188448304495
DDO161,6.485600000000001,3.782383780414275e-12,2.2646842560662628e-11,2.3251724063242547e-11,-0.01144749946725608
DDO161,6.788906666666666,3.4839665879353343e-12,2.2906453245355214e-11,2.2238335678626963e-11,0.012855568322307689
DDO161,7.0922133333333335,3.1872372866801086e-12,2.1474411771747228e-11,2.119368695163557e-11,0.0057147612917002825
DDO161,7.39552,2.8919280715933127e-12,2.059369854899669e-11,2.011213885120107e-11,0.010276092583873193
DDO161,7.705279999999999,2.6226090730659784e-12,1.9647630202283494e-11,1.9083756842109643e-11,0.012646301158962973
DDO161,8.008586666666666,2.3807132557910443e-12,1.9017226863134736e-11,1.8120527668026108e-11,0.020976347234396793
DDO161,8.3248,2.1788563278155376e-12,1.8022016809572222e-11,1.7283697337287062e-11,0.018166737854003898
DDO161,8.628106666666666,1.977613117725515e-12,1.72837332762908e-11,1.6414942436414883e-11,0.02239819153687994
DDO168,0.7949176470588235,1.583291321779671e-11,2.993759698874232e-11,5.1983075165377376e-11,-0.23964502976189342
DDO168,1.2020705882352942,1.3293249751035353e-11,3.0827839769974583e-11,4.695447678533288e-11,-0.18273391251654447
DDO168,1.589835294117647,1.0387346687526148e-11,3.5823859118569203e-11,4.0753527296764605e-11,-0.0559928354063272
DDO168,1.9969882352941177,9.678684351057144e-12,4.21344382276041e-11,3.9148033858866894e-11,0.03192725264478011
DDO168,2.3944470588235296,8.469671892139344e-12,4.9269433484237544e-11,3.630253862009411e-11,0.13264057253166217
DDO168,2.8016,7.395325410492328e-12,4.3412278117377134e-11,3.364041138123092e-11,0.11075127857013854
DDO168,3.1990588235294117,6.413166410152753e-12,4.07986931743911e-11,3.107132602188514e-11,0.11828646448876785
DDO168,3.596517647058824,5.700292961573673e-12,3.655531618466327e-11,2.910766219022099e-11,0.09894321861827494
DDO168,3.9939764705882355,5.037185521301584e-12,2.942446305977311e-11,2.7190349204159642e-11,0.03429376129986402
DDO170,2.068363636363636,5.16262193156714e-12,2.919977889083763e-11,2.7560532575101883e-11,0.025091957307282812
DDO170,2.99174025974026,4.921549746887286e-12,3.095062794056463e-11,2.684575065882728e-11,0.06179391243343487
DDO170,3.9089610389610385,4.572654505673755e-12,2.6568252185909415e-11,2.5785406320141334e-11,0.012989005630956714
DDO170,4.832337662337662,4.137935321358459e-12,2.3873313565808677e-11,2.4416415989018276e-11,-0.009769213176336253
DDO170,5.749558441558441,3.4740022798201043e-12,2.0339687406370488e-11,2.2203881125257682e-11,-0.03808461943185738
DDO170,6.666779220779221,2.7534321417475873e-12,1.8140997822814978e-11,1.958869416033283e-11,-0.033344314414902154
DDO170,7.590155844155844,2.097430986748012e-12,1.7123984255252667e-11,1.6936611558057287e-11,0.004778292769046529
ESO079-G014,2.9618118466898955,3.519941342662835e-11,4.9868766497141044e-11,8.417242075349244e-11,-0.22734119134431535
ESO079-G014,3.6995121951219514,3.340620803050979e-11,5.831662071389355e-11,8.147980547661628e-11,-0.14525763362199615
ESO079-G014,4.833588850174216,2.8491562486555165e-11,6.95702137157105e-11,7.38702554566853e-11,-0.02604626340487681
ESO079-G014,6.220905923344948,2.491348476491638e-11,6.991253420876681e-11,6.807686154617958e-11,0.011555518982683319
ESO079-G014,6.980627177700349,2.4181664806941443e-11,8.067632721043574e-11,6.686076648750245e-11,0.08157476772677934
ESO079-G014,7.586202090592335,2.4430665707518858e-11,7.9966746461817e-11,6.72758301968069e-11,0.07505036086384925
ESO079-G014,9.182717770034843,2.6319600222282473e-11,8.34762450412802e-11,7.038246326855521e-11,0.07409844289492748
ESO079-G014,11.054494773519163,2.8636068406110648e-11,7.768354040636575e-11,7.409935774166538e-11,0.020514566469055383
ESO079-G014,12.827177700348432,2.738577156611039e-11,7.282146833857155e-11,7.210517970039285e-11,0.004292968066695228
ESO079-G014,14.709965156794425,2.462994697839384e-11,6.729102651272968e-11,6.760705207484192e-11,-0.0020348460154077934
ESO079-G014,16.581742160278747,2.111315297259196e-11,6.106735010453367e-11,6.162708737420635e-11,-0.003962567480185125
ESO079-G014,18.354425087108016,1.8188774711193784e-11,5.579456795785033e-11,5.6401884024038116e-11,-0.004701692214362716
ESO116-G012,1.1428461538461538,1.6576022248002632e-11,4.51485604695376e-11,5.3399805979951736e-11,-0.07289577139603134
ESO116-G012,1.900153846153846,2.1608153296000834e-11,4.501294098252936e-11,6.248719709568966e-11,-0.1424536554458296
ESO116-G012,2.5473076923076925,2.380321933530428e-11,5.836733141206741e-11,6.622732326359311e-11,-0.05486736477576653
ESO116-G012,3.6901538461538466,1.7387937350284486e-11,5.62103073489884e-11,5.492300755728873e-11,0.010061648981002154
ESO116-G012,4.392384615384615,1.7015407036133612e-11,5.094497308931621e-11,5.422720651060924e-11,-0.027115895363704585
ESO116-G012,5.0670769230769235,1.666855163205275e-11,5.3167542904667395e-11,5.3574665826028195e-11,-0.0033128805873795034
ESO116-G012,5.686692307692308,1.598540624629677e-11,5.900004043489823e-11,5.2275642337924526e-11,0.05255293135623726
ESO116-G012,7.201307692307693,1.3098743709075518e-11,4.937179609424249e-11,4.65559103918862e-11,0.025504103072848963
ESO116-G012,8.330384615384615,1.075607272724119e-11,4.5993836669320074e-11,4.157270400861906e-11,0.04389136545048389
ESO116-G012,9.376846153846154,9.06203770163379e-12,4.0114595423352596e-11,3.7714705220434883e-11,0.026791698870810517
ESO116-G012,10.40953846153846,8.352299431105586e-12,3.6807237017114614e-11,3.601830612821488e-11,0.009409932864762547
ESO116-G012,11.456,8.028938140420628e-12,3.4061522896301546e-11,3.522719844869415e-11,-0.014614044511596107
ESO116-G012,12.516230769230768,7.49634796909252e-12,3.1745640349456373e-11,3.3896842600347545e-11,-0.028475154960826338
ESO116-G012,13.576461538461537,6.2119627513120305e-12,2.979621832529159e-11,3.0526325098865036e-11,-0.010513377241808572
ESO444-G084,0.2734575569358178,6.241200199909939e-12,2.6862266726828024e-11,3.0605951554933424e-11,-0.056663229403742896
ESO444-G084,0.8098550724637681,9.48138474969771e-12,3.374990161865367e-11,3.869328356994107e-11,-0.05936307496914481
