galaxy,quality_selected,points,precision_points,published_reduced_chi_square,calculated_reduced_chi_square,absolute_chi_square_difference
CamB,True,9,2,5.758,5.770274962519481,0.012274962519480681
D512-2,True,4,1,0.37,0.3708325123437219,0.0008325123437218918
D564-8,True,6,5,3.16,3.1929916671243617,0.03299166712436152
D631-7,True,16,14,15.872,15.903253359631499,0.03125335963149922
DDO064,True,14,3,0.334,0.3341670179614142,0.00016701796141416203
DDO154,True,12,11,3.482,3.4564799622018665,0.02552003779813372
DDO161,True,31,26,1.468,1.470456949034752,0.0024569490347521317
DDO168,True,10,9,19.714,19.712168751077495,0.0018312489225031925
DDO170,True,8,7,4.917,4.902401263076216,0.014598736923783662
ESO079-G014,True,15,12,4.334,4.3468275946602635,0.012827594660263841
ESO116-G012,True,15,14,2.444,2.4647798508085077,0.02077985080850775
ESO444-G084,True,7,6,3.253,3.237773186793146,0.01522681320685404
ESO563-G021,True,30,28,28.836,28.842570725089832,0.0065707250898334735
F561-1,False,6,2,1.564,1.5651896505169323,0.0011896505169322058
F563-1,False,17,5,1.499,1.4999031625184855,0.0009031625184854342
F563-V1,False,6,0,0.875,0.8779489444884071,0.0029489444884071014
F563-V2,False,10,2,0.991,0.9894352490784722,0.0015647509215277466
F565-V2,True,7,3,0.474,0.47285950224672385,0.0011404977532761262
F567-2,False,5,0,2.204,2.2015971530889717,0.0024028469110284334
F568-1,False,12,5,1.287,1.2887107042534944,0.0017107042534945105
F568-3,True,18,6,3.064,3.06539789690033,0.0013978969003298758
F568-V1,True,15,4,1.042,1.045743597242456,0.003743597242455987
F571-8,True,13,11,41.61,41.887914116944984,0.27791411694498436
F571-V1,True,7,5,0.288,0.2883896228244311,0.00038962282443111285
F574-1,True,14,12,2.501,2.4990211430786533,0.0019788569213465834
F574-2,False,5,0,0.092,0.08983199604582759,0.0021680039541724094
F579-V1,False,14,7,2.559,2.561759268815787,0.0027592688157866974
F583-1,True,25,10,2.663,2.6672909072923923,0.004290907292392454
F583-4,True,12,8,0.134,0.1342069322784894,0.00020693227848939122
IC2574,True,34,22,1.44,1.5099747618638646,0.06997476186386464
IC4202,True,32,31,41.908,41.91134353122821,0.00334353122821085
KK98-251,True,15,8,1.227,1.2296228674345053,0.0026228674345052383
NGC0024,True,29,20,0.85,0.8521986799303035,0.0021986799303035376
