cohort,system_label,phase_degrees,variant_id,epsilon,heldout_images,heldout_converged_roots,heldout_all_roots,heldout_RMS_arcsec
P0581_four,MACS0329,,scalar_control,0.0,3,3,True,19.640918303224144
P0581_four,MACS0329,-90.0,phase_-90.0,0.00943621290272878,3,3,True,19.66378461456687
P0581_four,MACS0329,-67.5,phase_-67.5,0.00943621290272878,3,3,True,19.675939077616732
P0581_four,MACS0329,-45.0,phase_-45.0,0.00943621290272878,3,3,True,19.67791969159402
P0581_four,MACS0329,-22.5,phase_-22.5,0.00943621290272878,3,3,True,19.666675937574546
P0581_four,MACS0329,0.0,phase_+00.0,0.00943621290272878,3,3,True,19.64637432027277
P0581_four,MACS0329,22.5,phase_+22.5,0.00943621290272878,3,3,True,19.6317399538114
P0581_four,MACS0329,45.0,phase_+45.0,0.00943621290272878,3,3,True,19.626165360704494
P0581_four,MACS0329,67.5,phase_+67.5,0.00943621290272878,3,3,True,19.62091087418887
P0581_four,MACS0329,90.0,phase_+90.0,0.00943621290272878,3,3,True,19.618204037691374
P0581_four,MACS0429,,scalar_control,0.0,2,2,True,13.340671165155747
P0581_four,MACS0429,-90.0,phase_-90.0,0.006172191102682734,2,2,True,13.299910890434086
P0581_four,MACS0429,-67.5,phase_-67.5,0.006172191102682734,2,2,True,13.310098570738775
P0581_four,MACS0429,-45.0,phase_-45.0,0.006172191102682734,2,2,True,13.3250245118442
P0581_four,MACS0429,-22.5,phase_-22.5,0.006172191102682734,2,2,True,13.343410572545244
P0581_four,MACS0429,0.0,phase_+00.0,0.006172191102682734,2,2,True,13.361839037627032
P0581_four,MACS0429,22.5,phase_+22.5,0.006172191102682734,2,2,True,13.37594342832705
P0581_four,MACS0429,45.0,phase_+45.0,0.006172191102682734,2,2,True,13.384052256637151
P0581_four,MACS0429,67.5,phase_+67.5,0.006172191102682734,2,2,True,13.38651843852914
P0581_four,MACS0429,90.0,phase_+90.0,0.006172191102682734,2,2,True,13.383339304546723
P0581_four,MACS1115,,scalar_control,0.0,2,2,True,26.997076834472395
P0581_four,MACS1115,-90.0,phase_-90.0,0.017185028654405216,2,2,True,26.793746420628114
P0581_four,MACS1115,-67.5,phase_-67.5,0.017185028654405216,2,2,True,26.535681030185646
P0581_four,MACS1115,-45.0,phase_-45.0,0.017185028654405216,2,2,True,26.587214082903298
P0581_four,MACS1115,-22.5,phase_-22.5,0.017185028654405216,2,2,True,26.713751491691433
P0581_four,MACS1115,0.0,phase_+00.0,0.017185028654405216,2,2,True,26.742392254667358
P0581_four,MACS1115,22.5,phase_+22.5,0.017185028654405216,2,2,True,26.682896493601753
P0581_four,MACS1115,45.0,phase_+45.0,0.017185028654405216,2,2,True,26.699887815745107
P0581_four,MACS1115,67.5,phase_+67.5,0.017185028654405216,2,2,True,26.761122612471965
P0581_four,MACS1115,90.0,phase_+90.0,0.017185028654405216,2,2,True,26.831314166330568
P0581_four,MACS1931,,scalar_control,0.0,4,4,True,27.110318035476677
P0581_four,MACS1931,-90.0,phase_-90.0,0.02108657519098082,4,4,True,26.93124679342858
P0581_four,MACS1931,-67.5,phase_-67.5,0.02108657519098082,4,4,True,26.969119425804077
P0581_four,MACS1931,-45.0,phase_-45.0,0.02108657519098082,4,4,True,27.004422633130822
P0581_four,MACS1931,-22.5,phase_-22.5,0.02108657519098082,4,4,True,27.111457653013343
P0581_four,MACS1931,0.0,phase_+00.0,0.02108657519098082,4,4,True,27.249567434314393
P0581_four,MACS1931,22.5,phase_+22.5,0.02108657519098082,4,4,True,27.292234569230754
P0581_four,MACS1931,45.0,phase_+45.0,0.02108657519098082,4,4,True,27.281931164675065
P0581_four,MACS1931,67.5,phase_+67.5,0.02108657519098082,4,4,True,27.224664948644204
P0581_four,MACS1931,90.0,phase_+90.0,0.02108657519098082,4,4,True,27.171596345573718
RXJ2129,RXJ2129,,scalar_control,0.0,7,7,True,1.2561701083427703
RXJ2129,RXJ2129,-90.0,phase_-90.0,0.007686376582625917,7,6,False,inf
RXJ2129,RXJ2129,-67.5,phase_-67.5,0.007686376582625917,7,6,False,inf
RXJ2129,RXJ2129,-45.0,phase_-45.0,0.007686376582625917,7,6,False,inf
RXJ2129,RXJ2129,-22.5,phase_-22.5,0.007686376582625917,7,6,False,inf
RXJ2129,RXJ2129,0.0,phase_+00.0,0.007686376582625917,7,7,True,1.2449677208440326
RXJ2129,RXJ2129,22.5,phase_+22.5,0.007686376582625917,7,7,True,1.2054582758245629
RXJ2129,RXJ2129,45.0,phase_+45.0,0.007686376582625917,7,7,True,1.1667951088508826
RXJ2129,RXJ2129,67.5,phase_+67.5,0.007686376582625917,7,7,True,1.140910911344671
RXJ2129,RXJ2129,90.0,phase_+90.0,0.007686376582625917,7,7,True,1.1526479042543816
