cohort,system_label,epsilon,phase_degrees,R80_kpc,width_over_R80,return_length_over_R80,pre_normalization_retained_weight,route_map_normalization_error,sources_crossing_center,source_weight_crossing_center,contrast_mode,maximum_carrier_weighted_annular_mean_error,minimum_light_weight,maximum_light_weight,empty_annuli,contrast_strength,minimum_light_weight_after_strength,maximum_light_weight_after_strength,grid_spacing_arcsec,carrier_convergence_minimum,carrier_convergence_maximum,maximum_annular_convergence_mean_fraction,delta_convergence_minimum,delta_convergence_maximum,raw_correction_RMS_arcsec,raw_correction_maximum_arcsec,maximum_independent_circular_mean_deflection_arcsec,normalized_curl_RMS,maximum_edge_correction_arcsec,maximum_edge_delta_convergence
P0581_four,MACS0329,0.00943621290272878,-90.0,244.14229945401107,0.23875112952185193,0.36,1.0,0.0,18,0.20954906403913848,tanh,3.2162769349392287e-16,0.0,329.8118308884019,113.0,1.0,0.0,329.8118308884019,1.0,0.005025401364310198,2.006153940456033,1.1510968964811402e-16,-0.27296162920021405,4.740551910416872,0.7582983748840811,9.132537469425063,0.00012206202874098793,3.3169589134143095e-17,0.2550449108123196,0.0
P0581_four,MACS0329,0.00943621290272878,-67.5,244.14229945401107,0.23875112952185193,0.36,1.0000000001540914,1.1102230246251565e-16,18,0.20954906403913848,tanh,4.819532659049193e-16,0.0,647.8096683857245,112.0,1.0,0.0,647.8096683857245,1.0,0.005025401364310198,2.006153940456033,2.8033385032189786e-16,-0.27488606363867824,9.20665808054267,0.7703936927109932,9.133058261778215,0.00012462240598853924,3.264006531649726e-17,0.34383137891373927,0.0
P0581_four,MACS0329,0.00943621290272878,-45.0,244.14229945401107,0.23875112952185193,0.36,1.0000004691237314,0.0,18,0.20954906403913848,tanh,5.687755800248214e-16,0.0,140.5866738069391,113.0,1.0,0.0,140.5866738069391,1.0,0.005025401364310198,2.006153940456033,8.884715558624956e-17,-0.2737680737066614,2.0269582278095046,0.7558154633688507,9.114136896948613,0.00017342552498211816,3.235329280428305e-17,0.34652818993252765,0.0
P0581_four,MACS0329,0.00943621290272878,-22.5,244.14229945401107,0.23875112952185193,0.36,1.0000000001623965,1.1102230246251565e-16,18,0.20954906403913848,tanh,3.8928864002891078e-16,0.0,630.7377930131969,112.0,1.0,0.0,630.7377930131969,1.0,0.005025401364310198,2.006153940456033,9.336011588397268e-17,-0.27494012002026985,8.957205798957018,0.7683150261266253,9.137790081278872,0.00011972327894760326,3.07670102315851e-17,0.2931258103436649,0.0
P0581_four,MACS0329,0.00943621290272878,0.0,244.14229945401107,0.23875112952185193,0.36,1.0,0.0,18,0.20954906403913848,tanh,3.2069700363004035e-16,0.0,329.8118308884019,113.0,1.0,0.0,329.8118308884019,1.0,0.005025401364310198,2.006153940456033,2.2768726531701313e-16,-0.2729616292002139,4.740551910416872,0.7582983748840812,9.132537469425063,0.00012206202874143202,3.0306085752552604e-17,0.25504491081231895,0.0
P0581_four,MACS0329,0.00943621290272878,22.5,244.14229945401107,0.23875112952185193,0.36,1.0000000001540914,1.1102230246251565e-16,18,0.20954906403913848,tanh,3.76780939573694e-16,0.0,647.8096683857245,112.0,1.0,0.0,647.8096683857245,1.0,0.005025401364310198,2.006153940456033,1.3395807648230318e-16,-0.2748860636386765,9.20665808054267,0.7703936927109928,9.133058261778212,0.00012462240598909435,3.095159892082065e-17,0.3438313789137386,0.0
P0581_four,MACS0329,0.00943621290272878,45.0,244.14229945401107,0.23875112952185193,0.36,1.0000004691237316,1.1102230246251565e-16,18,0.20954906403913848,tanh,3.6596278899709034e-16,0.0,140.5866738069393,113.0,1.0,0.0,140.5866738069393,1.0,0.005025401364310198,2.006153940456033,1.5548252227593673e-16,-0.2737680737066628,2.0269582278095073,0.7558154633688526,9.114136896948624,0.0001734255249823402,3.404541740150557e-17,0.34652818993252865,0.0
P0581_four,MACS0329,0.00943621290272878,67.5,244.14229945401107,0.23875112952185193,0.36,1.0000000001623965,2.220446049250313e-16,18,0.20954906403913848,tanh,3.6596278899709034e-16,0.0,630.7377930132059,112.0,1.0,0.0,630.7377930132059,1.0,0.005025401364310198,2.006153940456033,1.7556996237555216e-16,-0.2749401200202687,8.957205798957146,0.7683150261266231,9.137790081278858,0.00011972327894760326,3.1064851293364906e-17,0.29312581034366486,0.0
P0581_four,MACS0329,0.00943621290272878,90.0,244.14229945401107,0.23875112952185193,0.36,0.9999999999999999,2.220446049250313e-16,18,0.20954906403913848,tanh,3.8350180027455657e-16,0.0,329.8118308884019,113.0,1.0,0.0,329.8118308884019,1.0,0.005025401364310198,2.006153940456033,1.868892335479319e-16,-0.27296162920021394,4.740551910416872,0.7582983748840814,9.132537469425062,0.0001220620287418761,3.067223343637162e-17,0.2550449108123187,0.0
P0581_four,MACS0429,0.006172191102682734,-90.0,228.53855516930216,0.23561668597766972,0.36,1.0,0.0,13,0.5744802440806679,tanh,3.6396394415068546e-16,0.0,716.015245431525,111.0,1.0,0.0,716.015245431525,1.0,0.004897269584406,1.8403356103667128,1.8198197207534273e-16,-0.3571865812180921,9.795247537611544,0.9462675459751794,11.718482128459558,0.00021398356686264108,2.813279090178034e-17,0.3742463791229209,0.0
