bin_id,pixels,science_counts,scaled_background_counts,background_variance,net_counts,signal_to_noise,source_fraction,valid,gate_target_signal_to_noise,gate_minimum_net_counts,gate_minimum_source_fraction
0,39,1644.0,13.257776024,1.5799805693074516,1630.742223976,40.199978302030715,0.9919356593527981,True,True,True,True
1,40,1674.0,7.569104032,0.8891596096916407,1666.430895968,40.71873459389793,0.9954784324778972,True,True,True,True
2,41,1671.0,10.514726152,1.21887376464548,1660.485273848,40.605837093655445,0.9937075247444643,True,True,True,True
3,44,1668.0,13.802584238000001,1.6961078744394977,1654.197415762,40.482620812232966,0.9917250694016787,True,True,True,True
4,45,1660.0,11.42970765,1.4117976315243317,1648.57029235,40.44537108950792,0.9931146339457831,True,True,True,True
5,68296,25332.0,17328.653799802,2025.559018705345,8003.346200198001,48.38747179147162,0.3159381888598611,False,True,True,False
6,53,2065.0,13.066781229999998,1.5068848232716734,2051.93321877,45.13825795110785,0.993672260905569,True,True,True,True
7,57,2165.0,15.887956456,1.8754003756083433,2149.112043544,46.16810917802617,0.9926614519833717,True,True,True,True
8,95309,33195.0,26891.074727369,3135.335801510554,6303.925272631001,33.073210141014584,0.1899058675291761,False,False,True,False
9,45,1648.0,9.321476299999999,1.116308504233227,1638.6785237,40.35228373928416,0.9943437643810679,True,True,True,True
10,47,1668.0,13.514953502000003,1.5957974538326614,1654.485046498,40.49087620767377,0.9918975098908873,True,True,True,True
11,44,1632.0,11.131772694,1.3204393031527344,1620.868227306,40.10624576388007,0.9931790608492648,True,True,True,True
12,49,1634.0,11.029733662,1.2749478749156091,1622.970266338,40.13425185290739,0.993249857,True,True,True,True
13,43077,16138.0,12247.870023514999,1392.7050031484828,3890.129976485001,29.380854419783237,0.24105403250000007,False,False,True,False
14,54883,22240.0,14879.549379468,1780.5774607891672,7360.450620531999,47.49114950056877,0.33095551351312946,False,True,True,False
15,5855,4164.0,1526.9195345009998,179.9349543766832,2637.080465499,40.01121364708131,0.6333046266808358,False,True,True,False
16,48,1650.0,13.570109114,1.615339975221981,1636.429890886,40.266413565045504,0.9917756914460606,True,True,True,True
17,49,1629.0,12.418532862,1.5021605831670206,1616.581467138,40.03473022282447,0.9923765912449356,True,True,True,True
18,54,1648.0,10.222900216000001,1.2650527759567771,1637.777099784,40.32826758130791,0.9937967838495145,True,True,True,True
19,51,1640.0,10.699286919999999,1.261895894563861,1629.30071308,40.21724382565915,0.9934760445609756,True,True,True,True
