field,image_id,split,source_family,source_redshift,x_arcsec,y_arcsec,correction_x_arcsec,correction_y_arcsec,correction_magnitude_arcsec,correction_radial_arcsec,correction_tangential_arcsec,correction_convergence,correction_shear,correction_rotation,correction_gradient_spectral_norm,fixed_full_lens_mapping_determinant
P0652_finite_gather,1a,training,1,0.6786,-5.748113029341908,4.227443603999998,-0.07365475871596422,0.08247985815934537,0.11058006368008946,0.10820260344843713,-0.022806733445912462,-0.005726190283205923,0.019873846141438865,0.00010381997439523616,0.025600977512951602,0.14429518496569863
P0652_finite_gather,1b,training,1,0.6786,-4.783674198960802,-0.969769187999997,-0.026360838196344306,0.3392067498435827,0.34022950038152294,-0.041559376366041983,-0.33768170096397937,-0.016777211576854828,0.03895081321329252,-0.0016126860698617747,0.05580535517249384,-0.11887214513127767
P0652_finite_gather,1c,spent_heldout,1,0.6786,0.456839445991538,-8.935221672000038,0.09685667497845707,0.13117534689492782,0.16305884557694844,-0.12605860974880506,0.10342830381034773,-0.005132013153467327,0.021354320799354325,0.0010659958984290951,0.02659587650952562,0.20973007563110838
P0652_finite_gather,2a,training,2,0.916,-6.776271782658472,11.277998675999983,-0.13940741498375755,-0.016888095832427914,0.14042661832180842,0.05732225316052673,0.12819436191151054,-0.006042942257236811,0.006757194788184424,-0.00010734277943319492,0.012801090352850871,0.25593679215770215
P0652_finite_gather,2b,training,2,0.916,-0.7772390574582798,-4.156659036000021,0.19280039448387973,0.1626910663591421,0.25227044057165005,-0.19535626295195208,0.1596129872900767,0.0036404077048587946,0.01610674725162408,-6.267212202454298e-05,0.01974769438835572,-0.014402993515985845
P0652_finite_gather,2c,spent_heldout,2,0.916,0.24443970348725166,-5.292556488000027,0.1718815609126867,0.14916750452063607,0.2275834251141669,-0.14107867004092375,0.178580581940422,-0.005248377697226053,0.016518362950728598,-0.000843512144288322,0.021834092551667846,0.04726060740779049
P0652_finite_gather,3a,training,3,1.5194,-2.0174375536347493,8.154932903999962,-0.08445249437691472,-0.0104967825138672,0.08510232810931932,0.010091580593182157,0.08450187128553752,-0.0013727639970737698,0.014474734499570756,-0.00016413542190375774,0.015857276154778825,0.08082127324970213
P0652_finite_gather,3b,training,3,1.5194,2.98907637506174,5.134105511999998,-0.005291102769609066,0.00876801145674073,0.010240790664011321,0.004915192182254137,0.008984134862946417,-0.0025800564418736486,0.0097363741088469,-0.0007117023453854501,0.012412791765282618,-0.10878107888048975
P0652_finite_gather,3c,training,3,1.5194,1.5634781039797112,3.965703875999982,-0.011656002448913455,0.03295895761450282,0.03495933752409605,0.026386918962891314,0.022932199802231722,-0.006835067583969489,0.012758014127515352,0.00029464545823177334,0.019599429538341324,-0.11324574882256103
P0652_finite_gather,3d,spent_heldout,3,1.5194,7.381071049134713,-15.531179832000019,0.3238512383870261,0.6041978475150173,0.6855178068778305,-0.40669873929796607,0.5518430927356395,0.07763717785787883,0.11157256620457606,-0.00218819541841081,0.18924057496574534,0.1698911553539264
P0652_finite_gather,4a,training,4,1.5202,-3.4189158540684597,10.495438775999993,-0.11714331068454918,-0.03366461671538827,0.12188462436554831,0.004274060522361081,0.12180966325945576,0.00722376121188039,0.020169338977587672,-9.361328251328294e-06,0.02739310625517451,0.1361854064882764
P0652_finite_gather,4b,training,4,1.5202,3.486595771864287,3.41780230799999,0.0015316903151120647,0.02794444140530672,0.027986387417386127,0.020655658649112528,0.018883369573446673,-0.007677899604606708,0.007784318865742615,-0.00012705171098702272,0.015463269606285522,-0.19794444799349167
P0652_finite_gather,4c,spent_heldout,4,1.5202,6.864471675477358,-13.912761239999998,0.3309519334591862,0.5356217327486268,0.6296187916930489,-0.3339015603811938,0.533787945562673,0.047235501023208115,0.1114754459558695,0.015404299377564656,0.16115929641280505,0.1729876757983802
P0652_finite_gather,5a,training,5,1.521,5.239793645663579,14.528709863999984,-0.013555955693602307,-0.07194678771281024,0.07321273247843636,-0.07227878851685843,-0.011656797480197888,-0.014497022384050316,0.00396771581753348,-3.7422757996384906e-05,0.018464786503243468,0.14898994431312218
P0652_finite_gather,5b,training,5,1.521,13.2029839889991,1.9107456839999704,-0.05980909345485835,0.030761749455193086,0.06725632230085178,-0.05478647657640633,0.03901095838067726,-0.009672428216450871,0.01340102330288151,0.0004613946924861105,0.023084450003417297,-0.027763113046380145
P0652_finite_gather,5c,spent_heldout,5,1.521,13.970143058665721,-3.314626776000029,-0.07982764611928389,-0.043130218495417566,0.09073405552717281,-0.06771446417430486,-0.06039387530201107,-0.003346807964465272,0.025649944410144464,0.0001902349657441002,0.029002154560657085,0.0766175819915179
P0652_finite_gather,6a,training,6,3.0815,-9.90574798751465,17.874595907999986,-0.219649499876592,-0.05985002025339272,0.22765747894670296,0.05412039454310359,0.22113098067631165,0.00160350532821079,0.006978043214274539,-0.00035054755393559844,0.008619418529420537,0.2733524197452344
P0652_finite_gather,6b,training,6,3.0815,0.8049590237318596,-5.299632900000001,0.19772413705698202,0.18837653970619916,0.2730944069119861,-0.15654877516472465,0.22377005179655726,-0.008351750102273264,0.01816195546331384,-3.5291004093773726e-05,0.0265137801277684,-0.0005244479644430883
P0652_finite_gather,6c,spent_heldout,6,3.0815,1.7125179231929197,-6.634811124000012,0.1687098583147739,0.19548474242320693,0.25821948186157184,-0.14711730411000346,0.21221168592766843,-0.009003582721582998,0.012521850721008025,0.0009078479801606643,0.021571087693232245,0.02841959994285402
P0652_finite_gather,7a,training,7,3.427,-10.01842785083087,10.257536087999991,-0.19752365402719238,0.010827274871122027,0.19782018041996832,0.14575941588458835,0.1337423510424893,-0.00843999822943333,0.009428519222295666,-0.0002625866188496039,0.017872601282841773,0.15800468182023308
