galaxy,background_mean_counts,background_median_counts,background_sigma_counts,detected_sources,minimum_detection_separation_pixel,orientation,gaia_inliers,second_best_inliers,catalog_sources_in_search,translation_x_pixel,translation_y_pixel,translation_histogram_peak,similarity_scale,similarity_rotation_deg,median_residual_pixel,p95_residual_pixel,maximum_residual_pixel,p95_residual_arcsec,fractional_scale_error,existing_wcs_center_disagreement_pixel,all_gates_pass,gaia_sha256,v_image_sha256,wcs_relative_path
CVnIdwA,1421.4886132775487,1421.9178466796875,9.66573789040128,376,3,identity,84,10,210,-27.5,2.5,38,0.9964345928095001,0.4887774112392744,0.4146364565425672,1.0180972561494364,1.9915211741152696,1.150449899448863,0.003565407190499914,,True,f9e559494392b0d23c469b94ae089777752e116d79077037e66ca46f1fb60f1c,4dc23c3636145781229114432280d94b57c7e3952c7d62e71aba29fcf5028d31,results/p0638_gaia_astrometric_registration/wcs/CVnIdwA.json
DDO47,2222.337457786417,2220.827880859375,26.333072356828254,990,3,identity,466,39,1219,37.5,7.5,190,0.9965985582747667,0.4853507825520111,0.4155581006187574,1.2017319430052673,3.2695240494402453,1.357957095595952,0.0034014417252332674,0.2646779037220113,True,7e0eb5ad3e420a6adc4d9d8c19fb0b6101e1b3c206d7e066812916506b931d32,bca62409ef6a6d842c51c2969e5415a8a40f8a623e686604d80ca401b14e1e7f,results/p0638_gaia_astrometric_registration/wcs/DDO47.json
DDO50,2338.0340679889714,2336.595458984375,24.25733859825927,905,3,identity,199,21,549,-37.5,-7.5,73,0.9961160068899478,0.1911295444547906,0.48037160596455547,1.4783542844567605,3.112689854056502,1.6705403414361393,0.003883993110052164,,True,6c2aa797ffd412d7b5bed1da68cfe9a92fa9ac8cecc9275d620d82a5187b2381,234ab4b5818f6c86c2b04ebf58750acfe72c126f975dcf65dd4823318c943e9a,results/p0638_gaia_astrometric_registration/wcs/DDO50.json
DDO52,2649.206132113988,2648.109130859375,13.622761519911556,845,3,identity,216,18,527,-17.5,17.5,80,0.9964684188462106,0.411436088643388,0.4270122661427025,0.9950398961513717,3.2989951066094285,1.1243950826510498,0.003531581153789376,0.1728728494028764,True,6f6191f83a06416e1e2dea6aa5625f6d2ef26736d0180447637b681f27279583,a42b10e871a4d99c9c2a4b29c939fa2513197a659913c3b1c03e686cc6c6d785,results/p0638_gaia_astrometric_registration/wcs/DDO52.json
DDO53,1019.7637809624861,1019.2894287109375,19.952719639979474,757,4,identity,38,9,235,87.5,107.5,17,1.0047145543955018,-0.04859218801622761,0.9087447629254284,1.8173154776184102,2.159242922160787,0.7632725005997323,0.004714554395501835,,True,7c052c50a3b11ee8d416f7a2d0028c88144f9d458438f2a37547dce0465a0aa8,145f27d56859effc319cc1e61e49cce13ae0c1ea38cab12acf8d8c237859189d,results/p0638_gaia_astrometric_registration/wcs/DDO53.json
DDO87,1912.8870281341792,1907.0521240234375,31.58858914350914,220,3,identity,108,9,293,17.5,22.5,39,0.9964702651317678,0.3146289279204842,0.42564187849024343,1.1592455094969347,2.1057724864448186,1.3099474257315362,0.0035297348682321594,,True,21533153d6fa478a946c1badce10993360ea88dde7d79ecd3926ba1b2f845b81,479a54c68a9cd1a4ed3ddc7b63253f22c73fe812dc7e592c38d708b4ac0c0a6e,results/p0638_gaia_astrometric_registration/wcs/DDO87.json
DDO101,1795.9763328572506,1795.78369140625,17.01504240758928,251,3,identity,56,7,148,-7.5,57.5,19,0.9968705916504467,0.44069812344881115,0.48060882141757955,1.5651685078920865,3.1998538878751908,1.7686404139180576,0.003129408349553331,,True,dbb3fc60e9ec5f879c24847efb08900a611221543987e5db1b94beba10cbbdbf,cbf9ff4107801f8f5dc3bd041be152c74a1fbca0bf6f909cfb83644bb50c4399,results/p0638_gaia_astrometric_registration/wcs/DDO101.json
DDO126,1902.8794851808218,1902.4546508789062,13.831653593104015,527,3,identity,68,9,185,7.5,-2.5,34,0.9962528773450784,0.38795382532377753,0.5132485796638064,1.908139825830955,2.5442625306302964,2.156198003188979,0.0037471226549216086,,True,a7fb1b23be3c7388aadd2a0082a43a0fa437f03d50d94df767e53db2dc05d55e,94aede93d3c57487588d688afeb3b31081f34ee5dfdef75319197f046da6e3b5,results/p0638_gaia_astrometric_registration/wcs/DDO126.json
DDO133,1954.923425040451,1954.183837890625,12.28456228184092,619,3,identity,70,10,184,-82.5,2.5,29,0.996704215817773,0.3927829730578138,0.5080976613983101,1.1351839238201944,3.518265032713595,1.2827578339168195,0.0032957841822269796,,True,8e01b83bcd902bf3e832f8da949fdc114e31a965e45dd6b882fd2e8300abf192,ebb302b7c1065a543fc7d29c18e6e987ede2512d9b3d08ada27005ea412edd3b,results/p0638_gaia_astrometric_registration/wcs/DDO133.json
DDO210,-1.0908673787362002,-1.42279052734375,12.912638607473665,2111,7,identity,223,15,492,-17.5,-7.5,134,0.9999317448905694,-0.0039728488396597915,0.577090142112482,2.390329530819295,3.2418213164051863,0.6453889733212097,6.825510943064828e-05,1.7042915800904905,True,abd731e9451d6b07ad6405933530cd1825bbf50032513adc1c0e2e7aec1e3f0e,5d93c388acc03f32752f4d69b767d27bdd33180791d285b68158033bf2d99cfa,results/p0638_gaia_astrometric_registration/wcs/DDO210.json
