variant,law,points,RMSE_km_s,weighted_RMSE_km_s,mean_bias_km_s,normalized_residual_RMS,converged,nonlinear_iterations
lumpy_razor_thin,newtonian,12,24.926560062350017,27.660835337398435,-24.02410212205211,5.210091366113421e-14,True,0
lumpy_razor_thin,QUMOND,12,3.883432649559863,3.208588574713729,-1.2814561457880551,4.151181114331462e-14,True,0
lumpy_razor_thin,AQUAL,12,3.526652937771236,2.660174412620638,-0.6297660431452403,5.6906593213071525e-06,True,14
lumpy_razor_thin,algebraic_simple_MOND,12,2.968133961577387,1.2567625863495069,1.51576796976528,0.0,True,0
lumpy_baseline_thickness,newtonian,12,25.031020717665385,27.753884911718433,-24.14848140639769,5.532981457653893e-14,True,0
lumpy_baseline_thickness,QUMOND,12,3.936047752283948,3.256147109601539,-1.3909434717208093,4.397575373046856e-14,True,0
lumpy_baseline_thickness,algebraic_simple_MOND,12,2.916081351928278,1.2255816436075178,1.327429851089618,0.0,True,0
lumpy_thick,newtonian,12,26.026849227583146,28.822931769387683,-25.166141456816167,1.1559531120145758e-13,True,0
lumpy_thick,QUMOND,12,4.067720595591327,4.004690432502248,-2.222058746271158,7.313050095134333e-14,True,0
lumpy_thick,algebraic_simple_MOND,12,2.6912406515572385,1.9423385194345117,-0.22971263803926512,0.0,True,0
axisymmetric_baseline_thickness,newtonian,12,25.04177294128643,27.751110408541386,-24.163177678700993,5.855115520213083e-14,True,0
axisymmetric_baseline_thickness,QUMOND,12,4.015821773333716,3.301534184033637,-1.3311782806202601,4.5557845175999765e-14,True,0
axisymmetric_baseline_thickness,AQUAL,12,3.6601019208315066,2.7248732464660903,-0.7281381834734025,5.399419892250702e-06,True,14
axisymmetric_baseline_thickness,algebraic_simple_MOND,12,2.8998801282516418,1.2208657093160318,1.3042007737070829,0.0,True,0
lumpy_gas_only,newtonian,12,25.819484255040337,28.523388155746854,-25.01004670179609,5.521695387935857e-14,True,0
lumpy_gas_only,QUMOND,12,4.8552839205106,4.3515205136609145,-2.8232628161940947,4.2879160154599524e-14,True,0
lumpy_gas_only,algebraic_simple_MOND,12,2.8262784537613106,1.5968484102583989,-0.0016780322561501155,0.0,True,0
