radius_over_response_length,rational_point_force_ratio,entire_point_force_ratio
2.1544346900318868e-11,1.0,1.0
2.1824061370039845e-11,1.0,1.0
2.210740742743128e-11,1.0,1.0
2.239443222210621e-11,1.0,1.0
2.2685183515830324e-11,1.0,1.0
2.297970969046965e-11,1.0,1.0
2.3278059756041448e-11,1.0,1.0
2.3580283358869623e-11,1.0,1.0
2.3886430789846005e-11,1.0,1.0
2.4196552992798916e-11,1.0,1.0
2.451070157297036e-11,1.0,1.0
2.48289288056033e-11,1.0,1.0
2.5151287644640397e-11,1.0,1.0
2.5477831731535703e-11,1.0,1.0
2.5808615404180766e-11,1.0,1.0
2.614369370594661e-11,1.0,1.0
2.6483122394843105e-11,1.0,1.0
2.6826957952797272e-11,1.0,1.0
2.717525759505204e-11,1.0,1.0
2.752807927968702e-11,1.0,1.0
2.7885481717262916e-11,1.0,1.0
2.8247524380591123e-11,1.0,1.0
2.8614267514630172e-11,1.0,1.0
2.898577214651068e-11,1.0,1.0
2.936210009569044e-11,1.0,1.0
2.974331398424135e-11,1.0,1.0
3.012947724726992e-11,1.0,1.0
3.0520654143473053e-11,1.0,1.0
3.091690976583089e-11,1.0,1.0
3.1318310052438445e-11,1.0,1.0
3.1724921797477945e-11,1.0,1.0
3.2136812662333526e-11,1.0,1.0
3.255405118685032e-11,1.0,1.0
3.297670680073967e-11,1.0,1.0
3.3404849835132445e-11,1.0,1.0
3.383855153428233e-11,1.0,1.0
3.427788406742112e-11,1.0,1.0
3.4722920540767816e-11,1.0,1.0
3.5173735009693805e-11,1.0,1.0
3.5630402491045815e-11,1.0,1.0
3.6092998975628985e-11,1.0,1.0
3.656160144085194e-11,1.0,1.0
3.703628786353603e-11,1.0,1.0
3.7517137232890975e-11,1.0,1.0
3.800422956365882e-11,1.0,1.0
3.849764590942866e-11,1.0,1.0
3.89974683761242e-11,1.0,1.0
3.9503780135666406e-11,1.0,1.0
4.001666543981357e-11,1.0,1.0
4.053620963418103e-11,1.0,1.0
4.1062499172442937e-11,1.0,1.0
4.159562163071843e-11,1.0,1.0
4.21356657221445e-11,1.0,1.0
4.2682721311638165e-11,1.0,1.0
4.3236879430850236e-11,1.0,1.0
4.379823229331325e-11,1.0,1.0
4.436687330978607e-11,1.0,1.0
4.4942897103797706e-11,1.0,1.0
4.5526399527392974e-11,1.0,1.0
4.6117477677082515e-11,1.0,1.0
4.671622990999997e-11,1.0,1.0
4.7322755860268876e-11,1.0,1.0
4.793715645558209e-11,1.0,1.0
4.855953393399645e-11,1.0,1.0
4.918999186094547e-11,1.0,1.0
4.982863514647295e-11,1.0,1.0
5.0475570062690324e-11,1.0,1.0
5.1130904261460606e-11,1.0,1.0
5.179474679231202e-11,1.0,1.0
5.246720812058436e-11,1.0,1.0
5.314840014580988e-11,1.0,1.0
5.3838436220335e-11,1.0,1.0
5.453743116818161e-11,1.0,1.0
5.524550130415433e-11,1.0,1.0
5.596276445319564e-11,1.0,1.0
5.668933996999229e-11,1.0,1.0
5.742534875883629e-11,1.0,1.0
5.8170913293743695e-11,1.0,1.0
5.892615763883468e-11,1.0,1.0
5.969120746897817e-11,1.0,1.0
6.046619009070447e-11,1.0,1.0
6.12512344633895e-11,1.0,1.0
6.204647122071392e-11,1.0,1.0
6.28520326924011e-11,1.0,1.0
6.366805292623703e-11,1.0,1.0
6.449466771037634e-11,1.0,1.0
6.533201459593783e-11,1.0,1.0
6.618023291989341e-11,1.0,1.0
6.703946382825409e-11,1.0,1.0
6.790985029955721e-11,1.0,1.0
6.879153716865837e-11,1.0,1.0
6.968467115083248e-11,1.0,1.0
7.058940086618752e-11,1.0,1.0
7.150587686439543e-11,1.0,1.0
7.243425164974397e-11,1.0,1.0
7.337467970651388e-11,1.0,1.0
7.432731752468559e-11,1.0,1.0
7.52923236259795e-11,1.0,1.0
7.626985859023451e-11,1.0,1.0
7.726008508212903e-11,1.0,1.0
7.826316787824876e-11,1.0,1.0
7.927927389450605e-11,1.0,1.0
8.030857221391521e-11,1.0,1.0
8.135123411472835e-11,1.0,1.0
8.240743309893666e-11,1.0,1.0
8.347734492114162e-11,1.0,1.0
8.456114761780106e-11,1.0,1.0
8.565902153685499e-11,1.0,1.0
8.677114936773599e-11,1.0,1.0
8.789771617176924e-11,1.0,1.0
