galaxy,Vf,R_coh,R_outer,ratio,C,A_dyn,rms_bar,rms_fixed,rms_dynamic,delta
D564-8,24.0,0.10,2.44,0.040,0.960,1.663,10.05,19.40,18.67,0.72
D631-7,57.7,0.56,2.80,0.200,0.800,1.385,24.59,27.90,21.77,6.13
DDO064,46.1,0.36,3.49,0.103,0.897,1.554,14.59,18.72,16.36,2.36
DDO154,47.0,0.37,4.96,0.075,0.925,1.602,22.68,20.16,18.14,2.02
DDO161,66.3,0.74,10.69,0.069,0.931,1.612,21.31,44.56,41.59,2.97
DDO168,53.4,0.48,4.30,0.112,0.888,1.539,18.77,24.29,21.12,3.17
DDO170,60.0,0.61,9.14,0.066,0.934,1.617,24.54,40.61,37.76,2.85
ESO079-G014,175.0,5.16,17.67,0.292,0.708,1.227,28.89,50.41,32.66,17.75
ESO116-G012,109.1,2.00,9.58,0.209,0.791,1.370,34.26,30.06,20.43,9.64
ESO444-G084,62.7,0.66,2.95,0.224,0.776,1.343,31.69,6.10,3.73,2.37
ESO563-G021,314.6,16.67,55.71,0.299,0.701,1.214,62.94,61.06,36.81,24.24
F561-1,50.0,0.42,10.69,0.039,0.961,1.664,4.42,69.55,67.67,1.88
F563-1,109.9,2.03,23.47,0.087,0.913,1.582,57.24,21.43,17.64,3.78
F563-V1,28.6,0.14,6.83,0.020,0.980,1.697,1.90,54.52,53.80,0.72
F563-V2,116.6,2.29,11.37,0.201,0.799,1.383,51.07,15.41,10.07,5.33
F565-V2,78.5,1.04,7.31,0.142,0.858,1.486,37.81,19.42,14.23,5.19
F567-2,48.1,0.39,14.94,0.026,0.974,1.687,11.04,53.14,52.02,1.12
F568-1,133.0,2.98,16.31,0.183,0.817,1.416,59.47,14.87,10.86,4.01
F568-3,107.0,1.93,16.14,0.119,0.881,1.525,33.87,39.59,33.54,6.05
F568-V1,112.3,2.12,14.38,0.148,0.852,1.476,55.10,17.24,11.73,5.51
F571-8,139.7,3.29,24.55,0.134,0.866,1.500,47.87,49.04,44.61,4.43
F571-V1,83.6,1.18,10.10,0.117,0.883,1.530,33.70,39.72,33.92,5.81
F574-1,97.8,1.61,16.19,0.099,0.901,1.560,36.45,36.29,31.26,5.03
F574-2,36.0,0.22,12.61,0.017,0.983,1.702,7.29,74.04,73.25,0.79
F579-V1,112.1,2.12,20.96,0.101,0.899,1.557,38.61,39.85,34.71,5.14
F583-1,85.8,1.24,15.65,0.079,0.921,1.595,32.75,24.45,21.69,2.76
F583-4,67.2,0.76,7.80,0.097,0.903,1.563,19.02,36.89,33.05,3.84
IC2574,66.4,0.74,10.81,0.069,0.931,1.613,18.90,41.27,38.56,2.71
IC4202,242.6,9.91,32.13,0.308,0.692,1.198,35.22,77.04,56.44,20.60
KK98-251,33.7,0.19,2.90,0.066,0.934,1.618,7.80,23.94,22.54,1.40
NGC0024,106.3,1.90,7.29,0.261,0.739,1.280,32.60,12.16,6.21,5.95
NGC0055,85.6,1.23,10.24,0.120,0.880,1.523,22.25,55.19,48.57,6.62
NGC0100,88.1,1.31,16.36,0.080,0.920,1.594,26.63,38.78,35.27,3.51
NGC0247,104.9,1.85,12.79,0.145,0.855,1.481,32.17,47.24,38.92,8.32
NGC0289,163.0,4.47,49.51,0.090,0.910,1.576,55.65,101.07,91.85,9.22
NGC0300,93.3,1.47,9.20,0.159,0.841,1.456,36.12,34.27,26.39,7.89
NGC0801,220.1,8.16,44.99,0.181,0.819,1.418,37.74,128.18,110.22,17.96
NGC0891,216.1,7.86,18.16,0.433,0.567,0.982,69.85,104.50,86.87,17.64
NGC1003,109.8,2.03,33.33,0.061,0.939,1.627,48.15,54.06,50.07,3.99
NGC1090,164.4,4.55,30.49,0.149,0.851,1.474,25.71,91.90,79.29,12.61
NGC1705,71.9,0.87,2.36,0.369,0.631,1.093,38.07,8.23,5.52,2.71
NGC2366,50.2,0.42,6.94,0.061,0.939,1.626,16.36,31.76,29.79,1.97
NGC2403,131.2,2.90,15.11,0.192,0.808,1.400,37.90,39.02,29.25,9.77
NGC2683,154.0,3.99,13.79,0.290,0.710,1.230,33.12,91.43,65.37,26.06
NGC2841,284.8,13.66,45.12,0.303,0.697,1.208,87.87,40.65,12.49,28.16
NGC2903,184.6,5.74,13.76,0.417,0.583,1.010,61.46,86.45,66.93,19.52
NGC2915,83.5,1.17,7.16,0.164,0.836,1.448,48.76,15.95,13.32,2.63
NGC2955,257.0,11.12,40.34,0.276,0.724,1.255,44.14,95.29,78.98,16.30
NGC2976,85.4,1.23,3.04,0.404,0.596,1.032,3.68,26.35,17.54,8.81
NGC2998,209.9,7.42,43.58,0.170,0.830,1.437,35.12,84.23,69.84,14.39
NGC3109,66.2,0.74,6.00,0.123,0.877,1.519,29.99,15.54,12.05,3.49
NGC3198,150.1,3.79,35.66,0.106,0.894,1.548,37.61,68.27,60.66,7.62
NGC3521,213.7,7.69,18.85,0.408,0.592,1.025,52.52,70.23,61.19,9.04
NGC3726,168.0,4.75,22.20,0.214,0.786,1.361,35.31,99.46,81.91,17.56
NGC3741,50.1,0.42,4.20,0.101,0.899,1.558,25.08,13.36,11.08,2.28
NGC3769,118.6,2.37,22.57,0.105,0.895,1.550,38.65,72.17,64.86,7.31
NGC3877,168.4,4.78,11.47,0.416,0.584,1.011,29.11,75.16,56.14,19.02
NGC3893,174.0,5.10,20.84,0.245,0.755,1.308,33.81,68.09,52.64,15.45
NGC3917,135.9,3.11,14.08,0.221,0.779,1.349,26.01,55.95,41.84,14.12
NGC3949,163.0,4.47,13.72,0.326,0.674,1.167,32.03,61.28,51.08,10.19
NGC3953,220.8,8.21,17.38,0.472,0.528,0.914,18.27,78.48,51.21,27.28
NGC3972,132.7,2.97,10.05,0.295,0.705,1.221,21.17,41.76,26.94,14.82
NGC3992,241.0,9.78,32.75,0.299,0.701,1.215,51.50,95.18,59.86,35.32
NGC4010,125.8,2.66,17.59,0.151,0.849,1.470,17.71,56.62,48.63,7.99
NGC4013,172.9,5.03,31.35,0.161,0.839,1.454,39.27,91.62,77.22,14.40
NGC4051,157.0,4.15,15.13,0.274,0.726,1.257,29.68,85.54,71.23,14.31
NGC4068,36.0,0.22,3.18,0.069,0.931,1.613,6.03,28.64,27.07,1.58
NGC4085,131.5,2.91,10.16,0.287,0.713,1.236,33.54,64.89,55.80,9.09
NGC4088,171.7,4.96,22.25,0.223,0.777,1.346,50.79,116.10,101.53,14.57
NGC4100,158.2,4.21,18.06,0.233,0.767,1.328,29.36,70.72,52.52,18.20
NGC4138,147.3,3.65,18.58,0.197,0.803,1.391,31.52,69.63,56.48,13.15
NGC4157,184.7,5.74,24.09,0.238,0.762,1.319,40.01,102.38,83.17,19.21
NGC4183,110.6,2.06,16.07,0.128,0.872,1.510,33.26,58.51,49.98,8.53
NGC4214,80.1,1.08,5.84,0.185,0.815,1.412,33.48,15.76,10.05,5.71
NGC4217,181.3,5.53,16.70,0.331,0.669,1.158,64.41,99.35,84.60,14.75
NGC4389,95.9,1.55,6.81,0.227,0.773,1.338,57.40,89.47,82.59,6.88
NGC4559,121.2,2.47,21.16,0.117,0.883,1.530,23.93,75.48,67.34,8.14
NGC5005,262.2,11.58,10.41,1.112,0.100,0.173,57.03,76.54,58.69,17.84
NGC5033,194.2,6.35,29.53,0.215,0.785,1.360,61.16,85.05,66.25,18.80
NGC5055,179.0,5.40,35.06,0.154,0.846,1.466,58.27,118.81,106.07,12.74
NGC5371,209.5,7.39,30.03,0.246,0.754,1.306,35.63,140.90,116.77,24.13
NGC5585,90.3,1.37,10.92,0.126,0.874,1.514,24.18,38.30,33.26,5.04
NGC5907,215.0,7.78,21.36,0.364,0.636,1.101,43.26,107.40,64.13,43.27
