galaxy,Vf,R_outer,R_coh,ratio,C,A_dynamic,regime
D564-8,24.0,2.44,0.10,0.0398,0.9602,1.6632,R_coh << R_outer
D631-7,57.7,2.80,0.56,0.2002,0.7998,1.3853,R_coh << R_outer
DDO064,46.1,3.49,0.36,0.1025,0.8975,1.5544,R_coh << R_outer
DDO154,47.0,4.96,0.37,0.0750,0.9250,1.6022,R_coh << R_outer
DDO161,66.3,10.69,0.74,0.0692,0.9308,1.6121,R_coh << R_outer
DDO168,53.4,4.30,0.48,0.1117,0.8883,1.5386,R_coh << R_outer
DDO170,60.0,9.14,0.61,0.0663,0.9337,1.6172,R_coh << R_outer
ESO079-G014,175.0,17.67,5.16,0.2918,0.7082,1.2266,R_coh << R_outer
ESO116-G012,109.1,9.58,2.00,0.2092,0.7908,1.3697,R_coh << R_outer
ESO444-G084,62.7,2.95,0.66,0.2244,0.7756,1.3434,R_coh << R_outer
ESO563-G021,314.6,55.71,16.67,0.2992,0.7008,1.2139,R_coh << R_outer
F561-1,50.0,10.69,0.42,0.0394,0.9606,1.6638,R_coh << R_outer
F563-1,109.9,23.47,2.03,0.0867,0.9133,1.5820,R_coh << R_outer
F563-V1,28.6,6.83,0.14,0.0202,0.9798,1.6971,R_coh << R_outer
F563-V2,116.6,11.37,2.29,0.2013,0.7987,1.3833,R_coh << R_outer
F565-V2,78.5,7.31,1.04,0.1419,0.8581,1.4862,R_coh << R_outer
F567-2,48.1,14.94,0.39,0.0261,0.9739,1.6869,R_coh << R_outer
F568-1,133.0,16.31,2.98,0.1826,0.8174,1.4157,R_coh << R_outer
F568-3,107.0,16.14,1.93,0.1194,0.8806,1.5252,R_coh << R_outer
F568-V1,112.3,14.38,2.12,0.1477,0.8523,1.4763,R_coh << R_outer
F571-8,139.7,24.55,3.29,0.1339,0.8661,1.5002,R_coh << R_outer
F571-V1,83.6,10.10,1.18,0.1165,0.8835,1.5302,R_coh << R_outer
F574-1,97.8,16.19,1.61,0.0995,0.9005,1.5597,R_coh << R_outer
F574-2,36.0,12.61,0.22,0.0173,0.9827,1.7021,R_coh << R_outer
F579-V1,112.1,20.96,2.12,0.1010,0.8990,1.5572,R_coh << R_outer
F583-1,85.8,15.65,1.24,0.0792,0.9208,1.5949,R_coh << R_outer
F583-4,67.2,7.80,0.76,0.0975,0.9025,1.5632,R_coh << R_outer
IC2574,66.4,10.81,0.74,0.0687,0.9313,1.6131,R_coh << R_outer
IC4202,242.6,32.13,9.91,0.3084,0.6916,1.1978,R_coh << R_outer
KK98-251,33.7,2.90,0.19,0.0659,0.9341,1.6178,R_coh << R_outer
NGC0024,106.3,7.29,1.90,0.2610,0.7390,1.2800,R_coh << R_outer
NGC0055,85.6,10.24,1.23,0.1205,0.8795,1.5234,R_coh << R_outer
NGC0100,88.1,16.36,1.31,0.0799,0.9201,1.5937,R_coh << R_outer
NGC0247,104.9,12.79,1.85,0.1449,0.8551,1.4811,R_coh << R_outer
NGC0289,163.0,49.51,4.47,0.0904,0.9096,1.5755,R_coh << R_outer
NGC0300,93.3,9.20,1.47,0.1593,0.8407,1.4561,R_coh << R_outer
NGC0801,220.1,44.99,8.16,0.1813,0.8187,1.4180,R_coh << R_outer
NGC0891,216.1,18.16,7.86,0.4330,0.5670,0.9820,R_coh << R_outer
NGC1003,109.8,33.33,2.03,0.0609,0.9391,1.6266,R_coh << R_outer
NGC1090,164.4,30.49,4.55,0.1493,0.8507,1.4735,R_coh << R_outer
NGC1705,71.9,2.36,0.87,0.3689,0.6311,1.0932,R_coh << R_outer
NGC2366,50.2,6.94,0.42,0.0611,0.9389,1.6261,R_coh << R_outer
NGC2403,131.2,15.11,2.90,0.1918,0.8082,1.3998,R_coh << R_outer
NGC2683,154.0,13.79,3.99,0.2896,0.7104,1.2305,R_coh << R_outer
NGC2841,284.8,45.12,13.66,0.3027,0.6973,1.2078,R_coh << R_outer
NGC2903,184.6,13.76,5.74,0.4170,0.5830,1.0098,R_coh << R_outer
