galaxy,chi2_red_coherence,chi2_red_nfw,ratio,winner,M_disk_co,R_disk_co,rho_c0,R_c,M_disk_nfw,R_disk_nfw,M200,c,n_points,dof_coherence,dof_nfw
DDO154,4.537523589859459,17.556830807134777,0.25844775971842776,Coherence,97275353.08213133,1.0579426419823634,0.3693957636088848,1.4832946927367283,71154857.23625731,3.8520000000000003,9811743009.655624,1.0014871093855993,12,8,8
DDO168,3.7431487258266785,15.267719768040353,0.24516750259342232,Coherence,3646670151.695899,1.7075887303383466,0.01,0.5,47606076.17787218,2.718,7406116653.156006,1.0,10,6,6
NGC2403,9.76902306156707,5.8394489638509866,1.6729357722007758,NFW,9569973579.84977,3.190242368037432,3.0760345063713106,0.5107357560394785,21132265232.897625,2.82887004330761,179863881589.27783,1.0100799606171094,73,69,69
NGC6946,9.293584990223001,6.137125623346686,1.5143221046133712,NFW,8075366509.563293,2.312377080455688,3.0844128718699295,0.5,109148606319.35364,6.22333191800209,38913098148.61426,30.0,58,54,54
ESO079-G014,0.9243960014956728,6.536392120050036,0.14142297226326694,Coherence,75012701281.32118,4.897256567919633,0.01,5.68871253886254,1408299828.398407,7.6080000000000005,342612463564.9749,1.0,15,11,11
DDO064,0.48373342349181775,1.9060224643143304,0.2537920893108861,Coherence,1655785581.0689216,1.2890600285800353,0.016476976531979395,1.7887619749359973,23003461.01735723,1.6620000000000001,3919287480.572137,1.0,14,10,10
CamB,0.026546846431852955,7.381949113400935,0.0035961838836928214,Coherence,9818347.961046202,1.08,1.047515321511684,3.0782003756884393,6067976.846919839,1.08,244328661.4804988,1.0,9,5,5
