group_id,obsid,cells,exposure_area_contribution_cm2_s,normalized_weight
1,3184,7,182111202.76793003,0.18520525406339855
1,4984,7,151205855.22519726,0.15377482772733447
1,4985,7,48694409.048860215,0.049521722235033025
1,4986,7,88032510.4151667,0.0895281740468022
1,5355,3,21620141.389441803,0.021987465450001985
1,5356,3,88420527.00151843,0.08992278299651993
1,5357,7,170150351.78526646,0.17304118940735663
1,5358,7,69202911.8988567,0.07037866251692113
1,5361,7,163856023.941111,0.16663992155663207
2,3184,17,430653666.5040965,0.15660530362714256
2,4984,17,380003628.3693388,0.13818664098063604
2,4985,17,120173543.1583552,0.043700578163043964
2,4986,17,215979360.83226413,0.07853994058590273
2,5355,17,118832280.67551717,0.043212833985515765
2,5356,17,487291535.6373123,0.17720141456799127
2,5357,17,415314112.01042616,0.1510271423903254
2,5358,17,168834126.07542115,0.06139578420705978
2,5361,17,412848027.0643541,0.1501303614923825
3,3184,12,300845550.4849535,0.1555492238520393
3,4984,12,273812782.9781154,0.14157219810749
3,4985,12,90446303.5442923,0.046764368939218384
3,4986,12,144029645.33035243,0.07446910717711051
3,5355,12,89012990.53761429,0.04602328858962901
3,5356,12,365033795.4425217,0.18873712265087383
3,5357,12,265485718.96980992,0.13726677181359856
3,5358,12,107769635.1746984,0.05572122665340924
3,5361,12,297649412.4571543,0.15389669221663116
4,3184,15,373471450.9774368,0.14997396763274345
4,4984,15,360248621.0858763,0.14466410992613665
4,4985,15,107563184.57398227,0.04319387069494589
4,4986,15,192419687.86745933,0.07726947793361692
4,5355,15,106306832.45967452,0.04268936061570585
4,5356,15,434515754.3648967,0.17448737115109536
4,5357,15,373006516.64002645,0.14978726514962826
4,5358,15,151780572.08190185,0.060950132989055876
4,5361,15,390929232.4013952,0.15698444390707167
5,3184,7,174508404.3821479,0.1517808273920349
5,4984,7,161573347.4035544,0.14053040276334647
5,4985,7,52542770.35717513,0.04569971965830181
5,4986,7,84852023.479355,0.07380108926663465
5,5355,7,51870175.54753181,0.04511472206423926
5,5356,7,212689980.97793308,0.1849897224441604
5,5357,7,167876405.33359802,0.1460125647893481
5,5358,7,68307972.24426945,0.05941169757075605
5,5361,7,175518366.1624849,0.15265925405117847
6,3184,9,224329960.52950975,0.16251157513748893
6,4984,8,183368972.18920293,0.13283816584940622
6,4985,9,67747245.51048142,0.04907820405775101
6,4986,15,92909883.93602858,0.067306799094716
6,5355,9,66561047.83740776,0.04821888570446192
6,5356,9,272824211.82112193,0.1976423135547339
6,5357,14,175719416.99445105,0.12729659101532712
6,5358,14,72312052.53172897,0.052385091722111934
6,5361,9,224620945.77138275,0.16272237386400287
7,3184,8,183094364.9664562,0.1425242074466267
7,4984,8,185776607.4951475,0.14461211709175092
7,4985,8,60026138.29917968,0.046725511125039476
