step_arcsec,kappa_exact_relative_RMS,determinant_exact_relative_RMS,normalized_curl_RMS,negative_jacobian_points,all_finite
0.01,1.6825183033464357e-05,2.0641384977257312e-05,1.0425397829125642e-07,6,True
0.005,1.6832525445907664e-05,2.0654452996070965e-05,2.6063521558776786e-08,6,True
0.002,1.6834736054285818e-05,2.0658391847360438e-05,4.1701952616204025e-09,6,True
0.001,1.683505728730959e-05,2.0658964434626983e-05,1.042605510566192e-09,6,True
