name,ra_deg,dec_deg,resolver,resolved_name,match_found,n_candidates,designation,wise_ra,wise_dec,sep_arcsec,healpix_k5,ext_flg,xscprox_arcsec,cc_flags,ph_qual,w1gmag,w2gmag,w1mpro,w2mpro,w1sigmpro,w2sigmpro,w1snr,w2snr,w1_w2_gmag,w1_w2_mpro
CamB,73.28081,67.09837,NED,Camelopardalis B,True,381,J045318.42+670606.4,73.326771,67.1018038,65.56003628124374,859,1,,0000,BUUU,,,17.538,17.058,0.157,,6.9,1.5,,0.4800000000000004
D512-2,218.33462,26.99803,NED,LSBC D512-02,True,272,J143327.43+270339.3,218.3643115,27.0609376,245.6688857408787,2274,1,,HH00,AABC,,,13.395,12.981,0.074,0.066,14.7,16.4,,0.4139999999999997
D564-8,135.7237,20.07535,NED,LSBC D564-08,True,253,J090253.36+200433.6,135.7223378,20.0760021,5.169708716861314,1130,0,,0000,ABUU,,,16.623,16.189,0.094,0.202,11.6,5.4,,0.43400000000000105
D631-7,119.2575,14.39083,NED,UGC 04115,True,299,J075701.02+142327.8,119.254252,14.3910631,11.356953528867585,1162,0,,0000,ABCU,,,16.67,15.903,0.097,0.181,11.2,6.0,,0.7670000000000012
DDO064,147.59333,31.48778,NED,UGC 05272,True,211,J095021.51+312537.6,147.5896546,31.4271221,218.65993494071938,1408,1,,hO00,AAUU,,,16.636,13.722,0.087,0.035,12.5,30.8,,2.9139999999999997
DDO154,193.52187,27.14964,NED,NGC 4789A,True,293,J125405.20+270852.6,193.5216909,27.1479565,6.087695025253985,7037,2,,0000,ABUU,,,16.081,15.886,0.056,0.149,19.5,7.3,,0.19500000000000028
DDO161,195.81975,-17.42303,NED,UGCA 320,True,296,J130316.28-172518.7,195.8178596,-17.4218745,7.71141601816817,6238,3,7.67,0000,AAUU,,,15.443,15.126,0.041,0.081,26.5,13.5,,0.31700000000000017
DDO168,198.60886,45.92494,NED,UGC 08320,True,296,J131427.26+455522.4,198.6135888,45.9229128,13.91006860005453,2754,1,,0000,AACC,,,15.296,15.044,0.036,0.068,30.1,16.0,,0.2519999999999989
DDO170,198.97433,25.43556,NED,UGC 08333,True,272,J131556.44+252704.7,198.9851756,25.4513286,66.82486094035976,2571,1,,h000,AABU,,,14.851,14.127,0.032,0.041,33.5,26.7,,0.7240000000000002
ESO079-G014,15.71431,-65.61004,NED,NGC 0360,True,242,J010251.43-653636.1,15.7143121,-65.6100396,0.0034379687184672813,8358,5,0.18,h000,AAAA,8.914,8.842,10.983,10.915,0.022,0.02,48.3,53.7,0.07199999999999918,0.06800000000000139
ESO116-G012,48.26998,-57.35698,NED,ESO 116- G 012,True,171,J031304.79-572125.1,48.2699788,-57.3569769,0.011400681276649496,8397,5,1.05,hhhh,AAAA,10.133,10.562,12.275,12.342,0.028,0.03,38.8,35.9,-0.42900000000000027,-0.06700000000000017
ESO444-G084,204.33291,-28.04412,NED,ESO 444- G 084,True,327,J133726.76-275946.0,204.3615186,-27.9961367,195.20569207553189,10993,1,,0000,AACU,,,12.868,12.942,0.023,0.026,47.5,41.2,,-0.07399999999999984
ESO563-G021,131.82084,-20.03566,NED,UGCA 145,True,368,J084717.00-200208.3,131.8208428,-20.0356573,0.013570498555626772,10132,5,0.31,0000,AAAA,8.674,8.628,10.383,10.34,0.021,0.021,52.1,51.6,0.045999999999999375,0.04299999999999926
F561-1,122.42214,22.5603,NED,LSBC F561-01,True,261,J080941.41+223335.9,122.4225701,22.5599761,1.8450455116696434,1202,0,,0000,ABUU,,,15.665,15.591,0.046,0.126,23.7,8.6,,0.07399999999999984
F563-1,133.78004,19.75069,NED,LSBC D563-04,True,316,J085506.51+194454.7,133.7771427,19.7485527,12.472793492501046,1173,1,,00hd,AAAZ,,,14.695,14.336,0.034,0.057,32.1,19.2,,0.359
F563-V1,131.65795,18.88994,NED,LSBC D563-03,True,317,J084637.86+185321.5,131.6577874,18.8893216,2.2940962398959344,1172,0,,0000,ABUU,,,16.455,16.268,0.082,0.231,13.2,4.7,,0.1869999999999976
