name,ra_deg,dec_deg,resolver,resolved_name
CamB,73.28081000,67.09837000,NED,Camelopardalis B
D512-2,218.33462000,26.99803000,NED,LSBC D512-02
D564-8,135.72370000,20.07535000,NED,LSBC D564-08
D631-7,119.25750000,14.39083000,NED,UGC 04115
DDO064,147.59333000,31.48778000,NED,UGC 05272
DDO154,193.52187000,27.14964000,NED,NGC 4789A
DDO161,195.81975000,-17.42303000,NED,UGCA 320
DDO168,198.60886000,45.92494000,NED,UGC 08320
DDO170,198.97433000,25.43556000,NED,UGC 08333
ESO079-G014,15.71431000,-65.61004000,NED,NGC 0360
ESO116-G012,48.26998000,-57.35698000,NED,ESO 116- G 012
ESO444-G084,204.33291000,-28.04412000,NED,ESO 444- G 084
ESO563-G021,131.82084000,-20.03566000,NED,UGCA 145
F561-1,122.42214000,22.56030000,NED,LSBC F561-01
F563-1,133.78004000,19.75069000,NED,LSBC D563-04
F563-V1,131.65795000,18.88994000,NED,LSBC D563-03
F563-V2,133.26601000,18.43596000,NED,LSBC D563-02
F565-V2,144.37450000,21.76122000,NED,LSBC F565-V02
F567-2,154.48458000,21.06139000,NED,LSBC F567-02
F568-1,156.52641000,22.43357000,NED,LSBC F568-01
F568-3,156.83437000,22.24010000,NED,LSBC F568-03
F568-V1,161.25862000,22.05422000,NED,LSBC F568-V01
F571-8,173.47971000,19.35997000,NED,LSBC F571-08
F571-V1,171.57949000,18.83592000,NED,LSBC F571-V01
F574-1,189.52923000,22.31365000,NED,LSBC F574-01
F574-2,191.68125000,21.83111000,NED,LSBC F574-02
F579-V1,218.20771000,22.76145000,NED,LSBC F511-V01
F583-1,239.36477000,20.66657000,NED,LSBC D584-04
F583-4,238.03898000,18.79796000,NED,LSBC F583-04
IC2574,157.09728000,68.41216000,NED,IC 2574
IC4202,197.13165000,24.70080000,NED,IC 4202
KK98-251,307.63708000,60.35472000,NED,PGC1 0065001 NED007
NGC0024,2.48528000,-24.96322000,NED,NGC 0024
NGC0055,3.72335000,-39.19657000,NED,NGC 0055
NGC0100,6.01243000,16.48712000,NED,NGC 0100
NGC0247,11.78530000,-20.76019000,NED,NGC 0247
NGC0289,13.17613000,-31.20586000,NED,NGC 0289
NGC0300,13.72270000,-37.68421000,NED,NGC 0300
NGC0801,30.93665000,38.25879000,NED,NGC 0801
NGC0891,35.63711000,42.34832000,NED,NGC 0891
NGC1003,39.82078000,40.87258000,NED,NGC 1003
NGC1090,41.64154000,-0.24711000,NED,NGC 1090
NGC1705,73.55632000,-53.36097000,NED,NGC 1705
NGC2366,112.22542000,69.21497000,NED,NGC 2366
NGC2403,114.21374000,65.60268000,NED,NGC 2403
NGC2683,133.17210000,33.42185000,NED,NGC 2683
NGC2841,140.51111000,50.97661000,NED,NGC 2841
NGC2903,143.04213000,21.50083000,NED,NGC 2903
NGC2915,141.54931000,-76.62666000,NED,NGC 2915
NGC2955,145.31923000,35.88223000,NED,NGC 2955
NGC2976,146.81381000,67.91668000,NED,NGC 2976
NGC2998,147.18171000,44.08142000,NED,NGC 2998
NGC3109,150.77867000,-26.15958000,NED,NGC 3109
NGC3198,154.97918000,45.54982000,NED,NGC 3198
NGC3521,166.45242000,-0.03586000,NED,NGC 3521
NGC3726,173.33798000,47.02922000,NED,NGC 3726
NGC3741,174.02576000,45.28391000,NED,NGC 3741
NGC3769,174.43360000,47.89296000,NED,NGC 3769
NGC3877,176.53220000,47.49455000,NED,NGC 3877
NGC3893,177.15900000,48.71090000,NED,NGC 3893
NGC3917,177.68954000,51.82462000,NED,NGC 3917
NGC3949,178.42415000,47.85872000,NED,NGC 3949
NGC3953,178.45428000,52.32680000,NED,NGC 3953
NGC3972,178.93803000,55.32059000,NED,NGC 3972
NGC3992,179.39985000,53.37471000,NED,MESSIER 109
NGC4010,179.65820000,47.26144000,NED,NGC 4010
NGC4013,179.63045000,43.94741000,NED,NGC 4013
NGC4051,180.79003000,44.53131000,NED,NGC 4051
NGC4068,181.00327000,52.58820000,NED,NGC 4068
NGC4085,181.34476000,50.35285000,NED,NGC 4085
NGC4088,181.39284000,50.53939000,NED,NGC 4088
NGC4100,181.53556000,49.58250000,NED,NGC 4100
NGC4138,182.37417000,43.68531000,NED,NGC 4138
NGC4157,182.76817000,50.48500000,NED,NGC 4157
NGC4183,183.32032000,43.69859000,NED,NGC 4183
NGC4214,183.91321000,36.32689000,NED,NGC 4214
NGC4217,183.96208000,47.09178000,NED,NGC 4217
NGC4389,186.39650000,45.68460000,NED,NGC 4389
NGC4559,188.99012000,27.95996000,NED,NGC 4559
NGC5005,197.73444000,37.05904000,NED,NGC 5005
NGC5033,198.36447000,36.59392000,NED,NGC 5033
NGC5055,198.95537000,42.02932000,NED,MESSIER 063
NGC5371,208.91642000,40.46174000,NED,NGC 5371
NGC5585,214.95071000,56.72948000,NED,NGC 5585
NGC5907,228.97183000,56.32988000,NED,NGC 5907:[IDD2022] X026
NGC5985,234.90440000,59.33203000,NED,NGC 5985
NGC6015,237.85536000,62.31007000,NED,NGC 6015
NGC6195,249.13576000,39.02791000,NED,NGC 6195
NGC6503,267.36010000,70.14433000,NED,NGC 6503
NGC6674,279.64109000,25.37516000,NED,NGC 6674
NGC6789,289.17468000,63.97116000,NED,NGC 6789
NGC6946,308.71801000,60.15391000,NED,NGC 6946
NGC7331,339.26693000,34.41576000,NED,NGC 7331
NGC7793,359.45721000,-32.59099000,NED,NGC 7793
NGC7814,0.81213000,16.14531000,NED,NGC 7814
PGC51017,214.25600000,43.50170000,NED,SBS 1415+437
UGC00128,3.46203000,35.99402000,NED,UGC 00128
UGC00191,5.02073000,10.87913000,NED,UGC 00191
UGC00634,15.35380000,7.62567000,NED,UGC 00634
UGC00731,17.68334000,49.60211000,NED,UGC 00731
UGC00891,20.32915000,12.41251000,NED,UGC 00891
UGC01230,26.38438000,25.52144000,NED,UGC 01230
UGC01281,27.38172000,32.58876000,NED,UGC 01281
UGC02023,38.32583000,33.49111000,NED,UGC 02023
UGC02259,41.98113000,37.53787000,NED,UGC 02259
UGC02455,44.92625000,25.23783000,NED,NGC 1156
UGC02487,45.42640000,35.20561000,NED,NGC 1167
UGC02885,58.26718000,35.59211000,NED,UGC 02885
UGC02916,60.64137000,71.70593000,NED,UGC 02916
UGC02953,61.94527000,69.81246000,NED,IC 0356
UGC03205,74.06197000,30.05236000,NED,UGC 03205
UGC03546,102.53604000,60.84580000,NED,NGC 2273
UGC03580,103.87902000,69.56316000,NED,UGC 03580
UGC04278,123.49546000,45.74214000,NED,IC 2233
UGC04305,124.77006000,70.71992000,NED,Holmberg II
UGC04325,124.83524000,50.00953000,NED,NGC 2552
UGC04483,129.26238000,69.77578000,NED,UGC 04483
UGC04499,129.42284000,51.65247000,NED,UGC 04499
UGC05005,141.12246000,22.27483000,NED,UGC 05005
UGC05253,147.59262000,72.27864000,NED,NGC 2985
UGC05414,150.98897000,40.75698000,NED,NGC 3104
UGC05716,157.93031000,25.30783000,NED,UGC 05716
UGC05721,158.07168000,27.66880000,NED,NGC 3274
UGC05750,158.93797000,20.98994000,NED,UGC 05750
UGC05764,159.18064000,31.54698000,NED,UGC 05764
UGC05829,160.67462000,34.44888000,NED,UGC 05829
UGC05918,162.40208000,65.53056000,NED,UGC 05918
UGC05986,163.12905000,36.61862000,NED,NGC 3432
UGC05999,163.24637000,7.62022000,NED,UGC 05999
UGC06399,170.84676000,50.89271000,NED,UGC 06399
UGC06446,171.66860000,53.74695000,NED,UGC 06446
UGC06614,174.81198000,17.14367000,NED,UGC 06614
UGC06628,175.02410000,45.94280000,NED,UGC 06628
UGC06667,175.60960000,51.59810000,NED,UGC 06667
UGC06786,177.28936000,27.02201000,NED,NGC 3900
UGC06787,177.31361000,56.08451000,NED,NGC 3898
UGC06818,177.69563000,45.80719000,NED,UGC 06818
UGC06917,179.11014000,50.42879000,NED,UGC 06917
UGC06923,179.20609000,53.16031000,NED,UGC 06923
UGC06930,179.32225000,49.28320000,NED,UGC 06930
UGC06973,179.71777000,42.72238000,NED,IC 0750
UGC06983,179.79090000,52.70720000,NED,UGC 06983
UGC07089,181.49072000,43.14331000,NED,UGC 07089
UGC07125,182.17622000,36.80277000,NED,UGC 07125
UGC07151,182.49429000,46.45742000,NED,NGC 4144
UGC07232,183.43654000,36.63403000,NED,NGC 4190
UGC07261,183.81004000,20.65877000,NED,NGC 4204
UGC07323,184.37574000,45.61930000,NED,NGC 4242
UGC07399,185.15896000,46.29178000,NED,NGC 4288
UGC07524,186.45358000,33.54686000,NED,NGC 4395
UGC07559,186.77147000,37.14268000,NED,UGC 07559
UGC07577,186.92042000,43.49556000,NED,UGC 07577
UGC07603,187.18381000,22.82045000,NED,NGC 4455
UGC07608,187.18417000,43.22414000,NED,UGC 07608
UGC07690,188.11207000,42.70412000,NED,UGC 07690
UGC07866,190.56306000,38.50184000,NED,IC 3687
UGC08286,198.05250000,44.04122000,NED,NGC 5023
UGC08490,202.40213000,58.41872000,NED,NGC 5204
UGC08550,203.51212000,47.91488000,NED,NGC 5229
UGC08699,206.28636000,41.50341000,NED,NGC 5289
UGC08837,208.69083000,53.90331000,NED,Holmberg IV
UGC09037,212.12144000,7.05803000,NED,UGC 09037
UGC09133,214.03227000,35.34387000,NED,NGC 5533
UGC09992,235.44939000,67.25426000,NED,UGC 09992
UGC10310,244.07604000,47.04652000,NED,UGC 10310
UGC11455,292.48472000,72.11299000,NED,UGC 11455
UGC11557,306.00274000,60.19479000,NED,UGC 11557
UGC11820,327.36847000,14.23085000,NED,UGC 11820
UGC11914,331.96831000,31.35935000,NED,NGC 7217
UGC12506,349.87711000,16.07481000,NED,UGC 12506
UGC12632,352.49445000,40.99038000,NED,UGC 12632
UGC12732,355.16580000,26.23651000,NED,UGC 12732
UGCA281,186.56543000,48.49401000,NED,UGCA 281
UGCA442,355.94034000,-31.95670000,NED,UGCA 442
UGCA444,0.49236000,-15.46108000,NED,WLM
