name,ra_deg,dec_deg,match_found,n_candidates,error,2masx,xsc_ra_deg,xsc_dec_deg,sep_arcsec,J_ext_mag,e_J_ext_mag,H_ext_mag,e_H_ext_mag,K_ext_mag,e_K_ext_mag,J_minus_K_ext,Sb_over_a,Spa_deg
CamB,73.28081,67.09837,False,0,,,,,,,,,,,,,,
D512-2,218.33462,26.99803,False,0,,,,,,,,,,,,,,
D564-8,135.7237,20.07535,False,0,,,,,,,,,,,,,,
D631-7,119.2575,14.39083,False,0,,,,,,,,,,,,,,
DDO064,147.59333,31.48778,False,0,,,,,,,,,,,,,,
DDO154,193.52187,27.14964,True,1,,12540524+2708586,193.521866,27.14963,0.038212336060314225,14.78600025177002,0.13500000536441803,14.331000328063965,0.2160000056028366,15.347000122070312,1.0529999732971191,-0.560999870300293,1.0,90.0
DDO161,195.81975,-17.42303,True,1,,13031673-1725229,195.819733,-17.423031,0.05850301557708196,12.793999671936035,0.05400000140070915,12.085000038146973,0.057999998331069946,12.994000434875488,0.30000001192092896,-0.20000076293945312,1.0,90.0
DDO168,198.60886,45.92494,False,0,,,,,,,,,,,,,,
DDO170,198.97433,25.43556,False,0,,,,,,,,,,,,,,
ESO079-G014,15.71431,-65.61004,True,1,,01025144-6536359,15.714359,-65.609993,0.18421406235875554,10.190999984741211,0.012000000104308128,9.406999588012695,0.014000000432133675,9.11400032043457,0.017000000923871994,1.0769996643066406,0.14000000059604645,-35.0
ESO116-G012,48.26998,-57.35698,True,1,,03130474-5721260,48.269775,-57.357246,1.0370457740758086,10.678000450134277,0.04100000113248825,10.425000190734863,0.07000000029802322,10.071000099182129,0.0820000022649765,0.6070003509521484,0.6000000238418579,25.0
ESO444-G084,204.33291,-28.04412,False,0,,,,,,,,,,,,,,
ESO563-G021,131.82084,-20.03566,True,1,,08471698-2002083,131.820755,-20.035662,0.2875708952761201,10.097000122070312,0.01899999938905239,9.263999938964844,0.01600000075995922,8.890000343322754,0.027000000700354576,1.2069997787475586,0.20000000298023224,-15.0
F561-1,122.42214,22.5603,False,0,,,,,,,,,,,,,,
F563-1,133.78004,19.75069,False,0,,,,,,,,,,,,,,
F563-V1,131.65795,18.88994,False,0,,,,,,,,,,,,,,
F563-V2,133.26601,18.43596,False,0,,,,,,,,,,,,,,
F565-V2,144.3745,21.76122,False,0,,,,,,,,,,,,,,
F567-2,154.48458,21.06139,False,0,,,,,,,,,,,,,,
F568-1,156.52641,22.43357,False,0,,,,,,,,,,,,,,
F568-3,156.83437,22.2401,False,0,,,,,,,,,,,,,,
F568-V1,161.25862,22.05422,False,0,,,,,,,,,,,,,,
F571-8,173.47971,19.35997,True,1,,11335510+1921355,173.479584,19.359865,0.5709869883445922,13.076000213623047,0.03999999910593033,12.267000198364258,0.04100000113248825,12.08899974822998,0.06499999761581421,0.9870004653930664,0.4399999976158142,-10.0
F571-V1,171.57949,18.83592,False,0,,,,,,,,,,,,,,
F574-1,189.52923,22.31365,False,0,,,,,,,,,,,,,,
F574-2,191.68125,21.83111,False,0,,,,,,,,,,,,,,
F579-V1,218.20771,22.76145,False,0,,,,,,,,,,,,,,
F583-1,239.36477,20.66657,False,0,,,,,,,,,,,,,,
F583-4,238.03898,18.79796,False,0,,,,,,,,,,,,,,
IC2574,157.09728,68.41216,True,1,,10282348+6824437,157.097839,68.41214,0.7439095489542202,11.484000205993652,0.04800000041723251,10.91100025177002,0.08399999886751175,10.718000411987305,0.10499999672174454,0.7659997940063477,1.0,90.0
IC4202,197.13165,24.7008,True,1,,13083158+2442030,197.131592,24.700834,0.2257566232119232,11.501999855041504,0.026000000536441803,10.71399974822998,0.028999999165534973,10.409000396728516,0.03999999910593033,1.0929994583129883,0.20000000298023224,-40.0
KK98-251,307.63708,60.35472,False,0,,,,,,,,,,,,,,
NGC0024,2.48528,-24.96322,True,1,,00095654-2457472,2.48559,-24.963131,1.0612628627662768,9.711000442504883,0.02199999988079071,9.107999801635742,0.02800000086426735,8.954999923706055,0.03999999910593033,0.7560005187988281,0.30000001192092896,43.0
NGC0055,3.72335,-39.19657,True,4,,00145360-3911478,3.72334,-39.196629,0.21422449401330063,6.97599983215332,0.02500000037252903,6.546000003814697,0.035999998450279236,6.249000072479248,0.04899999871850014,0.7269997596740723,0.33000001311302185,-67.0
NGC0100,6.01243,16.48712,True,1,,00240283+1629110,6.01182,16.486389,3.370362400243999,11.284000396728516,0.029999999329447746,10.63599967956543,0.03500000014901161,10.557999610900879,0.06599999964237213,0.7260007858276367,0.1599999964237213,56.0
NGC0247,11.7853,-20.76019,True,1,,00470855-2045374,11.78564,-20.760401,1.3736577027291361,8.076000213623047,0.028999999165534973,7.666999816894531,0.050999999046325684,7.429999828338623,0.06300000101327896,0.6460003852844238,0.4729999899864197,-1.0
NGC0289,13.17613,-31.20586,True,1,,00524236-3112209,13.17652,-31.20583,1.2057039686803694,8.857999801635742,0.01899999938905239,8.300999641418457,0.024000000208616257,7.997000217437744,0.027000000700354576,0.860999584197998,0.6899999976158142,-32.0
NGC0300,13.7227,-37.68421,True,1,,00545347-3741037,13.72283,-37.68438,0.7153451699386865,7.039000034332275,0.02800000086426735,6.565999984741211,0.03999999910593033,6.379000186920166,0.057999998331069946,0.6599998474121094,0.6380000114440918,-61.0
NGC0801,30.93665,38.25879,True,1,,02034484+3815312,30.936874,38.258671,0.764508485717195,10.58899974822998,0.01899999938905239,9.871000289916992,0.024000000208616257,9.51200008392334,0.029999999329447746,1.0769996643066406,0.36000001430511475,-30.0
NGC0891,35.63711,42.34832,True,2,,02223290+4220539,35.637112,42.34832,0.005321255415398597,7.25600004196167,0.017000000923871994,6.361999988555908,0.017000000923871994,5.938000202178955,0.017000000923871994,1.3179998397827148,0.2639999985694885,25.0
NGC1003,39.82078,40.87258,True,1,,02391689+4052202,39.820389,40.872292,1.4858884690168919,10.118000030517578,0.028999999165534973,9.517000198364258,0.035999998450279236,9.350000381469727,0.0560000017285347,0.7679996490478516,0.33000001311302185,-83.0
NGC1090,41.64154,-0.24711,True,1,,02463391-0014493,41.641315,-0.247042,0.8461766005616396,10.079999923706055,0.02199999988079071,9.404000282287598,0.026000000536441803,9.196999549865723,0.039000000804662704,0.883000373840332,0.5600000023841858,-75.0
NGC1705,73.55632,-53.36097,True,1,,04541350-5321398,73.556252,-53.361061,0.358697522301142,11.21399974822998,0.032999999821186066,10.760000228881836,0.04500000178813934,10.524999618530273,0.061000000685453415,0.689000129699707,0.8999999761581421,77.0
NGC2366,112.22542,69.21497,True,1,,07284539+6912186,112.189163,69.20517,58.232730292342715,14.458999633789062,0.1120000034570694,13.458999633789062,0.12300000339746475,13.050000190734863,0.10899999737739563,1.4089994430541992,0.6800000071525574,80.0
NGC2403,114.21374,65.60268,True,1,,07365139+6536091,114.214149,65.602547,0.7740472441804247,6.980999946594238,0.023000000044703484,6.420000076293945,0.02800000086426735,6.190999984741211,0.039000000804662704,0.7899999618530273,0.781000018119812,-58.0
NGC2683,133.1721,33.42185,True,1,,08524134+3325184,133.172272,33.421799,0.5484518117553591,7.310999870300293,0.01600000075995922,6.5980000495910645,0.01600000075995922,6.328000068664551,0.017000000923871994,0.9829998016357422,0.3959999978542328,41.0
NGC2841,140.51111,50.97661,True,1,,09220265+5058353,140.511063,50.976479,0.4834834333099236,7.00600004196167,0.01600000075995922,6.295000076293945,0.017000000923871994,6.061999797821045,0.01899999938905239,0.944000244140625,0.4950000047683716,-30.0
NGC2903,143.04213,21.50083,True,1,,09321011+2130029,143.04213,21.50083,0.0,6.951000213623047,0.01600000075995922,6.331999778747559,0.017000000923871994,6.035999774932861,0.017999999225139618,0.9150004386901855,0.6159999966621399,10.0
NGC2915,141.54931,-76.62666,True,1,,09261153-7637347,141.54805,-76.62632,1.612119765169245,10.567999839782715,0.029999999329447746,9.821000099182129,0.028999999165534973,9.826000213623047,0.0560000017285347,0.741999626159668,0.6100000143051147,-56.0
NGC2955,145.31923,35.88223,True,1,,09411660+3552556,145.319168,35.882118,0.44189825825075285,10.994000434875488,0.02199999988079071,10.295000076293945,0.03099999949336052,10.039999961853027,0.029999999329447746,0.9540004730224609,0.47999998927116394,-15.0
NGC2976,146.81381,67.91668,True,1,,09471545+6754589,146.814407,67.916382,1.3430467390931244,8.345000267028809,0.019999999552965164,7.7220001220703125,0.023000000044703484,7.52400016784668,0.029999999329447746,0.8210000991821289,0.5059999823570251,-39.0
NGC2998,147.18171,44.08142,True,1,,09484363+4404526,147.181793,44.081287,0.5247107776953297,10.927000045776367,0.02800000086426735,10.196000099182129,0.029999999329447746,9.925999641418457,0.03799999877810478,1.0010004043579102,0.5199999809265137,55.0
NGC3109,150.77867,-26.15958,True,2,,10030687-2609344,150.778656,-26.159571,0.05564343922654946,9.913999557495117,0.032999999821186066,9.65999984741211,0.06199999898672104,9.281999588012695,0.0729999989271164,0.6319999694824219,1.0,90.0
NGC3198,154.97918,45.54982,True,1,,10195499+4532588,154.979126,45.54969,0.48739828974103694,8.72700023651123,0.028999999165534973,8.062999725341797,0.03999999910593033,7.7789998054504395,0.041999999433755875,0.948000431060791,0.4729999899864197,37.0
NGC3521,166.45242,-0.03586,True,1,,11054859-0002092,166.452469,-0.0359,0.227712423501948,6.736000061035156,0.017000000923871994,6.0279998779296875,0.017999999225139618,5.7829999923706055,0.020999999716877937,0.9530000686645508,0.6930000185966492,-17.0
NGC3726,173.33798,47.02922,True,1,,11332117+4701447,173.338226,47.029091,0.7616156340668561,8.614999771118164,0.029999999329447746,7.928999900817871,0.03799999877810478,7.7769999504089355,0.05400000140070915,0.8379998207092285,0.6710000038146973,7.0
NGC3741,174.02576,45.28391,False,0,,,,,,,,,,,,,,
NGC3769,174.4336,47.89296,True,1,,11374410+4753351,174.433777,47.893093,0.6417124683212987,10.109999656677246,0.017999999225139618,9.32699966430664,0.02199999988079071,9.197999954223633,0.027000000700354576,0.9119997024536133,0.36000001430511475,-30.0
NGC3877,176.5322,47.49455,True,1,,11460778+4729401,176.532425,47.494499,0.5772607565394328,8.758000373840332,0.017000000923871994,8.017000198364258,0.01899999938905239,7.745999813079834,0.01899999938905239,1.012000560760498,0.2639999985694885,35.0
NGC3893,177.159,48.7109,True,1,,11483820+4842388,177.159195,48.710789,0.6117631670124136,8.770999908447266,0.013000000268220901,8.081999778747559,0.017000000923871994,7.890999794006348,0.019999999552965164,0.880000114440918,0.800000011920929,-40.0
NGC3917,177.68954,51.82462,True,1,,11504548+5149271,177.689529,51.824211,1.4726034158657126,9.765000343322754,0.02800000086426735,9.062000274658203,0.039000000804662704,8.862000465393066,0.0430000014603138,0.9029998779296875,0.28600001335144043,79.0
NGC3949,178.42415,47.85872,True,1,,11534174+4751316,178.42395,47.858784,0.53522115744997,9.442000389099121,0.009999999776482582,8.803000450134277,0.01600000075995922,8.604000091552734,0.017000000923871994,0.8380002975463867,0.6399999856948853,-60.0
