name,n_points,rms_sigma_kms,rms_mond_kms,delta_rms_sigma_minus_mond_kms,median_log10_Vobs_over_Vsigma,rar_scatter_dex,color_w1_w2,w1_w2_gmag,w1_w2_mpro,ext_flg,sep_arcsec,cc_flags,ph_qual,good,good_phot,good_match
CamB,9,11.425387649616052,15.603007318618458,-4.1776196690024054,-0.32333783953700457,0.07500394278204096,-0.2729999999999997,,-0.2729999999999997,0,5.956195859970382,0000,ABUU,False,True,False
D564-8,6,1.5150818162102728,7.158481513181475,-5.643399696971202,-0.02966494268822966,0.016448783229020696,0.434000000000001,,0.434000000000001,0,5.169708716861314,0000,ABUU,False,True,False
D631-7,16,9.271847478024936,10.481380306840629,-1.2095328288156928,-0.06437873931885348,0.102620168490682,0.7670000000000012,,0.7670000000000012,0,11.356953528867583,0000,ABCU,False,True,False
DDO064,14,4.252838420248765,3.522012240990801,0.7308261792579644,0.018810785275195262,0.2520625465594605,0.4740000000000002,,0.4740000000000002,0,2.4623097279650517,0000,AAUU,False,True,False
DDO154,12,1.9237226635939684,4.433539644725978,-2.5098169811320097,-0.015825525976611056,0.01702766540225897,0.1950000000000002,,0.1950000000000002,2,6.087695025253985,0000,ABUU,False,True,False
DDO161,31,19.051707309535526,18.513686610093117,0.5380206994424093,-0.13577170337864428,0.029147616342347527,0.3170000000000001,,0.3170000000000001,3,7.71141601816817,0000,AAUU,False,True,False
DDO168,10,6.351728964899765,7.824048223736936,-1.472319258837171,-0.05067128474075699,0.05385815411897319,0.2519999999999989,,0.2519999999999989,1,13.91006860005453,0000,AACC,False,True,False
DDO170,8,14.822601041619036,14.338052654109765,0.4845483875092711,-0.10350913266581532,0.023902165189353026,-0.2089999999999996,,-0.2089999999999996,0,0.0119014243393099,0000,ABUU,True,True,True
ESO079-G014,15,10.551099566538452,11.589833205187102,-1.0387336386486492,0.014850185409390343,0.04701471057842379,0.0719999999999991,0.0719999999999991,0.0680000000000013,5,0.0034379687184672,h000,AAAA,False,False,True
ESO116-G012,15,8.089586938799359,9.24108841469403,-1.151501475894671,0.03541475275424745,0.027784449462718665,-0.4290000000000002,-0.4290000000000002,-0.0670000000000001,5,0.0114006812766494,hhhh,AAAA,False,False,True
ESO444-G084,7,12.510834747390252,10.54330408908242,1.9675306583078314,0.11163097544074113,0.054223256019163134,0.1679999999999992,,0.1679999999999992,0,2.8143510474757414,0000,ABUU,False,True,False
ESO563-G021,30,47.710899723373984,45.76724985115782,1.943649872216163,0.06769060090813395,0.11821577470190585,0.0459999999999993,0.0459999999999993,0.0429999999999992,5,0.0135704985556267,0000,AAAA,True,True,True
F561-1,6,33.5875960519054,32.44393772072445,1.1436583311809514,-0.23371447992257793,0.04664585937840494,0.0739999999999998,,0.0739999999999998,0,1.8450455116696431,0000,ABUU,True,True,True
F563-1,17,18.05249544192981,18.479039883072723,-0.42654444114291223,0.05836832133572135,0.07853184373817214,0.359,,0.359,1,12.472793492501046,00hd,AAAZ,False,True,False
F563-V1,6,28.717546338798492,29.313246715246144,-0.5957003764476525,-0.28507349621358036,0.06373212206407723,0.1869999999999976,,0.1869999999999976,0,2.2940962398959344,0000,ABUU,False,True,False
F563-V2,10,23.33518818437543,23.508613653044826,-0.17342546866939657,0.16633835773763467,0.0879657295161415,0.0289999999999999,,0.0289999999999999,0,0.0191480631926843,0000,AACU,True,True,True
F565-V2,7,6.66515049831002,6.941029183826452,-0.2758786855164326,0.03159084731673368,0.02560246140939758,0.2940000000000005,,0.2940000000000005,0,4.3903476023228585,0000,AUUU,False,False,False
F567-2,5,19.792099186657083,19.373344966921394,0.41875421973568905,-0.11078284315839852,0.06740658281833449,0.6059999999999981,,0.6059999999999981,0,18.439389430156375,0000,ABCU,False,True,False
F568-1,12,29.075384973229855,30.05800204867938,-0.9826170754495251,0.11778552060596048,0.05758525176972031,0.0650000000000012,,0.0650000000000012,0,0.0123012903162302,0000,ABUU,True,True,True
F568-3,18,7.696964094569489,7.985346773018619,-0.2883826784491301,-0.01762777048994145,0.06301312510018235,0.2319999999999993,,0.2319999999999993,1,0.0215340427973576,0000,AABU,True,True,True
F568-V1,15,25.12034273096031,25.827411917193523,-0.7070691862332126,0.13000041103681828,0.052336348929482364,0.2170000000000005,,0.2170000000000005,0,0.0180177767989312,0000,ABBU,True,True,True
F571-8,13,25.348526741440647,27.9348912491535,-2.5863645077128545,-0.0008998489767397831,0.1604913676040544,-0.0500000000000007,-0.0500000000000007,-0.0380000000000002,5,1.4274548049683595,0000,AABU,True,True,True
F571-V1,7,7.101413436478902,6.314856160858179,0.7865572756207229,-0.039406285808211594,0.02483205459003576,0.443999999999999,,0.443999999999999,0,1.490453377384334,0000,ABUU,True,True,True
F574-1,14,8.374856559384257,8.824610426524464,-0.44975386714020615,0.026361289509296528,0.03859174515607685,0.2300000000000004,,0.2300000000000004,0,0.0166292818627617,0000,AAUU,True,True,True
F574-2,5,39.20789727016803,38.699659717100474,0.5082375530675591,-0.36963878924536403,0.02645707570950843,0.359,,0.359,0,4.84839110122975,0000,ABUU,False,True,False
F579-V1,14,18.939451232676195,18.494440542818275,0.44501068985792,0.047352442809296444,0.10551307918667047,0.221,,0.221,1,0.0176616153021218,0000,AABU,True,True,True
F583-1,25,11.282622402638419,10.323493534732554,0.9591288679058643,0.07897673760298454,0.12867172576912414,0.2669999999999994,,0.2669999999999994,0,0.0176769514120215,0000,AAUC,True,True,True
F583-4,12,5.915302107674707,5.333115174984885,0.5821869326898224,-0.038449582578759724,0.1111218599190562,0.161999999999999,,0.161999999999999,0,0.0098896924665499,0000,ABUU,True,True,True
IC2574,34,12.934659040773015,13.48669801531149,-0.5520389745384744,-0.10795100587837478,0.027143045824308543,-0.3729999999999993,-0.3729999999999993,-0.0920000000000005,4,0.0040226681509774,0000,ABBU,True,True,True
IC4202,32,26.398209711745388,25.62045319043275,0.7777565213126358,0.013177074718706452,0.1135569519479762,0.0540000000000002,0.0540000000000002,-0.0020000000000006,5,0.0109531115431633,0000,AAAA,True,True,True
KK98-251,15,8.088563673920335,10.84637019716049,-2.757806523240154,-0.12618643907284002,0.08754054002839139,-0.0890000000000004,,-0.0890000000000004,1,10.88435833428625,hh00,AABU,False,False,False
NGC0024,29,22.065397629261646,20.9282676629855,1.1371299662761452,0.12570815865055002,0.04322381938808994,-0.0890000000000004,,-0.0890000000000004,5,4.032595341487998,0000,AAAA,False,True,False
NGC0055,21,19.087338882558676,17.392342682882855,1.6949961996758205,-0.09884562109361618,0.02431609251346905,0.0830000000000001,,0.0830000000000001,3,9.553773642305837,000d,AAAA,False,True,False
